# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
2.1000000000000501e+01  3.6359521248298703e-12  8.8960956679418641e-19  1.0845304246747981e-04  1.0004338121698699e+00  8.9276348836209118e-01
2.2000000000000600e+01  3.0655677116177064e-11  1.6071099852366020e-17  6.5218780001542954e-05  1.0002608751200062e+00  9.4086813231411492e-01
2.3000000000000799e+01  6.0234258246499911e-12  8.5448634239552484e-17  3.9252558960493271e-04  1.0015701023584198e+00  9.1353661118582141e-01
2.4000000000000998e+01  3.0249769762952088e-11  2.9952548804544813e-18  4.3676261048157685e-04  1.0017470504419264e+00  9.5663306777683110e-01
2.5000000000001101e+01  2.0144096169940344e-11  1.5532761028414530e-16  1.1360495655447660e-04  1.0004544198262180e+00  9.2084392539379079e-01
2.6000000000001300e+01  1.1555982038521950e-11  1.8019659448854118e-18  6.5348788800037962e-04  1.0026139515520016e+00  9.5915277391847142e-01
2.7000000000001400e+01  8.7029750250810836e-11  4.6028022648484439e-17  1.9578053830057442e-04  1.0007831221532022e+00  9.6861972797626750e-01
2.8000000000001599e+01  1.4549369061113971e-11  3.4235048138561020e-18  1.3374740095395063e-04  1.0005349896038158e+00  8.9840939168866396e-01
2.9000000000001702e+01  1.4529976558133064e-11  2.3363483628486586e-16  4.5061676111928146e-04  1.0018024670444772e+00  9.4225313245410569e-01
3.0000000000001901e+01  7.3899989477219147e-12  4.4512501177521281e-15  4.7038799494514760e-04  1.0018815519797806e+00  8.4294467161498565e-01
3.1000000000002000e+01  2.0818733606588568e-13  2.5054068671275193e-14  6.2053930895391220e-02  1.2482157235815650e+00  4.9463583635596692e-01
3.2000000000002203e+01  1.7678206896886951e-13  7.5436284411770592e-14  2.3227577443489025e-01  1.9291030977395609e+00  2.2212058662219925e-01
3.3000000000001997e+01  2.1052611709215401e-12  4.3007936291091205e-14  1.0404731003625585e-02  1.0416189240145024e+00  7.6216981843016163e-01
3.4000000000001798e+01  1.3425146759465218e-12  1.4336701280710407e-14  5.4665655575715502e-03  1.0218662622302861e+00  6.1890303107305511e-01
3.5000000000001599e+01  7.3996370221729661e-12  4.5109934706031371e-14  3.1930636588673018e-03  1.0127722546354692e+00  8.8423149015717828e-01
3.6000000000001400e+01  1.1499226288861575e-11  2.2401497070542567e-14  1.1207379135000229e-03  1.0044829516540001e+00  9.0624206320240974e-01
3.7000000000001201e+01  1.1847935164235425e-11  1.3874495206003754e-14  7.1519771774612869e-04  1.0028607908709846e+00  8.8818194155632202e-01
3.8000000000001002e+01  1.8618925087772678e-10  9.3065669082534271e-15  9.3660545916025514e-05  1.0003746421836641e+00  9.6081471879689961e-01
3.9000000000000803e+01  3.1118210081131767e-10  1.3314335299893331e-13  2.4142355938089701e-04  1.0009656942375236e+00  9.4034622783025601e-01
4.0000000000000597e+01  1.0208607564172418e-10  5.2547727661623389e-17  4.0442915079142713e-05  1.0001617716603166e+00  9.1818154792675311e-01
4.1000000000000398e+01  4.4193602829890682e-10  9.3665690648661607e-15  9.9044690390733103e-05  1.0003961787615629e+00  9.6794593861119071e-01
4.2000000000000199e+01  1.0998043251536273e-10  3.4922720388956099e-14  1.7824159329093555e-04  1.0007129663731638e+00  8.6344831818035117e-01
4.3000000000000000e+01  3.1922957571212836e-09  1.0175657484585041e-13  1.0281140851853229e-03  1.0041124563407413e+00  9.9659962669859392e-01
4.3999999999999801e+01  8.2328604298757032e-11  1.2658544238741516e-14  9.6446123176062833e-05  1.0003857844927042e+00  8.9442790927708982e-01
4.4999999999999602e+01  1.4679862461190617e-08  9.9302843484958530e-14  1.1435257874521255e-05  1.0000457410314980e+00  9.9078519932968223e-01
4.5999999999999403e+01  5.4329111660097329e-09  3.5434278439833910e-14  2.2829626390868979e-03  1.0091318505563476e+00  9.9864058576672621e-01
4.6999999999999197e+01  4.1074716165585087e-09  7.7598838607974095e-16  2.8395235941863373e-03  1.0113580943767453e+00  9.9844223873676852e-01
4.7999999999998998e+01  1.8150384767858892e-08  6.3576191625980102e-14  5.5107566180798567e-05  1.0002204302647233e+00  9.9378226487087329e-01
4.8999999999998799e+01  1.1514938599186424e-09  5.7912445454678661e-14  2.5243713261003119e-04  1.0010097485304401e+00  9.8018759556751267e-01
4.9999999999998600e+01  1.3619107127408753e-09  7.8038899924562996e-18  1.3654951300223444e-04  1.0005461980520090e+00  9.8691593774454522e-01
5.0999999999998401e+01  7.9943847231191659e-09  3.1140934312866993e-13  2.6200549137489014e-05  1.0001048021965500e+00  9.8269781569467640e-01
5.1999999999998202e+01  9.7702073776182093e-08  1.4869042299715783e-12  2.8530306284719470e-05  1.0001141212251390e+00  9.9544132118226480e-01
5.2999999999998003e+01  6.5339887469313893e-08  1.9783450762967792e-14  8.8418381894230381e-04  1.0035367352757691e+00  9.9928420024501197e-01
5.3999999999997797e+01  1.0743334354402453e-07  5.8155330861436731e-13  5.3795700053983764e-04  1.0021518280021593e+00  9.9909778857548048e-01
5.4999999999997598e+01  1.1608871305640251e-07  3.9828627131627972e-13  7.5213517596099574e-06  1.0000300854070385e+00  9.9032869571711291e-01
5.5999999999997399e+01  1.4909209158551458e-07  1.8899333160284939e-11  7.3970146845053951e-05  1.0002958805873803e+00  9.9258122490343026e-01
5.6999999999997200e+01  2.0853600660108992e-07  1.1954334217554946e-12  2.9322991201857509e-03  1.0117291964807431e+00  9.9954269329611833e-01
