# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  2.7000205274114471e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4516522854767499e-02  1.7000207763710382e+01  3.2000000000000000e+01  3.2000000000000007e+01  2.4424300970827630e-02  9.9999975104040892e+00  1.0000129051357579e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
3.9999999999999600e+00  2.7001848739369745e+01  3.1999999999848772e+01  3.2000000000000007e+01  2.4579331173828309e-02  1.7001898894880316e+01  3.2000000000069001e+01  3.2000000000000007e+01  2.4416502945180187e-02  9.9999498444894286e+00  1.0000150690553777e+01  8.3516871370799441e-06  8.3933110957664478e-06  -4.1623958686503722e-08  -2.5472214784079088e-05  2.1248328262995478e-05  5.1521425375412598e-05
7.9999999999998703e+00  2.7005176096865291e+01  3.1999999996776921e+01  3.2000000000000000e+01  2.4542488042844472e-02  1.7005307245451590e+01  3.2000000001208136e+01  3.2000000000000000e+01  2.4393486671566530e-02  9.9998688514137015e+00  1.0000143617298107e+01  1.6845197284360556e-05  1.6982152700463420e-05  -1.3695541610286429e-07  -1.8093003144326001e-05  1.7614915825597265e-05  2.6374861853787385e-05
1.1999999999999799e+01  2.7010701985196711e+01  3.1999999989818757e+01  3.2000000000000000e+01  2.4556283214738624e-02  1.7010930661176996e+01  3.2000000004045198e+01  3.2000000000000007e+01  2.4401264590941985e-02  9.9997713240197150e+00  1.0000176365795284e+01  2.5528225285701820e-05  2.5719338562731360e-05  -1.9111327702953980e-07  -3.0471718894371011e-05  2.9839030154516061e-05  3.6468026582958020e-05
1.5999999999999700e+01  2.7018609895152064e+01  3.1999999978974664e+01  3.1999999999999005e+01  2.4557470412547279e-02  1.7019178989517091e+01  3.2000000008620155e+01  3.2000000000002615e+01  2.4406058220043887e-02  9.9994309056349735e+00  9.9999554810447293e+00  3.4236849442212332e-05  3.4446672580817214e-05  -2.0982313860488228e-07  -4.0220585950691584e-05  4.3031920861833966e-05  4.9182089823798801e-05
2.0000000000000298e+01  2.7029385090661460e+01  3.1999999960410296e+01  3.1999999999946851e+01  2.4558985504190729e-02  1.7029972289289304e+01  3.2000000021829763e+01  3.2000000005973121e+01  2.4413012534718302e-02  9.9994128013721557e+00  1.0000054846752349e+01  4.3093228804607343e-05  4.3267447735596324e-05  -1.7421893098898108e-07  -5.4339441680958588e-05  5.5657092731044658e-05  6.1729289239473387e-05
2.4000000000000998e+01  2.7042353405304763e+01  3.1999999719698792e+01  3.1999999920833240e+01  2.4559997804680992e-02  1.7042732172544699e+01  3.1999999437932463e+01  3.1999999662113655e+01  2.4420400628052594e-02  9.9996212327600631e+00  1.0000370874746782e+01  5.1924153262732427e-05  5.2185365869917400e-05  -2.6121260718497318e-07  -6.4859629059423892e-05  6.8745937477483209e-05  7.4992999690895036e-05
2.8000000000001599e+01  2.7057697680961606e+01  3.1999999771625887e+01  3.1999999766776806e+01  2.4562278326370895e-02  1.7057626794965305e+01  3.1999998743928881e+01  3.1999999355052836e+01  2.4427811263308646e-02  1.0000070885996301e+01  1.0000971064832456e+01  6.0802782089328289e-05  6.1289375721798673e-05  -4.8659363247038483e-07  -7.7411328084129737e-05  8.2897288519275951e-05  8.8265440501560178e-05
3.2000000000002203e+01  2.7074848133497618e+01  3.1999999765784597e+01  3.1999999143321809e+01  2.4565777245168490e-02  1.7075256591390286e+01  3.1999999065529305e+01  3.1999999377137133e+01  2.4434603962330905e-02  9.9995915421073320e+00  1.0000674253137760e+01  6.9763428787313628e-05  7.0342456565368315e-05  -5.7902777805468662e-07  -9.0967242280116703e-05  9.5928132232517830e-05  1.0100275411533678e-04
3.6000000000001400e+01  2.7094163077909247e+01  3.1999999632179726e+01  3.1999998470624504e+01  2.4569903603137530e-02  1.7095571808478635e+01  3.1999999492119695e+01  3.1999999388625572e+01  2.4440568439812575e-02  9.9985912694306123e+00  9.9998468423758062e+00  7.8882475141962377e-05  7.9416890023474788e-05  -5.3441488151241047e-07  -1.0330759690244123e-04  1.0954319747058351e-04  1.1439849123126503e-04
