# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
single_hold_dt01_t070	01_single_throat/hold	reconstructed	main3d_stage0_2026-09-02.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	70.0		2.0955094722e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_hold_ml2_chireg_t100	01_single_throat/hold	reconstructed	main3d_chireg_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	2	64.0	128	100.0		2.0955094722e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_hold_ml2_t100	01_single_throat/hold	reconstructed	main3d_stage0_2026-09-02.ex	unstamped	none (launched before 2026-09-24)	0	0	2	64.0	128	100.0		2.0955094722e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_hold_ml4_lowfloor_t100	01_single_throat/hold	reconstructed	main3d_stage0_2026-09-02.ex	unstamped	none (launched before 2026-09-24)	0	0	4	64.0	128	100.0		2.0955094722e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_hold_ml4_t100	01_single_throat/hold	reconstructed	main3d_stage0_2026-09-02.ex	unstamped	none (launched before 2026-09-24)	0	0	4	64.0	128	100.0		2.0955094722e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_hold_t100	01_single_throat/hold	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.0955094722e-03	n/a	ok	unknown	ok
single_m05_t040	01_single_throat/hold	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	40.0		3.7327906226e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_m1e1_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	-0.1	0	3	64.0	128	100.0		1.2224198550e-02	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_m1e2_ml4_t060	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	-0.01	0	4	64.0	128	60.0		2.2125896694e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_m1e2_ml4_t100	01_single_throat/seed	reconstructed	main3d_coreprof_2026-09-16.ex	unstamped	none (launched before 2026-09-24)	-0.01	0	4	64.0	128	100.0		2.2125896694e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_m1e2_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	-0.01	0	3	64.0	128	100.0		2.2125896694e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_m1e3_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	-0.001	0	3	64.0	128	100.0		2.0891356288e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_p1e1_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.1	0	3	64.0	128	100.0		7.5746235245e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_p1e2_ml4_t060	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.01	0	4	64.0	128	60.0		2.3458350524e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_p1e2_q1e2_chk_t100	01_single_throat/seed	reconstructed	main3d_seedl2_2026-09-10.ex	unstamped	none (launched before 2026-09-24)	0.01	0.01	3	64.0	128	100.0		2.3821401328e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	ok	ok
single_eps_p1e2_q1e2_ml4_scalar_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.01	0.01	4	64.0	128	100.0		2.3458350524e-03	NOT APPLIED: the binary does not contain wormhole_seed_l2_amplitude_A; NOT APPLIED: t=0 data identical to single_eps_p1e2_ml4_t060, which lacks l2_amplitude_A (+2 more)	ok	lacks: wormhole_seed_l2_amplitude_A, core_radial_profile, core_profile_r_max, core_profile_dr, core_profile_interval	ok
single_eps_p1e2_q1e2_ml4_t100_r02500	01_single_throat/seed	reconstructed	main3d_seedl2_2026-09-10.ex	unstamped	none (launched before 2026-09-24)	0.01	0.01	4	64.0	128	100.0	yes		restart	ok	ok	ok
single_eps_p1e2_q1e2_t100	01_single_throat/seed	reconstructed	main3d_seedl2_2026-09-10.ex	unstamped	none (launched before 2026-09-24)	0.01	0.01	3	64.0	128	100.0		2.3821401328e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_p1e2_q5e2_ml4_t100	01_single_throat/seed	reconstructed	main3d_seedl2_2026-09-10.ex	unstamped	none (launched before 2026-09-24)	0.01	0.05	4	64.0	128	100.0		3.0963168923e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	ok	ok
single_eps_p1e2_q5e3_ml4_t100	01_single_throat/seed	reconstructed	main3d_coreprof_2026-09-16.ex	unstamped	none (launched before 2026-09-24)	0.01	0.005	4	64.0	128	100.0		2.3550419435e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_p1e2_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.01	0	3	64.0	128	100.0		2.3458350524e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
