# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
merge_twin_p012_lc1_t060	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899715573e-03	n/a	ok	unknown	ok
merge_twin_p012_lp2_t060	05_binary_spiral/p012	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899715573e-03	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_twin_p012_lp2_t060_OOMFAIL_2026-09-21	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899715573e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_twin_p012_nodamp_cf10_t060	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899715573e-03	n/a	ok	unknown	ok
merge_twin_p012_nodamp_t060	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899715573e-03	n/a	ok	unknown	ok
merge_twin_p012_plain_t100	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.9899715573e-03	n/a	ok	unknown	ok
freeze_narrow_late_t080_r05000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	6	64.0	128	80.0	yes		n/a	ok	unknown	ok
freeze_narrow_t080_r05000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	80.0	yes		n/a	ok	unknown	ok
freeze_narrow_t100_r08000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	100.0	yes		n/a	ok	unknown	ok
freeze_wave_crosscheck_diag_r09000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	90.15	yes		n/a	ok	unknown	ok
freeze_wave_crosscheck_r09000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	93.0	yes		n/a	ok	unknown	ok
freeze_wide_t080_r05000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	80.0	yes		n/a	ok	unknown	ok
freeze_wide_t100_r08000	05_binary_spiral/p012_freeze	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	100.0	yes		n/a	ok	unknown	ok
ladder_L4_damped_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	4	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L4_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	4	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L5_damped_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L5_halfstep_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L5_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L6_damped_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	6	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L6_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	6	64.0	128	66.0	yes		n/a	ok	unknown	ok
ladder_L7_r05000	05_binary_spiral/p012_ladder	reconstructed			none (launched before 2026-09-24)	0	0	7	64.0	128	66.0	yes		n/a	ok	unknown	ok
v2_spiral_d12_p012_L128_lvl3_t050	05_binary_spiral/p012_paper	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	128.0	256	50.0		8.4283630798e-04	n/a	ok	ok	ok
v2_spiral_d12_p012_L128_lvl3_t050_mouths	05_binary_spiral/p012_paper	reconstructed	main3d_coreprof_2026-09-16.ex	unstamped	none (launched before 2026-09-24)	0	0	3	128.0	256	50.0		8.4283630798e-04	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
v2_spiral_d12_p012_L128_lvl5_t100_freeze2_r05700	05_binary_spiral/p012_paper	reconstructed	main3d_coreprof_2026-09-15.ex	unstamped	none (launched before 2026-09-24)	0	0	5	128.0	256	100.0	yes		n/a	ok	ok	ok
v2_spiral_d12_p012_L128_lvl5_t100_freeze_r05700	05_binary_spiral/p012_paper	reconstructed	main3d_coreprof_2026-09-15.ex	unstamped	none (launched before 2026-09-24)	0	0	5	128.0	256	100.0	yes		n/a	ok	ok	ok
v2_spiral_d12_p012_L128_lvl5_t150_prof_r03600	05_binary_spiral/p012_paper	reconstructed	main3d_coreprof_2026-09-15.ex	unstamped	none (launched before 2026-09-24)	0	0	5	128.0	256	150.0	yes		n/a	ok	ok	ok
v2_spiral_d12_p012_L128_lvl5from0_t100	05_binary_spiral/p012_paper	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	128.0	256	100.0		8.4283630798e-04	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_orbit_flip_d12_p015_lvl5_t060_r05000	05_binary_spiral/p015	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_orbit_flip_d12_p015_nofill_t060	05_binary_spiral/p015	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899864622e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p015_rr_t060	05_binary_spiral/p015	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899864622e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p020_lvl5_t200	05_binary_spiral/p020	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	200.0		2.9900228945e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p020_nofill_t060	05_binary_spiral/p020	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9900228945e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p020_t200	05_binary_spiral/p020	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	200.0		2.9900228945e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p025_lvl5_t200	05_binary_spiral/p025	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	200.0		2.9900782341e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p025_t200	05_binary_spiral/p025	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	200.0		2.9900782341e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p035_t200	06_binary_flyby/p035	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	200.0		2.9902725419e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p045	06_binary_flyby/p045	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9906373439e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p045_L128_lvl5_t100	06_binary_flyby/p045	reconstructed	main3d_coreprof_2026-09-16.ex	unstamped	none (launched before 2026-09-24)	0	0	5	128.0	256	100.0		8.4312467298e-04	n/a	ok	unknown	ok
merge_orbit_flip_d12_p045_helfer_t090	06_binary_flyby/p045	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	90.0		3.3819964477e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_p045_t200	06_binary_flyby/p045	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	200.0		2.9906373439e-03	n/a	ok	unknown	ok
bbh_control_d12_p012	07_bbh_control	reconstructed			none (launched before 2026-09-24)	0	0							n/a	ok	unknown	ok
bbh_control_d12_p012_t150	07_bbh_control	reconstructed			none (launched before 2026-09-24)	0	0							n/a	ok	unknown	ok
bbh_control_d12_p045_t100	07_bbh_control	reconstructed	BinaryBH3d.gnu.MPI.CUDA.ex	1cc27217-dirty	none (launched before 2026-09-24)	0	0							n/a	ok	unknown	ok
merge_headon_flip_d8_lp2_lvl5_t030_OOMFAIL_2026-09-22		none				0	0	5	64.0	128	30.0		2.8827157680e-03	n/a	ok	unknown	ok
merge_twin_p012_eta4_lvl5_t066_r05000		reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	64.0	128	66.0	yes		n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_twin_p012_eta4_lvl5_t066_r06000		reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	64.0	128	66.0	yes		n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_eps_p1e2_t250		reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.01	0	3	64.0	128	250		2.3458350524e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_pureq_q1e2_L128_ml4_scalar_t500		reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0.01	4	128.0	256	500.0		6.5838765760e-04	NOT APPLIED: the binary does not contain wormhole_seed_l2_amplitude_A; NOT APPLIED: t=0 data identical to single_hold_L128_t100, which lacks l2_amplitude_A	ok	lacks: wormhole_seed_l2_amplitude_A, core_radial_profile, core_profile_r_max, core_profile_dr, core_profile_interval	ok
