# longest merger arm p=0.12, all Weyl segments stitched (r03000 joined 0-50.5 | m9b_fillwide80 50.5-79.5 | m9b_fillwide100 80.5-97)
# time Re_m0(R14) Im_m0(R14) Re_m2(R14) Im_m2(R14) Re_m0(R30) Im_m0(R30) Re_m2(R30) Im_m2(R30)
8.0000000000e+00 2.2423541188e-04 -2.9882883616e-14 1.4493461715e-04 -4.9492861835e-04 1.2150425778e-04 -9.6690081478e-16 -1.4103874256e-04 -1.6834904610e-04
8.5000000000e+00 -1.7098720342e-04 -3.0199125061e-14 6.7152799222e-04 -4.0796519357e-04 1.1644081872e-04 1.0452540094e-15 -1.3401629798e-04 -1.6527188102e-04
9.0000000000e+00 -6.0255136931e-04 -7.0739865957e-14 1.2431437091e-03 -3.1518955345e-04 1.1090524510e-04 -2.4531244117e-15 -1.2632473247e-04 -1.6190525086e-04
9.5000000000e+00 -1.0736191723e-03 3.2184397495e-14 1.8596476615e-03 -2.1836121097e-04 1.0490157120e-04 3.3151556654e-15 -1.1792122864e-04 -1.5806340795e-04
1.0000000000e+01 -1.5818346672e-03 3.7543710477e-15 2.5216179644e-03 -1.1863772326e-04 9.8325388221e-05 1.1769591624e-15 -1.0874130391e-04 -1.5360368632e-04
1.0500000000e+01 -2.1286698914e-03 -1.8085398562e-14 3.2273394956e-03 -1.3798772150e-05 9.1081947568e-05 1.4752936955e-15 -9.8676581117e-05 -1.4856970464e-04
1.1000000000e+01 -2.7122052751e-03 -6.1679236683e-15 3.9736521323e-03 9.2854569348e-05 8.3102375175e-05 -1.3378162777e-15 -8.7620209434e-05 -1.4294926840e-04
1.1500000000e+01 -3.3301289089e-03 4.5340630969e-14 4.7555424272e-03 2.0287228835e-04 7.4368884350e-05 -1.8371128186e-15 -7.5458165812e-05 -1.3655200930e-04
1.2000000000e+01 -3.9771489131e-03 1.0219171294e-14 5.5681924439e-03 3.1548962252e-04 6.4792089293e-05 2.7934236040e-15 -6.2071449724e-05 -1.2926465325e-04
1.2500000000e+01 -4.6476556256e-03 3.3809807134e-14 6.4030604384e-03 4.2922216507e-04 5.4226247122e-05 1.7913825686e-15 -4.7348074161e-05 -1.2119455102e-04
1.3000000000e+01 -5.3326850191e-03 2.7505024964e-14 7.2517422626e-03 5.4529623465e-04 4.2584613600e-05 2.7879745352e-16 -3.1142052676e-05 -1.1260818031e-04
1.3500000000e+01 -6.0252759910e-03 3.3819809746e-14 8.1003361104e-03 6.6921834404e-04 2.9748618647e-05 1.0323261690e-15 -1.3271100864e-05 -1.0339728827e-04
1.4000000000e+01 -6.7134360871e-03 3.1890882791e-14 8.9358049428e-03 7.9323966524e-04 1.5623293717e-05 5.0576601978e-16 6.4413470206e-06 -9.3100998825e-05
1.4500000000e+01 -7.3849222081e-03 2.6015276122e-14 9.7478011759e-03 9.1374832006e-04 -1.3569831497e-08 4.4173906400e-16 2.8214077214e-05 -8.1478526919e-05
1.5000000000e+01 -8.0254008342e-03 1.6610923418e-14 1.0521127890e-02 1.0382349718e-03 -1.7315492038e-05 4.4353129307e-15 5.2287160234e-05 -6.8699083266e-05
1.5500000000e+01 -8.6288723953e-03 -4.8589787098e-14 1.1236978956e-02 1.1687542860e-03 -3.6415352554e-05 5.5183336246e-16 7.8927563078e-05 -5.4906538718e-05
