# longest merger arm p=0.12, all Weyl segments stitched (r03000 joined 0-50.5 | m9b_fillwide80 50.5-79.5 | m9b_fillwide100 80.5-97)
# time Re_m0(R14) Im_m0(R14) Re_m2(R14) Im_m2(R14) Re_m0(R30) Im_m0(R30) Re_m2(R30) Im_m2(R30)
6.5000000000e+01 -3.0050124182e-03 5.2438113801e-12 -3.2834659205e-03 1.7266638887e-02 -6.9261967232e-03 1.2675671873e-13 1.0986872483e-02 -9.9956770884e-03
6.5500000000e+01 -1.5389348426e-03 1.7429931603e-13 -5.5908037599e-03 1.6524640885e-02 -8.2608801197e-03 1.1368327341e-13 1.2915037295e-02 -9.5725175712e-03
6.6000000000e+01 -7.0554168960e-05 7.7519420123e-12 -7.8583004840e-03 1.5637560253e-02 -9.5626280093e-03 -1.1541366007e-14 1.4801664683e-02 -9.0577039111e-03
6.6500000000e+01 1.3882093874e-03 -1.6609575182e-11 -1.0078996763e-02 1.4617210607e-02 -1.0834013398e-02 -1.4375275669e-13 1.6631474863e-02 -8.4515301761e-03
6.7000000000e+01 2.8192563560e-03 2.1936253490e-12 -1.2215891571e-02 1.3459113739e-02 -1.2063715003e-02 -1.0985688677e-13 1.8386274173e-02 -7.7555801109e-03
6.7500000000e+01 4.1891746185e-03 -1.9911713540e-12 -1.4204807291e-02 1.2198704888e-02 -1.3230194152e-02 1.3532276292e-13 2.0050332503e-02 -6.9739207255e-03
6.8000000000e+01 5.5426320862e-03 -1.2148666127e-11 -1.6066740499e-02 1.0836556294e-02 -1.4320451614e-02 2.5798714361e-13 2.1613640817e-02 -6.1103688911e-03
6.8500000000e+01 6.8602706082e-03 -3.4200868686e-11 -1.7820850020e-02 9.3709956536e-03 -1.5337354391e-02 1.3558947666e-13 2.3066008299e-02 -5.1670516232e-03
6.9000000000e+01 8.1098070839e-03 -2.0190926323e-11 -1.9444709340e-02 7.7995018728e-03 -1.6284217199e-02 1.0569644728e-13 2.4391665027e-02 -4.1506709428e-03
6.9500000000e+01 9.3217277958e-03 -2.4812036147e-11 -2.0928561811e-02 6.1556258984e-03 -1.7154117143e-02 2.9380362685e-13 2.5578275876e-02 -3.0666240540e-03
7.0000000000e+01 1.0512500662e-02 -1.1471393022e-11 -2.2244689781e-02 4.4656561423e-03 -1.7934111280e-02 6.0491045969e-13 2.6618428452e-02 -1.9165468107e-03
7.0500000000e+01 1.1611153117e-02 -1.5428934660e-11 -2.3296696842e-02 2.7494370393e-03 -1.8617122645e-02 9.4838718178e-13 2.7502413493e-02 -7.1180998334e-04
7.1000000000e+01 1.2617205035e-02 1.2237564979e-11 -2.4147090652e-02 9.7483397279e-04 -1.9203971653e-02 7.5961352280e-13 2.8220336136e-02 5.3711095398e-04
7.1500000000e+01 1.3421839555e-02 -1.3663573311e-12 -2.4869550510e-02 -8.1151881207e-04 -1.9689567549e-02 1.5268100911e-13 2.8761316974e-02 1.8218823967e-03
7.2000000000e+01 1.4166663419e-02 1.0742464508e-11 -2.5440194046e-02 -2.6328146703e-03 -2.0063824642e-02 -1.8706283877e-13 2.9121975208e-02 3.1315057428e-03
7.2500000000e+01 1.4864720509e-02 3.5974890601e-13 -2.5788342499e-02 -4.4105540478e-03 -2.0323958329e-02 -9.3013111454e-14 2.9301697093e-02 4.4545658622e-03
7.3000000000e+01 1.5434884161e-02 -8.2368147134e-12 -2.5837354082e-02 -6.1552554416e-03 -2.0470295896e-02 5.8200057322e-14 2.9296284976e-02 5.7808059967e-03
7.3500000000e+01 1.5835922112e-02 1.5871493573e-12 -2.5612815359e-02 -7.8651176435e-03 -2.0504572849e-02 -2.6783146217e-13 2.9103110673e-02 7.1017956358e-03
7.4000000000e+01 1.6063173998e-02 -5.3800642462e-12 -2.5230361873e-02 -9.5271589217e-03 -2.0431916459e-02 -7.4201326236e-13 2.8718831732e-02 8.4025577712e-03
7.4500000000e+01 1.6185155729e-02 -1.8552446146e-11 -2.4747201285e-02 -1.1074632421e-02 -2.0250775686e-02 -5.5241933667e-13 2.8145886721e-02 9.6733506696e-03
7.5000000000e+01 1.6264045638e-02 -2.9351863428e-11 -2.4052019613e-02 -1.2509018974e-02 -1.9961918258e-02 4.5923449776e-13 2.7388914115e-02 1.0900488140e-02
7.5500000000e+01 1.6225905580e-02 -1.8043171815e-11 -2.3093135448e-02 -1.3851310280e-02 -1.9563562722e-02 8.1145559835e-13 2.6452801117e-02 1.2072781077e-02
7.6000000000e+01 1.6121022590e-02 -1.7397005210e-11 -2.1856197823e-02 -1.5055759564e-02 -1.9061423954e-02 -2.0281129884e-13 2.5343678203e-02 1.3182135439e-02
7.6500000000e+01 1.5880344469e-02 -1.7331342064e-11 -2.0454819729e-02 -1.6117925031e-02 -1.8459044971e-02 -1.0071194977e-12 2.4068556944e-02 1.4217138987e-02
7.7000000000e+01 1.5384607087e-02 -2.0373475571e-11 -1.8993619413e-02 -1.7073220695e-02 -1.7759303953e-02 -9.1229636150e-13 2.2633325070e-02 1.5168068561e-02
7.7500000000e+01 1.4811715498e-02 -3.7859774994e-12 -1.7455667905e-02 -1.7880195876e-02 -1.6967472837e-02 -8.4959098676e-13 2.1050398276e-02 1.6029554295e-02
7.8000000000e+01 1.4243331659e-02 -1.6132632306e-11 -1.5738713877e-02 -1.8489508527e-02 -1.6080009060e-02 -1.2595442267e-12 1.9331070447e-02 1.6787916274e-02
7.8500000000e+01 1.3493733955e-02 -2.5846991417e-11 -1.3805441262e-02 -1.8878386815e-02 -1.5104002481e-02 -1.2435386583e-12 1.7489569998e-02 1.7433125737e-02
7.9000000000e+01 1.2583537025e-02 -4.1389475682e-11 -1.1769124581e-02 -1.9160299830e-02 -1.4037853096e-02 1.7381360023e-13 1.5533593578e-02 1.7957419228e-02
7.9500000000e+01 1.1568091765e-02 -4.0679618704e-11 -9.7490148565e-03 -1.9330659488e-02 -1.2891487382e-02 1.6642549765e-12 1.3481100150e-02 1.8358361791e-02
8.0500000000e+01 9.4864611130e-03 -2.8987379012e-11 -5.6574181552e-03 -1.8966105359e-02 -1.0391964843e-02 2.3115076137e-12 9.1487797220e-03 1.8770099902e-02
8.1000000000e+01 8.5237811086e-03 -1.1988032887e-11 -3.5022339963e-03 -1.8477369617e-02 -9.0545122447e-03 2.8617407923e-12 6.8966072451e-03 1.8776185648e-02
8.1500000000e+01 7.7424254674e-03 -1.0751505826e-11 -1.3922084246e-03 -1.7867071089e-02 -7.6721742014e-03 1.0750079009e-12 4.6036938900e-03 1.8650110674e-02
8.2000000000e+01 6.7485333181e-03 -2.3472670547e-11 6.6303437024e-04 -1.7140833847e-02 -6.2485359287e-03 9.1112943809e-13 2.2908760228e-03 1.8393068786e-02
8.2500000000e+01 5.3093775258e-03 -4.8199246061e-11 2.5932601162e-03 -1.6254818230e-02 -4.8100637685e-03 -5.3262122902e-13 -2.3917465889e-05 1.7992061317e-02
8.3000000000e+01 3.7011067424e-03 -9.3442369883e-11 4.4488498339e-03 -1.5194369992e-02 -3.3439159020e-03 8.6411359533e-13 -2.3228886350e-03 1.7463632403e-02
8.3500000000e+01 2.3245430897e-03 -1.2592138886e-10 6.2638565129e-03 -1.4086359775e-02 -1.8645318508e-03 2.5797246114e-12 -4.5986761285e-03 1.6818823582e-02
8.4000000000e+01 1.3429816682e-03 -1.3393534409e-10 7.9906349596e-03 -1.2925996104e-02 -4.0033716761e-04 3.6872782647e-12 -6.8245319961e-03 1.6027544537e-02
8.4500000000e+01 4.2141265126e-04 -1.1374476973e-10 9.5255431086e-03 -1.1687473115e-02 1.0668052873e-03 1.4201474291e-12 -8.9914255093e-03 1.5128704366e-02
8.5000000000e+01 -5.4507923597e-04 -7.5505605369e-11 1.0904009723e-02 -1.0294925517e-02 2.5081857224e-03 -2.7307131979e-12 -1.1077945128e-02 1.4117976176e-02
8.5500000000e+01 -1.7617799736e-03 -2.2928425068e-11 1.2197925863e-02 -8.7693361346e-03 3.9056737416e-03 -4.5180764850e-12 -1.3106732171e-02 1.2999730695e-02
8.6000000000e+01 -3.0145149521e-03 4.2974455225e-11 1.3438484175e-02 -7.2334477887e-03 5.2972167530e-03 -3.4041938376e-12 -1.5013230589e-02 1.1764736475e-02
8.6500000000e+01 -4.1221557478e-03 8.7554035907e-11 1.4598986032e-02 -5.8053113313e-03 6.6503250065e-03 -6.0433667958e-13 -1.6801516196e-02 1.0448155188e-02
8.7000000000e+01 -5.1183847422e-03 1.2060003998e-10 1.5445250664e-02 -4.3090424700e-03 7.9412294445e-03 -1.0170480791e-12 -1.8480651051e-02 9.0541616048e-03
8.7500000000e+01 -5.8281999375e-03 1.2619753025e-10 1.6110696498e-02 -2.7733704413e-03 9.1958528492e-03 1.3832768345e-12 -2.0020388700e-02 7.5806792245e-03
8.8000000000e+01 -6.5124822787e-03 1.0639677889e-10 1.6623117850e-02 -1.2499397096e-03 1.0396121756e-02 2.7385710887e-12 -2.1407003396e-02 6.0576381808e-03
8.8500000000e+01 -7.2237430147e-03 6.9848331993e-11 1.6882828440e-02 2.4182067692e-04 1.1499639434e-02 3.2531858880e-14 -2.2651280114e-02 4.4840653500e-03
8.9000000000e+01 -7.8433496635e-03 5.4348656299e-11 1.7000016387e-02 1.7116211484e-03 1.2511606471e-02 2.0919087995e-13 -2.3723925396e-02 2.8716195471e-03
8.9500000000e+01 -8.5053145012e-03 9.6845749309e-11 1.7053403349e-02 3.0112861669e-03 1.3452747320e-02 1.8133551708e-12 -2.4632241302e-02 1.2315214024e-03
9.0000000000e+01 -9.2379198465e-03 9.3101930299e-11 1.7178583845e-02 4.2898654300e-03 1.4298370001e-02 1.5912818345e-12 -2.5374628098e-02 -4.1602685515e-04
9.0500000000e+01 -9.7076914774e-03 4.4302694221e-11 1.7380744486e-02 5.6130930956e-03 1.5047652239e-02 -1.0616424325e-12 -2.5942044024e-02 -2.0596195081e-03
9.1000000000e+01 -1.0070606485e-02 -1.1239050219e-10 1.7125794687e-02 6.8959412261e-03 1.5724373609e-02 -2.0629413908e-12 -2.6329726382e-02 -3.6988166330e-03
9.1500000000e+01 -1.0282739235e-02 -2.9277178180e-10 1.6465548370e-02 8.0457743458e-03 1.6306991891e-02 2.6438389238e-12 -2.6539093232e-02 -5.3139693500e-03
9.2000000000e+01 -1.0172496628e-02 -4.2301514747e-10 1.5770427705e-02 8.9721265572e-03 1.6776749460e-02 4.4721096333e-12 -2.6578483700e-02 -6.8878570162e-03
9.2500000000e+01 -9.9766897584e-03 -4.0353128590e-10 1.5139690257e-02 9.7623182530e-03 1.7152257353e-02 3.3530663191e-12 -2.6439465794e-02 -8.4103157481e-03
9.3000000000e+01 -1.0216891172e-02 -3.3664520564e-10 1.4419070358e-02 1.0568353882e-02 1.7440666122e-02 7.2656114523e-14 -2.6123469210e-02 -9.8727366184e-03
9.3500000000e+01 -1.0755855147e-02 -2.9824263264e-10 1.3560498225e-02 1.1289857570e-02 1.7606918412e-02 -2.0214719791e-12 -2.5639223838e-02 -1.1266375256e-02
9.4000000000e+01 -1.1066143846e-02 -3.0999985466e-10 1.2738408147e-02 1.1970202773e-02 1.7650028668e-02 -4.2149436204e-12 -2.4987949185e-02 -1.2581321903e-02
9.4500000000e+01 -1.0710805541e-02 -3.3477795418e-10 1.2082416585e-02 1.2583685357e-02 1.7598286989e-02 -2.9728650775e-12 -2.4177749082e-02 -1.3804569068e-02
9.5000000000e+01 -1.0299198373e-02 -3.6187917236e-10 1.1227927718e-02 1.3168436945e-02 1.7453931510e-02 -1.4005053831e-12 -2.3220473299e-02 -1.4941995738e-02
9.5500000000e+01 -1.0607077776e-02 -3.9458324269e-10 1.0081357437e-02 1.3658605975e-02 1.7217755394e-02 1.6156877675e-12 -2.2119066253e-02 -1.5964325257e-02
9.6000000000e+01 -1.0648700606e-02 -4.4985384090e-10 8.9435064526e-03 1.3788624110e-02 1.6875037301e-02 1.5787423249e-12 -2.0887988071e-02 -1.6846072162e-02
9.6500000000e+01 -1.0163469358e-02 -5.1376840322e-10 7.8740313506e-03 1.3701921231e-02 1.6444994638e-02 -1.6664174516e-12 -1.9526197785e-02 -1.7617440237e-02
9.7000000000e+01 -9.3563427760e-03 -6.4820355475e-10 6.8131855974e-03 1.3592245915e-02 1.5915902434e-02 -4.2356530169e-12 -1.8044848122e-02 -1.8288374968e-02
