# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
  35.0100000    1.6364155044e-02    5.2029395380e-05    1.5058228097e-01    3.1250000000e-02    1.2500000000e-01    1.2500000000e-01   -5.4965218863e-01    5.4965218861e-01   -6.2214655929e-02    6.2214655929e-02
  35.0600000    1.6299684156e-02    4.4766739695e-05    1.4818398059e-01    3.1250000000e-02   -1.5625000000e-01   -9.3750000000e-02   -5.0018968472e-01    5.0018968473e-01   -6.2380546144e-02    6.2380546144e-02
  35.1100000    1.5980861024e-02    3.7911636024e-05    1.4378186811e-01   -3.1250000000e-02   -1.5625000000e-01    3.1250000000e-02   -5.0124381144e-01    5.0124381145e-01   -6.2535161280e-02    6.2535161280e-02
  35.1600000    1.5464634482e-02    2.6245063385e-05    1.3033154704e-01   -3.1250000000e-02    3.1250000000e-02   -1.5625000000e-01   -5.0046913659e-01    5.0046913659e-01   -6.2678160326e-02    6.2678160326e-02
  35.2100000    1.5132712379e-02    1.6952165607e-05    1.1961947216e-01   -3.1250000000e-02    1.5625000000e-01   -3.1250000000e-02   -4.9844205681e-01    4.9844205681e-01   -6.2809481840e-02    6.2809481840e-02
  35.2600000    1.4969136145e-02    1.2298888570e-05    1.1599455839e-01   -3.1250000000e-02    1.5625000000e-01   -3.1250000000e-02   -4.9569196649e-01    4.9569196649e-01   -6.2928801426e-02    6.2928801426e-02
  35.3100000    1.4670671432e-02    8.7430464108e-06    1.1736513438e-01   -3.1250000000e-02    1.5625000000e-01   -3.1250000000e-02   -4.9213737969e-01    4.9213737969e-01   -6.3035739859e-02    6.3035739859e-02
  35.3600000    1.4298363968e-02    5.9134192024e-06    1.2412078908e-01   -3.1250000000e-02    1.5625000000e-01   -3.1250000000e-02   -4.8899658240e-01    4.8899658240e-01   -6.3130131382e-02    6.3130131382e-02
  35.4100000    1.4011735115e-02    3.8303616054e-06    1.3964147222e-01   -3.1250000000e-02    1.5625000000e-01   -3.1250000000e-02   -4.8686523869e-01    4.8686523869e-01   -6.3211292693e-02    6.3211292693e-02
  35.4600000    1.3819196555e-02    3.2174544024e-06    1.6606239809e-01   -3.1250000000e-02    3.1250000000e-02   -1.5625000000e-01   -4.8502114499e-01    4.8502114499e-01   -6.3278451419e-02    6.3278451419e-02
