# time  R10_phi_l0_m0_re  R10_phi_l0_m0_im  R10_phi_l1_m-1_re  R10_phi_l1_m-1_im  R10_phi_l1_m0_re  R10_phi_l1_m0_im  R10_phi_l1_m1_re  R10_phi_l1_m1_im  R10_phi_l2_m-2_re  R10_phi_l2_m-2_im  R10_phi_l2_m-1_re  R10_phi_l2_m-1_im  R10_phi_l2_m0_re  R10_phi_l2_m0_im  R10_phi_l2_m1_re  R10_phi_l2_m1_im  R10_phi_l2_m2_re  R10_phi_l2_m2_im  R10_Pi_l0_m0_re  R10_Pi_l0_m0_im  R10_Pi_l1_m-1_re  R10_Pi_l1_m-1_im  R10_Pi_l1_m0_re  R10_Pi_l1_m0_im  R10_Pi_l1_m1_re  R10_Pi_l1_m1_im  R10_Pi_l2_m-2_re  R10_Pi_l2_m-2_im  R10_Pi_l2_m-1_re  R10_Pi_l2_m-1_im  R10_Pi_l2_m0_re  R10_Pi_l2_m0_im  R10_Pi_l2_m1_re  R10_Pi_l2_m1_im  R10_Pi_l2_m2_re  R10_Pi_l2_m2_im  R10_scalar_flux_kin  R14_phi_l0_m0_re  R14_phi_l0_m0_im  R14_phi_l1_m-1_re  R14_phi_l1_m-1_im  R14_phi_l1_m0_re  R14_phi_l1_m0_im  R14_phi_l1_m1_re  R14_phi_l1_m1_im  R14_phi_l2_m-2_re  R14_phi_l2_m-2_im  R14_phi_l2_m-1_re  R14_phi_l2_m-1_im  R14_phi_l2_m0_re  R14_phi_l2_m0_im  R14_phi_l2_m1_re  R14_phi_l2_m1_im  R14_phi_l2_m2_re  R14_phi_l2_m2_im  R14_Pi_l0_m0_re  R14_Pi_l0_m0_im  R14_Pi_l1_m-1_re  R14_Pi_l1_m-1_im  R14_Pi_l1_m0_re  R14_Pi_l1_m0_im  R14_Pi_l1_m1_re  R14_Pi_l1_m1_im  R14_Pi_l2_m-2_re  R14_Pi_l2_m-2_im  R14_Pi_l2_m-1_re  R14_Pi_l2_m-1_im  R14_Pi_l2_m0_re  R14_Pi_l2_m0_im  R14_Pi_l2_m1_re  R14_Pi_l2_m1_im  R14_Pi_l2_m2_re  R14_Pi_l2_m2_im  R14_scalar_flux_kin  R18_phi_l0_m0_re  R18_phi_l0_m0_im  R18_phi_l1_m-1_re  R18_phi_l1_m-1_im  R18_phi_l1_m0_re  R18_phi_l1_m0_im  R18_phi_l1_m1_re  R18_phi_l1_m1_im  R18_phi_l2_m-2_re  R18_phi_l2_m-2_im  R18_phi_l2_m-1_re  R18_phi_l2_m-1_im  R18_phi_l2_m0_re  R18_phi_l2_m0_im  R18_phi_l2_m1_re  R18_phi_l2_m1_im  R18_phi_l2_m2_re  R18_phi_l2_m2_im  R18_Pi_l0_m0_re  R18_Pi_l0_m0_im  R18_Pi_l1_m-1_re  R18_Pi_l1_m-1_im  R18_Pi_l1_m0_re  R18_Pi_l1_m0_im  R18_Pi_l1_m1_re  R18_Pi_l1_m1_im  R18_Pi_l2_m-2_re  R18_Pi_l2_m-2_im  R18_Pi_l2_m-1_re  R18_Pi_l2_m-1_im  R18_Pi_l2_m0_re  R18_Pi_l2_m0_im  R18_Pi_l2_m1_re  R18_Pi_l2_m1_im  R18_Pi_l2_m2_re  R18_Pi_l2_m2_im  R18_scalar_flux_kin
0.0000000000000000e+00  2.0880535133348753e-04  0.0000000000000000e+00  -7.2331941605554462e-01  -8.3837955584396853e-05  -8.2499178067801428e-08  0.0000000000000000e+00  7.2331941605554462e-01  -8.3837955584396853e-05  -1.6144773861531084e-04  -1.5021841228057301e-17  3.2084759985812061e-04  4.7222086809427244e-19  7.1438379914460544e-05  0.0000000000000000e+00  -3.2084759985812061e-04  4.7222086809427244e-19  -1.6144773861531084e-04  1.5021841228057301e-17  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00  8.9654573395207636e-05  0.0000000000000000e+00  -5.1855497700156383e-01  -2.5053833004254084e-04  1.2095630486791409e-18  0.0000000000000000e+00  5.1855497700156383e-01  -2.5053833004254084e-04  -3.1541365704858203e-05  -1.4543141635836269e-17  0.0000000000000000e+00  -6.0478152433957044e-19  1.2321346883931449e-04  0.0000000000000000e+00  0.0000000000000000e+00  -6.0478152433957044e-19  -3.1541365704858203e-05  1.4543141635836269e-17  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00  3.2015186523121883e-05  0.0000000000000000e+00  -4.0458174995514046e-01  -1.7789473602588531e-04  1.2159157957835481e-18  0.0000000000000000e+00  4.0458174995514046e-01  -1.7789473602588531e-04  -6.6183492512215235e-06  -6.2345922508939630e-18  0.0000000000000000e+00  2.4394548880923850e-19  5.5376554774603257e-05  0.0000000000000000e+00  0.0000000000000000e+00  2.4394548880923850e-19  -6.6183492512215235e-06  6.2345922508939630e-18  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00
5.0000000000000000e-01  2.0880402673487645e-04  0.0000000000000000e+00  -7.2331223259826194e-01  -8.3837409454722830e-05  -8.2498223484014601e-08  0.0000000000000000e+00  7.2331223259826194e-01  -8.3837409454722830e-05  -1.6144671429311279e-04  -1.6297455966967902e-17  3.2084066765216551e-04  -3.9387032047324966e-19  7.1437927088707277e-05  0.0000000000000000e+00  -3.2084066765216551e-04  -3.9387032047324966e-19  -1.6144671429311279e-04  1.6297455966967902e-17  -6.4482030703206044e-09  0.0000000000000000e+00  3.6043939338891644e-05  2.5995069438114103e-09  4.7995433313008022e-12  0.0000000000000000e+00  -3.6043939338891644e-05  2.5995069438114103e-09  4.9928361582297741e-09  1.2212354035936860e-17  -3.2216357295596949e-08  9.1268656974066678e-18  -2.1887200669004607e-09  0.0000000000000000e+00  3.2216357295596949e-08  9.1268656974066678e-18  4.9928361582297741e-09  -1.2212354035936860e-17  -1.0967090534076379e-05  8.9654330740831010e-05  0.0000000000000000e+00  -5.1855317245411803e-01  -2.5053765275081597e-04  -1.3044307387716225e-19  0.0000000000000000e+00  5.1855317245411803e-01  -2.5053765275081597e-04  -3.1541280392257164e-05  -1.8215366060069484e-17  0.0000000000000000e+00  -2.1700984108655175e-18  1.2321313522007141e-04  0.0000000000000000e+00  0.0000000000000000e+00  -2.1700984108655175e-18  -3.1541280392257164e-05  1.8215366060069484e-17  -1.1258297720514712e-09  0.0000000000000000e+00  8.4503243623961059e-06  3.1420775369148510e-09  1.7800389941923609e-17  0.0000000000000000e+00  -8.4503243623961059e-06  3.1420775369148510e-09  3.9587755965136050e-10  5.2169722240870896e-18  -1.3660576796402932e-17  2.9326262765486708e-18  -1.5477348023703883e-09  0.0000000000000000e+00  1.3660576796402932e-17  2.9326262765486708e-18  3.9587755965136050e-10  -5.2169722240870896e-18  -1.2443812306200707e-06  3.2015146043818563e-05  0.0000000000000000e+00  -4.0458115115255566e-01  -1.7789451183043161e-04  5.4887734982078662e-19  0.0000000000000000e+00  4.0458115115255566e-01  -1.7789451183043161e-04  -6.6183409009821249e-06  -7.5724367049404207e-18  3.1225022567582528e-17  4.5739779151732218e-20  5.5376484714006562e-05  0.0000000000000000e+00  -3.1225022567582528e-17  4.5739779151732218e-20  -6.6183409009821249e-06  7.5724367049404207e-18  -1.8212915321696212e-10  0.0000000000000000e+00  2.7074084963059610e-06  1.0086132598934520e-09  -2.6598818161668024e-19  0.0000000000000000e+00  -2.7074084963059610e-06  1.0086132598934520e-09  3.7566847224621802e-11  -2.8535756988139458e-18  -1.0103250176171684e-18  -3.1971799234192052e-18  -3.1523315236098484e-10  0.0000000000000000e+00  1.0103250176171684e-18  -3.1971799234192052e-18  3.7566847224621802e-11  2.8535756988139458e-18  -2.5035448831316581e-07
1.0000000000000000e+00  2.0879988716387680e-04  0.0000000000000000e+00  -7.2328956613310602e-01  -8.3835714735343108e-05  -8.2495215592549268e-08  0.0000000000000000e+00  7.2328956613310602e-01  -8.3835714735343108e-05  -1.6144351174668777e-04  -9.1497652879364034e-18  3.2082090062394292e-04  -1.6008922703106276e-18  7.1436515331145688e-05  0.0000000000000000e+00  -3.2082090062394292e-04  -1.6008922703106276e-18  -1.6144351174668777e-04  9.1497652879364034e-18  -1.3624985835417634e-08  0.0000000000000000e+00  7.6743834478849309e-05  5.5458604335942058e-09  1.0212438680856635e-11  0.0000000000000000e+00  -7.6743834478849309e-05  5.5458604335942058e-09  1.0544325483400058e-08  4.4241147685523810e-17  -6.8310559487113954e-08  -2.3231895994415021e-17  -4.6381791224316567e-09  0.0000000000000000e+00  6.8310559487113954e-08  -2.3231895994415021e-17  1.0544325483400058e-08  -4.4241147685523810e-17  -2.3362033713487610e-05  8.9653580737782831e-05  0.0000000000000000e+00  -5.1854759140112283e-01  -2.5053556143122256e-04  -1.0909784360635388e-18  0.0000000000000000e+00  5.1854759140112283e-01  -2.5053556143122256e-04  -3.1541016487924810e-05  -1.0549739303641113e-17  2.4286128663675299e-17  1.1502707423713399e-18  1.2321210459310256e-04  0.0000000000000000e+00  -2.4286128663675299e-17  1.1502707423713399e-18  -3.1541016487924810e-05  1.0549739303641113e-17  -2.3494649012908217e-09  0.0000000000000000e+00  1.7689752319925920e-05  6.5480332560713187e-09  9.9283638770541784e-18  0.0000000000000000e+00  -1.7689752319925920e-05  6.5480332560713187e-09  8.2692104257052275e-10  -1.0236519102429112e-17  2.7071384752484252e-17  2.1542344619045188e-17  -3.2280291328228751e-09  0.0000000000000000e+00  -2.7071384752484252e-17  2.1542344619045188e-17  8.2692104257052275e-10  1.0236519102429112e-17  -2.6052430909384230e-06  3.2015021991402186e-05  0.0000000000000000e+00  -4.0457931410489167e-01  -1.7789382478216440e-04  1.1930459062076820e-18  0.0000000000000000e+00  4.0457931410489167e-01  -1.7789382478216440e-04  -6.6183153117112561e-06  -9.8634053964750862e-18  0.0000000000000000e+00  -1.6771252355635147e-19  5.5376270004888070e-05  0.0000000000000000e+00  0.0000000000000000e+00  -1.6771252355635147e-19  -6.6183153117112561e-06  9.8634053964750862e-18  -3.7566329218764622e-10  0.0000000000000000e+00  5.5988731331491605e-06  2.0803064224996397e-09  8.1865718971738613e-18  0.0000000000000000e+00  -5.5988731331491605e-06  2.0803064224996397e-09  7.7484373277826649e-11  -1.1471426246281316e-17  1.2685165418080402e-17  -8.3511793139576594e-18  -6.5021098388465946e-10  0.0000000000000000e+00  -1.2685165418080402e-17  -8.3511793139576594e-18  7.7484373277826649e-11  1.1471426246281316e-17  -5.1774990334685100e-07
1.5000000000000000e+00  2.0879247639347303e-04  0.0000000000000000e+00  -7.2324833005994082e-01  -8.3832693294622984e-05  -8.2489754612370464e-08  0.0000000000000000e+00  7.2324833005994082e-01  -8.3832693294622984e-05  -1.6143777759098586e-04  -2.0790902291889346e-17  3.2078453162501935e-04  5.5882998695102465e-18  7.1433990100473036e-05  0.0000000000000000e+00  -3.2078453162501935e-04  5.5882998695102465e-18  -1.6143777759098586e-04  2.0790902291889346e-17  -2.2217417231633928e-08  0.0000000000000000e+00  1.2653116862806728e-04  9.0365933174004915e-09  1.6821724836843258e-11  0.0000000000000000e+00  -1.2653116862806728e-04  9.0365933174004915e-09  1.7191492992867182e-08  1.2034534152344002e-16  -1.1331651917859238e-07  -1.0265847414820008e-16  -7.5692685948628620e-09  0.0000000000000000e+00  1.1331651917859238e-07  -1.0265847414820008e-16  1.7191492992867182e-08  -1.2034534152344002e-16  -3.8543491185948286e-05  8.9652265616695618e-05  0.0000000000000000e+00  -5.1853775473325658e-01  -2.5053189581003424e-04  1.8380614955418317e-18  0.0000000000000000e+00  5.1853775473325658e-01  -2.5053189581003424e-04  -3.1540553667024167e-05  -1.5546318223223239e-17  0.0000000000000000e+00  5.5734767929332962e-19  1.2321029756792230e-04  0.0000000000000000e+00  0.0000000000000000e+00  5.5734767929332962e-19  -3.1540553667024167e-05  1.5546318223223239e-17  -3.7575765311170013e-09  0.0000000000000000e+00  2.8469818626613188e-05  1.0472163789961828e-08  -5.8070014086868034e-17  0.0000000000000000e+00  -2.8469818626613188e-05  1.0472163789961828e-08  1.3222808485507067e-09  1.9909522441788819e-17  -8.2082786544862042e-17  -1.8593307285938618e-17  -5.1632823190200275e-09  0.0000000000000000e+00  8.2082786544862042e-17  -1.8593307285938618e-17  1.3222808485507067e-09  -1.9909522441788819e-17  -4.1938917095775885e-06  3.2014807433696518e-05  0.0000000000000000e+00  -4.0457612697109013e-01  -1.7789263653322809e-04  -1.9858687448377071e-18  0.0000000000000000e+00  4.0457612697109013e-01  -1.7789263653322809e-04  -6.6182710547082983e-06  -8.2245704290148336e-18  0.0000000000000000e+00  1.6771252355635147e-19  5.5375898646442983e-05  0.0000000000000000e+00  0.0000000000000000e+00  1.6771252355635147e-19  -6.6182710547082983e-06  8.2245704290148336e-18  -5.9159418102816733e-10  0.0000000000000000e+00  8.8503517312566251e-06  3.2758881523610971e-09  -1.3261703215833519e-17  0.0000000000000000e+00  -8.8503517312566251e-06  3.2758881523610971e-09  1.2201825728091064e-10  9.7769329658628856e-18  -3.1276003363095396e-17  2.0090387458795651e-18  -1.0239620565471917e-09  0.0000000000000000e+00  3.1276003363095396e-17  2.0090387458795651e-18  1.2201825728091064e-10  -9.7769329658628856e-18  -8.1849832904469026e-07
2.0000000000000000e+00  2.0878104259608752e-04  0.0000000000000000e+00  -7.2318349199125953e-01  -8.3828040556745717e-05  -8.2481185957178880e-08  0.0000000000000000e+00  7.2318349199125953e-01  -8.3828040556745717e-05  -1.6142892985625593e-04  -2.6657306874935427e-17  3.2072641986461564e-04  -1.7681812773933520e-18  7.1430095787823215e-05  0.0000000000000000e+00  -3.2072641986461564e-04  -1.7681812773933520e-18  -1.6142892985625593e-04  2.6657306874935427e-17  -3.2949759679727800e-08  0.0000000000000000e+00  1.8998484414698753e-04  1.3395936492531440e-08  2.5262431609418686e-11  0.0000000000000000e+00  -1.8998484414698753e-04  1.3395936492531440e-08  2.5498382462960982e-08  5.9864880778313105e-17  -1.7139757370855931e-07  3.4639258315575524e-18  -1.1219878003146673e-08  0.0000000000000000e+00  1.7139757370855931e-07  3.4639258315575524e-18  2.5498382462960982e-08  -5.9864880778313105e-17  -5.7909113325022479e-05  8.9650289304327860e-05  0.0000000000000000e+00  -5.1852286261520131e-01  -2.5052638778160782e-04  -5.4074583352714534e-18  0.0000000000000000e+00  5.1852286261520131e-01  -2.5052638778160782e-04  -3.1539858226413382e-05  -1.5897297354854539e-17  0.0000000000000000e+00  5.0991383424708880e-19  1.2320758187387803e-04  0.0000000000000000e+00  0.0000000000000000e+00  5.0991383424708880e-19  -3.1539858226413382e-05  1.5897297354854539e-17  -5.4472846587967569e-09  0.0000000000000000e+00  4.1593050363588618e-05  1.5179437566875506e-08  -3.7559080560024910e-17  0.0000000000000000e+00  -4.1593050363588618e-05  1.5179437566875506e-08  1.9168058003778702e-09  -9.6615630560557832e-18  3.3040637690022120e-17  9.6267782511336216e-17  -7.4853018647677431e-09  0.0000000000000000e+00  -3.3040637690022120e-17  9.6267782511336216e-17  1.9168058003778702e-09  9.6615630560557832e-18  -6.1287090349920524e-06  3.2014490749075466e-05  0.0000000000000000e+00  -4.0457140378731182e-01  -1.7789088290660014e-04  1.2159157957835481e-18  0.0000000000000000e+00  4.0457140378731182e-01  -1.7789088290660014e-04  -6.6182057316386283e-06  -6.1780505527674481e-18  6.2450045135165055e-17  -6.4035690812425106e-19  5.5375350526341450e-05  0.0000000000000000e+00  -6.2450045135165055e-17  -6.4035690812425106e-19  -6.6182057316386283e-06  6.1780505527674481e-18  -8.4117496565511856e-10  0.0000000000000000e+00  1.2642523259697274e-05  4.6572039095955139e-09  2.6836829237042957e-17  0.0000000000000000e+00  -1.2642523259697274e-05  4.6572039095955139e-09  1.7349797055037910e-10  -2.2254443177785647e-18  7.5947091633188704e-19  -1.9023431407545812e-17  -1.4559430448880496e-09  0.0000000000000000e+00  -7.5947091633188704e-19  -1.9023431407545812e-17  1.7349797055037910e-10  2.2254443177785647e-18  -1.1693072954290068e-06
2.4999999999999898e+00  2.0876451897304402e-04  0.0000000000000000e+00  -7.2308792460190197e-01  -8.3821322543486083e-05  -8.2468573777845478e-08  0.0000000000000000e+00  7.2308792460190197e-01  -8.3821322543486083e-05  -1.6141614323071098e-04  -2.0590251151997798e-17  3.2063936166306511e-04  1.0333801956502464e-18  7.1424468551472130e-05  0.0000000000000000e+00  -3.2063936166306511e-04  1.0333801956502464e-18  -1.6141614323071098e-04  2.0590251151997798e-17  -4.6582672655430649e-08  0.0000000000000000e+00  2.7204494843785537e-04  1.8932247803626674e-08  3.6124939257651472e-11  0.0000000000000000e+00  -2.7204494843785537e-04  1.8932247803626674e-08  3.6047950772798467e-08  5.6011220431194994e-17  -2.4758393327672484e-07  -7.5063651882236531e-17  -1.5862937590645806e-08  0.0000000000000000e+00  2.4758393327672484e-07  -7.5063651882236531e-17  3.6047950772798467e-08  -5.6011220431194994e-17  -8.2960817350027306e-05  8.9647513916341399e-05  0.0000000000000000e+00  -5.1850176876391396e-01  -2.5051865343953173e-04  1.2451384324638215e-18  0.0000000000000000e+00  5.1850176876391396e-01  -2.5051865343953173e-04  -3.1538881694793085e-05  -1.7089272023394874e-17  0.0000000000000000e+00  -1.1502707423713399e-18  1.2320376792185759e-04  0.0000000000000000e+00  0.0000000000000000e+00  -1.1502707423713399e-18  -3.1538881694793085e-05  1.7089272023394874e-17  -7.5187470308311586e-09  0.0000000000000000e+00  5.7909539204472641e-05  2.0949003193782390e-08  -1.6714474368196777e-17  0.0000000000000000e+00  -5.7909539204472641e-05  2.0949003193782390e-08  2.6454892361668604e-09  -8.6783103844770431e-17  -3.1164036195380218e-17  -1.2050119009488741e-17  -1.0332329067000051e-08  0.0000000000000000e+00  3.1164036195380218e-17  -1.2050119009488741e-17  2.6454892361668604e-09  8.6783103844770431e-17  -8.5352725908513826e-06  3.2014055240259024e-05  0.0000000000000000e+00  -4.0456487881050818e-01  -1.7788847113240031e-04  -3.6591823321385775e-19  0.0000000000000000e+00  4.0456487881050818e-01  -1.7788847113240031e-04  -6.6181159099325123e-06  -1.3572991565649276e-17  0.0000000000000000e+00  -1.8600843521704435e-18  5.5374596716333465e-05  0.0000000000000000e+00  0.0000000000000000e+00  -1.8600843521704435e-18  -6.6181159099325123e-06  1.3572991565649276e-17  -1.1369308036908668e-09  0.0000000000000000e+00  1.7167271560903955e-05  6.2982028950140279e-09  4.9138481016508140e-18  0.0000000000000000e+00  -1.7167271560903955e-05  6.2982028950140279e-09  2.3439053077754516e-10  1.6840253852483925e-17  3.3402426637618114e-17  -5.0980055703207850e-18  -1.9681177152474783e-09  0.0000000000000000e+00  -3.3402426637618114e-17  -5.0980055703207850e-18  2.3439053077754516e-10  -1.6840253852483925e-17  -1.5878996730768916e-06
2.9999999999999800e+00  2.0874149409497156e-04  0.0000000000000000e+00  -7.2295215503029098e-01  -8.3811964554897529e-05  -8.2450727217434354e-08  0.0000000000000000e+00  7.2295215503029098e-01  -8.3811964554897529e-05  -1.6139832549842432e-04  -2.2740363690191903e-17  3.2051381871584655e-04  -1.9884098436794700e-18  7.1416627711427916e-05  0.0000000000000000e+00  -3.2051381871584655e-04  -1.9884098436794700e-18  -1.6139832549842432e-04  2.2740363690191903e-17  -6.3948571149728192e-08  0.0000000000000000e+00  3.7816122280207888e-04  2.5984933215674701e-08  5.0109478802434488e-11  0.0000000000000000e+00  -3.7816122280207888e-04  2.5984933215674701e-08  4.9486308193391614e-08  -1.8893030023515987e-17  -3.4670083115193796e-07  6.5354661318413879e-19  -2.1777148378818781e-08  0.0000000000000000e+00  3.4670083115193796e-07  6.5354661318413879e-19  4.9486308193391614e-08  1.8893030023515987e-17  -1.1535221693742788e-04  8.9643756173263242e-05  0.0000000000000000e+00  -5.1847294306462888e-01  -2.5050818276994163e-04  -3.3440860757599777e-18  0.0000000000000000e+00  5.1847294306462888e-01  -2.5050818276994163e-04  -3.1537559640583150e-05  -1.4338226263564736e-17  2.4286128663675299e-17  2.6088614775432450e-19  1.2319860371118985e-04  0.0000000000000000e+00  -2.4286128663675299e-17  2.6088614775432450e-19  -3.1537559640583150e-05  1.4338226263564736e-17  -1.0081852181947291e-08  0.0000000000000000e+00  7.8346799247697049e-05  2.8087377476523845e-08  5.0978963307811397e-17  0.0000000000000000e+00  -7.8346799247697049e-05  2.8087377476523845e-08  3.5470804860696220e-09  8.5242815373221204e-17  3.1181823887272558e-17  -1.8864973458230887e-17  -1.3855169470151921e-08  0.0000000000000000e+00  -3.1181823887272558e-17  -1.8864973458230887e-17  3.5470804860696220e-09  -8.5242815373221204e-17  -1.1550433759600284e-05  3.2013478350492389e-05  0.0000000000000000e+00  -4.0455619845658480e-01  -1.7788527278757407e-04  -4.6120943977996653e-19  0.0000000000000000e+00  4.0455619845658480e-01  -1.7788527278757407e-04  -6.6179970316553866e-06  -8.9315894220391239e-19  0.0000000000000000e+00  2.8968526796097072e-18  5.5373597942791106e-05  0.0000000000000000e+00  0.0000000000000000e+00  2.8968526796097072e-18  -6.6179970316553866e-06  8.9315894220391239e-19  -1.4922187395015157e-09  0.0000000000000000e+00  2.2634971712604577e-05  8.2749020696685210e-09  2.6422199655874953e-18  0.0000000000000000e+00  -2.2634971712604577e-05  8.2749020696685210e-09  3.0736702909947426e-10  9.8877385027347657e-18  -1.7383021901789565e-17  -2.1395556404565189e-17  -2.5838109729081007e-09  0.0000000000000000e+00  1.7383021901789565e-17  -2.1395556404565189e-17  3.0736702909947426e-10  -9.8877385027347657e-18  -2.0937672047682087e-06
3.4999999999999698e+00  2.0871017347417044e-04  0.0000000000000000e+00  -7.2276404750182910e-01  -8.3799237537936032e-05  -8.2426123019733587e-08  0.0000000000000000e+00  7.2276404750182910e-01  -8.3799237537936032e-05  -1.6137408769674271e-04  -3.5755451827498488e-17  3.2033765099505340e-04  1.8486494073825105e-18  7.1405962920887447e-05  0.0000000000000000e+00  -3.2033765099505340e-04  1.8486494073825105e-18  -1.6137408769674271e-04  3.5755451827498488e-17  -8.5955726407387872e-08  0.0000000000000000e+00  5.1438300390165416e-04  3.4923473743179842e-08  6.7936569237276090e-11  0.0000000000000000e+00  -5.1438300390165416e-04  3.4923473743179842e-08  6.6517373619836359e-08  -9.2481487471652682e-17  -4.7467121851437968e-07  -6.8226611725682677e-17  -2.9269222601216886e-08  0.0000000000000000e+00  4.7467121851437968e-07  -6.8226611725682677e-17  6.6517373619836359e-08  9.2481487471652682e-17  -1.5689948352341424e-04  8.9638783469876254e-05  0.0000000000000000e+00  -5.1843442841498144e-01  -2.5049432640287752e-04  -6.7830398416124371e-18  0.0000000000000000e+00  5.1843442841498144e-01  -2.5049432640287752e-04  -3.1535810294946838e-05  -2.4959169713774114e-17  0.0000000000000000e+00  2.2649661009579991e-18  1.2319176941249791e-04  0.0000000000000000e+00  0.0000000000000000e+00  2.2649661009579991e-18  -3.1535810294946838e-05  2.4959169713774114e-17  -1.3254891255654616e-08  0.0000000000000000e+00  1.0396152311264290e-04  3.6929211917879852e-08  -1.5354836209815840e-16  0.0000000000000000e+00  -1.0396152311264290e-04  3.6929211917879852e-08  4.6629142791440273e-09  1.1567412924185242e-16  -1.1538875730561157e-16  -3.0569766895855278e-17  -1.8217077263775154e-08  0.0000000000000000e+00  1.1538875730561157e-16  -3.0569766895855278e-17  4.6629142791440273e-09  -1.1567412924185242e-16  -1.5329651997563271e-05  3.2012732002610752e-05  0.0000000000000000e+00  -4.0454491343047005e-01  -1.7788113421093893e-04  -2.1573929166567030e-18  0.0000000000000000e+00  4.0454491343047005e-01  -1.7788113421093893e-04  -6.6178433128784790e-06  -1.0561060679115882e-17  3.1225022567582528e-17  3.1255515753683683e-18  5.5372305590640647e-05  0.0000000000000000e+00  -3.1225022567582528e-17  3.1255515753683683e-18  -6.6178433128784790e-06  1.0561060679115882e-17  -1.9193813925451638e-09  0.0000000000000000e+00  2.9273279998392655e-05  1.0636715158294850e-08  2.8341110042981659e-18  0.0000000000000000e+00  -2.9273279998392655e-05  1.0636715158294850e-08  3.9531327242665534e-10  2.1417828872436002e-17  -4.4291352811927365e-17  2.5145852112489812e-17  -3.3235510736953328e-09  0.0000000000000000e+00  4.4291352811927365e-17  2.5145852112489812e-17  3.9531327242665534e-10  -2.1417828872436002e-17  -2.7080164674551890e-06
