# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
9.9999999999998295e+00  9.2975617452128296e-05  6.7688223583285871e-05  7.6050450238467437e-01  4.0420180095386975e+00  8.5799841798197207e-01
1.0499999999999799e+01  1.0559435823859217e-04  7.6872277467571954e-05  7.5774842134409570e-01  4.0309936853763828e+00  8.6431602043525946e-01
1.0999999999999799e+01  1.2033907957239011e-04  8.7635563291951058e-05  7.5501203414268925e-01  4.0200481365707574e+00  8.7039302560699816e-01
1.1499999999999799e+01  1.3752662648762077e-04  1.0024003501841107e-04  7.5230715683487914e-01  4.0092286273395166e+00  8.7619014004995421e-01
1.1999999999999799e+01  1.5747785833996271e-04  1.1490961023281909e-04  7.4954143435035492e-01  3.9981657374014197e+00  8.8165466306586515e-01
1.2499999999999799e+01  1.8056279899264201e-04  1.3195259893961040e-04  7.4689581795100224e-01  3.9875832718040090e+00  8.8672560547429125e-01
1.2999999999999799e+01  2.0711264605512877e-04  1.5160407473167252e-04  7.4437841916901182e-01  3.9775136766760473e+00  8.9132416585419250e-01
1.3499999999999799e+01  2.3741849129336716e-04  1.7410671109961218e-04  7.4202698387767196e-01  3.9681079355106879e+00  8.9542800946380041e-01
1.3999999999999700e+01  2.7179657775740673e-04  1.9970630748789218e-04  7.3975694931883706e-01  3.9590277972753483e+00  8.9904251286042147e-01
1.4499999999999700e+01  3.1054364962738876e-04  2.2864927925494671e-04  7.3763527796045980e-01  3.9505411118418392e+00  9.0216366743313092e-01
1.4999999999999700e+01  3.5379473115426110e-04  2.6103635083891372e-04  7.3571726648042113e-01  3.9428690659216845e+00  9.0474915073635664e-01
1.5499999999999700e+01  4.0158622932870994e-04  2.9692808923410390e-04  7.3407048444515022e-01  3.9362819377806009e+00  9.0677425253535704e-01
1.5999999999999700e+01  4.5382943386132799e-04  3.3626828162397850e-04  7.3273432670753635e-01  3.9309373068301454e+00  9.0823265566446065e-01
1.6499999999999801e+01  5.1022416212242203e-04  3.7886080663988012e-04  7.3170981274227986e-01  3.9268392509691195e+00  9.0911796504671261e-01
1.6999999999999901e+01  5.7031232931396998e-04  4.2438031531021021e-04  7.3100510785607642e-01  3.9240204314243057e+00  9.0941405378380347e-01
1.7499999999999901e+01  6.3336598144963390e-04  4.7230476160289565e-04  7.3060825039772681e-01  3.9224330015909072e+00  9.0909202144592860e-01
1.8000000000000000e+01  6.9853502780695435e-04  5.2198963688371031e-04  7.3056893670643208e-01  3.9222757468257283e+00  9.0811914412934147e-01
1.8500000000000099e+01  7.6472756789260131e-04  5.7276681426648177e-04  7.3063495840975734e-01  3.9225398336390294e+00  9.0647581214488793e-01
1.9000000000000199e+01  8.3072042337658028e-04  6.2359373823110318e-04  7.3126434327453360e-01  3.9250573730981344e+00  9.0415338580454363e-01
1.9500000000000199e+01  8.9526535877391586e-04  6.7362773622576784e-04  7.3201448454452134e-01  3.9280579381780854e+00  9.0108786731288737e-01
2.0000000000000298e+01  9.5693984068103029e-04  7.2187624604369354e-04  7.3272270763511227e-01  3.9308908305404491e+00  8.9720077846270241e-01
