# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)  Re_m-2(R=22)  Im_m-2(R=22)  Re_m-1(R=22)  Im_m-1(R=22)  Re_m0(R=22)  Im_m0(R=22)  Re_m1(R=22)  Im_m1(R=22)  Re_m2(R=22)  Im_m2(R=22)
0.0000000000000000e+00  -3.3357603376315949e-17  2.6073683724907992e-11  6.7722127925845317e-14  2.6010763793264628e-11  3.0579229279713079e-10  -8.5369172210478380e-18  8.2730645530816989e-14  -2.6025732365145085e-11  8.4686931601549637e-20  -2.6073683976915206e-11  -6.9161244351463949e-17  6.7072615871087334e-13  -8.1120803691261878e-13  -4.9158851662842257e-14  4.3477292511806993e-07  4.4140553222477730e-17  -7.9851607430519885e-13  3.6093535809098307e-14  -1.4235641943195207e-17  -6.7068635933990072e-13  -4.1883263529110528e-17  -5.8487921547387528e-14  -3.1214647641817368e-14  -1.8481330717224144e-16  -2.0006023940861869e-13  -6.4649972905263466e-17  -1.8808128325438969e-14  -1.2115329371056079e-14  -4.0437565341379592e-17  5.8549028919999816e-14  -1.1385217319289977e-16  -9.8905874233527392e-12  7.8630309210669349e-13  -7.8858015235183857e-12  -5.4593974908810068e-08  -1.0923253782999032e-17  7.9842053443688098e-13  7.8737554174951373e-12  1.0911644058970464e-16  9.8905485163043220e-12
1.0000000000000000e+00  6.9357400306310810e-15  2.1911682966467462e-11  3.5678762418418717e-11  5.7382337696018743e-11  -3.7620676914633647e-08  -9.3872913640214300e-15  3.5518616207744065e-11  -5.7217797917628727e-11  -7.5220547733738350e-15  -2.1894326459417015e-11  5.4355667564308027e-15  2.3274884046968326e-11  -4.2985663216378424e-11  -2.6061502417103070e-11  2.2735981302901750e-07  -4.6090245601359658e-15  -4.2961947713760475e-11  2.6055306734625044e-11  9.8530639007889091e-15  -2.3274102539856839e-11  -3.1119982279650929e-16  -1.1979022474284620e-13  -2.6188782884712104e-14  -5.7664882156416371e-14  8.5085756082521852e-10  7.5627060964137185e-16  -2.8038342121608429e-14  5.9178967296275062e-14  1.0663049756005240e-15  1.2349803941535115e-13  -1.1829602003024695e-15  5.9413325519353753e-11  9.4230964710495596e-13  5.3073251273287252e-11  -7.2437645227381256e-08  3.9542450895665202e-15  9.5118757293564832e-13  -5.3079452646630497e-11  3.1099035749118129e-15  -5.9416154882885556e-11
2.0000000000000000e+00  3.2122895488086824e-14  1.6867010098116382e-11  -3.4805701829221726e-11  -1.8135599882850686e-11  -3.6030151438027820e-08  -1.3640659726466142e-14  -3.6182035756034488e-11  1.9465597872131209e-11  -5.9644123026716884e-14  -1.6831920498798070e-11  -3.4196765790880040e-15  1.5773123423655961e-11  -3.3447684851594511e-11  -2.3334586618868352e-11  3.0298077549470741e-07  -2.1306205728558820e-14  -3.3418746091586865e-11  2.3301608297577224e-11  -1.4976456467822673e-14  -1.5757842038584415e-11  7.2302133850535035e-15  4.9028714935293008e-13  -1.5152980808681613e-14  5.4454612112864319e-13  3.8465077261649585e-09  2.8327845319221710e-15  -2.3646543068884473e-14  -5.3488832214027486e-13  1.2125356960819757e-14  -4.8095769534513076e-13  5.2636203993353256e-15  9.7903969684398152e-11  8.8361179507532866e-13  8.6640343101032249e-11  -6.6080122475985029e-08  -4.1572518310005177e-15  9.2181925482311383e-13  -8.6660736595221991e-11  -5.2095537753817335e-15  -9.7902403162652754e-11
2.9999999999999800e+00  2.1506426695192597e-14  2.1437338120380713e-11  -3.2928769295513508e-11  -1.1825220344476915e-11  6.3899074664506068e-08  1.4111294714632713e-15  -3.2411394232286738e-11  1.1300822713682999e-11  -1.2444481835770736e-14  -2.1352869543087536e-11  2.7436003795559367e-14  3.1524109823499735e-11  1.1696621842543890e-11  3.1770593810598805e-11  9.9546354671331921e-08  -7.1259331533170075e-15  1.1710617205756762e-11  -3.1710815939827178e-11  -3.3999616222986347e-14  -3.1528092975136306e-11  4.5578676961947453e-15  -2.0098532335974021e-12  1.8362804953183928e-15  -3.7009883812163651e-12  -1.3721003403704527e-09  -3.0314125239723300e-15  -8.5862053561524143e-16  3.6957614093167533e-12  -7.5185394023827483e-15  2.0296100975911163e-12  -4.7036568911055737e-15  7.1055562156291313e-11  9.0886443457945827e-13  6.3115998309071268e-11  2.7930650951587741e-08  1.0877382391980949e-14  9.1740568839171439e-13  -6.3125287071710943e-11  1.1471642826724914e-14  -7.1041671082821778e-11
3.9999999999999600e+00  -4.5048621646157454e-14  2.1284102810680595e-11  -2.0784503290437790e-10  -1.8673529139172774e-10  2.2670068686133093e-07  -2.7346067546568765e-14  -2.0913213334808770e-10  1.8803399998000033e-10  -3.5983284711420472e-14  -2.1263553913843187e-11  3.9474644395934771e-14  2.2787708241334191e-11  1.3187902220403852e-11  2.4093518005015690e-11  1.9861106432053473e-08  2.0170177252344755e-14  1.3168395634092061e-11  -2.4121627905500398e-11  5.9487495218155448e-15  -2.2799736099075911e-11  -3.4325473437743351e-14  3.4409286763520827e-11  1.9465057999213491e-14  2.6370243071748163e-11  -3.9557875374651327e-08  4.6460643243924150e-15  9.5264373698342658e-15  -2.6365913373701006e-11  -1.5792132873583089e-16  -3.4396824602792207e-11  2.6015441685127671e-14  -5.9623479089198836e-11  9.1245557576072828e-13  -3.3381597596619833e-11  -8.4928893777262434e-08  6.7768512409158133e-15  8.9367572172513161e-13  3.3406753534720513e-11  9.3593552111113393e-15  5.9626824867419363e-11
4.9999999999999396e+00  5.1467455507986252e-14  2.1193952942583714e-11  -3.3583926520466701e-10  -3.1500778992926769e-10  1.2614262974068732e-07  -3.7891741990087166e-15  -3.3935367222874286e-10  3.1853442484142792e-10  3.8614952797694510e-14  -2.1162483694816941e-11  -3.3635925209915302e-15  2.9452943225443402e-11  -8.2318710604168155e-11  -6.7727263266568438e-11  -4.0392631575238452e-08  2.5757328577601907e-14  -8.2277582995100964e-11  6.7680426864516023e-11  -6.6578676105836700e-14  -2.9450879140725313e-11  -4.3602787312823494e-14  -5.6488797370220710e-11  -3.7545063481542886e-14  -3.2977367834769197e-11  3.0920453286700797e-08  -7.3879496854254545e-15  -1.3876146863049796e-14  3.2969736680458831e-11  -7.6431643435899523e-15  5.6468980930782741e-11  2.0832636064558404e-14  1.1524333835875309e-10  9.3455660900357184e-13  9.6678107957649518e-11  -8.5395738632868655e-08  2.0895599271063571e-14  9.0195201310568519e-13  -9.6667480288182714e-11  -8.6146195819125148e-15  -1.1526358276631661e-10
5.9999999999999201e+00  1.4293111817651599e-14  2.6056702829218964e-11  1.3501768175564320e-10  1.6056962614280712e-10  3.5651345946189782e-07  3.6371705081590170e-14  1.1705951109077440e-10  -1.4276694718582865e-10  6.6523896208815845e-14  -2.6040556685162069e-11  3.3533354235556049e-14  2.9785356380339574e-11  -1.6120059201933023e-10  -1.4439416050707312e-10  8.0004221309041421e-09  -4.8633691893230272e-14  -1.6123071767971441e-10  1.4435927816108933e-10  2.0859256228604267e-14  -2.9688834234705198e-11  -2.0088771356438675e-14  -1.5094153485665428e-11  -2.8096616842171925e-12  -1.4589734040722298e-11  -3.9177444348386845e-08  1.2594834936125434e-15  -2.7662453443482226e-12  1.4596403959255227e-11  1.8154200323758718e-14  1.5106665723023743e-11  1.6784779524589858e-14  1.9692815084242893e-10  8.9846765789285528e-13  1.5210939673882670e-10  -1.5313624931206201e-08  2.7266981652734589e-15  8.9618443184425925e-13  -1.5215851558025001e-10  -1.7841529630301042e-14  -1.9689760362163459e-10
6.9999999999998996e+00  -1.0396233445646075e-13  -1.3561238991312660e-10  -5.7236009856457653e-10  -7.0488898052636391e-10  3.0199552151489003e-07  5.9491985865901992e-16  -5.5297615550834376e-10  6.8543472867460577e-10  -1.0810831847201971e-14  1.3562718765377276e-10  -3.1653035228177378e-14  1.0315139868897824e-10  -1.4910620213708848e-11  5.2316947351420997e-11  2.5543850617361856e-07  8.3241542344168016e-15  -1.4939963241076465e-11  -5.2283231849831852e-11  -3.7314431339499491e-14  -1.0317537412121300e-10  1.2396401018894239e-14  -2.3641096048914927e-10  -9.1945645643751059e-12  -1.6992531078711622e-10  4.3387767711917335e-08  -1.4202281074451094e-14  -9.1899416228893086e-12  1.6990114654045138e-10  2.6427229364411690e-14  2.3643030072772519e-10  -3.1345407740547366e-14  -1.7641919915393343e-11  1.1087930484742227e-12  1.9203692717520601e-11  3.5467790695325902e-08  -2.2013275373216881e-15  1.0695437906626672e-12  -1.9100124785175145e-11  -2.9649298808715610e-15  1.7639943031031208e-11
7.9999999999998703e+00  5.2951087895525354e-14  5.4979426003706552e-10  2.4541063453779530e-09  2.9892876872464452e-09  -1.2238455829277980e-06  3.1037788810983298e-14  2.4174966935051008e-09  -2.9528149996609285e-09  1.1594016282130504e-13  -5.4982079567734170e-10  1.0508527075641357e-14  -2.0691049528986988e-10  8.1511620247436672e-11  -8.3711310958686828e-11  1.0130247874165795e-07  3.5182647918471249e-14  8.1509195768436293e-11  8.3642085941898094e-11  9.8044516474242905e-14  2.0696263488064818e-10  -8.8045545669477767e-16  -1.7986147646442961e-10  -3.8676105116309087e-11  -1.5079555102964681e-10  -1.4457036673211475e-07  -2.7066899400323573e-14  -3.8698893060283469e-11  1.5079785913385423e-10  -4.9082746815638431e-14  1.7990284319120837e-10  1.6817884598902616e-14  7.8526021569235799e-11  5.2481175620196575e-12  8.9728232628431417e-11  -3.5978578439371870e-08  4.7752781953543630e-14  5.2924435467263306e-12  -8.9752088743277580e-11  -8.8756024641173763e-15  -7.8473914382567323e-11
8.9999999999998508e+00  1.5694484209695688e-14  2.4724820913602928e-10  6.4411227851272428e-09  6.6852640305829151e-09  -4.6157016930883123e-06  2.9596737965588715e-14  6.4968017877043249e-09  -6.7408929962737817e-09  7.3652791941569334e-14  -2.4715715326309007e-10  -8.7580896214898819e-14  -3.0582341395794361e-10  -1.1358442375583708e-11  -2.5444834631084413e-10  1.4783600133534315e-07  -9.4035509087790415e-15  -1.1331871878031339e-11  2.5439445133913496e-10  -3.4419192374093612e-14  3.0582695383247577e-10  -3.4128706852040190e-14  1.1555949882022846e-10  5.9935999979208279e-11  1.2983568597541567e-10  -3.5007713036117759e-07  3.7133336587599360e-15  5.9909347940505566e-11  -1.2986822529575237e-10  1.2855530948422318e-15  -1.1557393749366343e-10  -1.7862762522726947e-14  -1.8514328411290263e-11  3.0642540206080110e-11  3.1913531023544558e-11  7.3582439036534577e-08  -2.8058242119476137e-14  3.0643798596730846e-11  -3.1908660620335749e-11  1.3445545193785612e-14  1.8532506352559976e-11
9.9999999999998295e+00  8.7590230660154047e-15  -5.5084283959965651e-11  -4.0119186098722818e-09  -4.0656212974610112e-09  8.1774323017438152e-06  6.4119179025036487e-15  -4.2538938576982768e-09  4.3075968040956641e-09  3.7007349692334840e-14  5.5036070242970551e-11  6.1108402059553207e-14  2.4492269370689449e-09  -6.0705957642201306e-10  1.6736678263565417e-09  1.4908877629817216e-06  6.6758741188708230e-14  -6.0702313474382035e-10  -1.6736777519378427e-09  5.7190532963611155e-15  -2.4492194829331263e-09  -2.5852791455200407e-14  1.4104120059745372e-10  -1.0754450451870185e-11  2.8957554068525593e-11  6.5255206676639507e-07  -1.6100769127960291e-14  -1.0725893847311916e-11  -2.8987141196183775e-11  -3.4805746550664861e-14  -1.4104189357365698e-10  4.6171133762775318e-14  4.0129635342925970e-11  2.3996410887271113e-11  6.9014820613486094e-11  -4.1753482454513358e-08  8.6905562702733510e-15  2.3996214945216811e-11  -6.8995004678183896e-11  -4.4912951761661347e-14  -4.0101496184978529e-11
1.0999999999999799e+01  -1.3820821080255844e-13  -1.1017569533319078e-10  -4.2042351532289885e-09  -4.3125963321556229e-09  1.2513439838773510e-06  9.7747426615147079e-16  -4.6816576762242337e-09  4.7900288294360669e-09  -8.3891519944074672e-14  1.1024934642134789e-10  -4.3042423604021926e-14  3.5031382695086136e-08  7.8508118009045665e-09  3.6345383483423083e-08  -2.2695343424240494e-05  1.7513752983412406e-14  7.8507453518425921e-09  -3.6345203220276113e-08  2.6197174373950761e-14  -3.5031449861385827e-08  -6.9684355736292139e-15  -2.6265773482568569e-10  -1.9063276292282355e-10  -3.8880515292006350e-10  3.4115052234631317e-07  2.2602069397655063e-14  -1.9065519579824608e-10  3.8877376498414756e-10  -3.1378674928546746e-14  2.6265081885458109e-10  2.8401593491999752e-14  2.3519629897850765e-11  2.8095755775722893e-11  7.1377234834299635e-11  -2.4373839221449116e-07  1.0465940797760421e-14  2.7931654821382247e-11  -7.1368525268573864e-11  5.1175639643839543e-14  -2.3552543776584262e-11
1.1999999999999799e+01  6.2970874178121538e-15  8.4533115513412614e-11  2.8131891827640325e-10  3.6503679573026628e-10  -3.9702738390282312e-06  2.7385325137371026e-14  -8.5226030119486726e-12  -7.5058381313555736e-11  -1.5382133504622457e-14  -8.4567583512224155e-11  -9.9745991476318266e-14  -1.4994118716588867e-08  7.5666939443956955e-10  -1.1159677426961950e-08  8.8082632003640856e-06  3.6462637790031349e-14  7.5668372149498383e-10  1.1159708720228049e-08  5.5491163333992888e-14  1.4994195212527695e-08  3.6612160252564696e-14  -5.8280040847518794e-10  6.4694563378731263e-11  -3.0525886110397797e-10  1.6985624470225450e-07  8.0842424836029693e-15  6.4653166137708753e-11  3.0523879305648149e-10  -2.3409740029194758e-14  5.8282764763732269e-10  1.1999734789259733e-14  1.7587740511636295e-10  -1.7778823330420215e-11  1.6201942805060428e-10  3.0630166185803313e-07  -2.1536019044378001e-14  -1.7708412082091850e-11  -1.6195032231485277e-10  -9.3357399687750660e-15  -1.7581868799805761e-10
1.2999999999999799e+01  -3.8884834081538482e-14  6.4466984099979875e-11  -2.5371016315560834e-09  -2.4728678971232595e-09  6.6906999433494685e-06  -3.7846416607355067e-14  -2.0045079063172419e-09  1.9402814820981079e-09  -1.3012372098357744e-13  -6.4466524654699026e-11  -7.7123973046771337e-14  -1.1096815151928816e-09  5.6376279973241109e-10  -5.0667076849508827e-10  -3.5222972965878071e-06  4.7583049491272441e-14  5.6359124366065932e-10  5.0674118465656532e-10  8.1882590571069903e-14  1.1096477398813722e-09  1.1719757019377788e-13  3.5020705413835382e-09  2.7307433029699106e-10  3.2619694851456666e-09  -1.3140927098924174e-06  -3.4627830905007104e-14  2.7306916531201912e-10  -3.2619203974056563e-09  -5.4480516336939949e-14  -3.5021532505171493e-09  -7.4358739435267918e-14  3.4780607899396673e-10  -2.2954527053537318e-10  -1.8674368598339128e-11  -9.0467562664537027e-07  3.7463436264609480e-14  -2.2956966518276997e-10  1.8728389337173190e-11  2.1819933708668245e-14  -3.4790578320790140e-10
1.3999999999999700e+01  9.7161829151679693e-14  4.1218888256135559e-10  -9.1451979022167485e-09  -8.7418367043511576e-09  -2.4374142103554741e-05  -4.0668455480107486e-14  -9.1704670554450135e-09  8.7672423494938982e-09  -4.6405190581489104e-14  -4.1217149613234737e-10  -6.6786385083256670e-14  2.9485156115229410e-09  1.8680831133629702e-09  3.8619081386510718e-09  -4.2501803541035372e-06  8.4266880425487146e-14  1.8681798675395642e-09  -3.8619368536485670e-09  1.9509718229343181e-14  -2.9484469235620428e-09  5.0682169739052391e-14  1.1969354649606207e-08  7.4252427315815049e-10  9.6124278781449082e-09  -1.6005700647637808e-05  1.1242449207477024e-14  7.4255072389938089e-10  -9.6125173203794719e-09  -2.0747872193521453e-15  -1.1969376473158405e-08  -9.1584171830065887e-14  4.8651821584326804e-10  -1.5979293547198713e-10  1.6741803768167561e-10  -8.6615502328177321e-07  -6.7251393948982515e-14  -1.5976126407785784e-10  -1.6730707085646440e-10  -3.4250874635085781e-14  -4.8646255216585878e-10
1.4999999999999700e+01  -1.4133156903336771e-14  -6.8738766338999280e-10  2.1095048459139609e-08  2.0417180748520221e-08  -4.3238497941682097e-05  1.8266621406650429e-14  2.1163524873996376e-08  -2.0485521766017553e-08  6.7053229600960708e-14  6.8742213533344704e-10  -8.0948449702372411e-14  -6.8407104607123241e-09  -1.1976502965757696e-09  -6.8425594419200400e-09  7.4591750084884700e-06  -3.5510710446803752e-14  -1.1975788917059613e-09  6.8424560698911460e-09  2.1974419254513377e-13  6.8407389484062531e-09  -1.8566551156957369e-13  -1.4742087634989234e-08  -6.6828336639853214e-10  -1.3120278932106468e-08  7.2123260199261331e-06  4.7184477995460070e-14  -6.6828482614514324e-10  1.3120343001712703e-08  -4.8684884041481025e-14  1.4742067193022363e-08  -4.5389798490045454e-15  8.3440047944041718e-10  4.2363051737350154e-10  1.0990235272510032e-09  3.9834435236208823e-07  3.8960354231891423e-14  4.2378652725776929e-10  -1.0991657420733568e-09  -8.4447897926650308e-14  -8.3435210542153733e-10
1.5999999999999700e+01  1.0264789611066091e-13  -3.4652508405909008e-10  -8.1116265292750569e-09  -8.4522362750004043e-09  -3.8354981924610139e-07  4.3303470021169615e-14  -9.4744784821582168e-09  9.8151724285362034e-09  -7.4352589042425256e-14  3.4646420845915174e-10  3.4954718376960549e-14  -9.2103117639570933e-10  -2.4789454860693949e-09  -3.3732693147064558e-09  7.5813840805566963e-07  -3.2967595435636199e-14  -2.4790417716989648e-09  3.3732495691296237e-09  -1.0287301749037039e-14  9.2083694186585778e-10  -3.1171881208469580e-14  9.0908698895498303e-09  8.6488737091041687e-11  8.2955146446842680e-09  -2.5521169534215544e-06  8.5432270335596856e-14  8.6532844340465302e-11  -8.2952958430976079e-09  6.6577500742128404e-15  -9.0909485500450543e-09  8.5935408730359590e-14  7.4550971238317508e-09  6.1456740498500694e-10  6.7820804422288581e-09  -2.9353004160996567e-06  6.9445260359119617e-14  6.1445167072041473e-10  -6.7818413939768859e-09  1.9324197118611664e-13  -7.4550611019258378e-09
