# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)  Re_m-2(R=22)  Im_m-2(R=22)  Re_m-1(R=22)  Im_m-1(R=22)  Re_m0(R=22)  Im_m0(R=22)  Re_m1(R=22)  Im_m1(R=22)  Re_m2(R=22)  Im_m2(R=22)
0.0000000000000000e+00  -3.3357603376315949e-17  2.6073683724907992e-11  6.7722127925845317e-14  2.6010763793264628e-11  3.0579229279713079e-10  -8.5369172210478380e-18  8.2730645530816989e-14  -2.6025732365145085e-11  8.4686931601549637e-20  -2.6073683976915206e-11  -6.9161244351463949e-17  6.7072615871087334e-13  -8.1120803691261878e-13  -4.9158851662842257e-14  4.3477292511806993e-07  4.4140553222477730e-17  -7.9851607430519885e-13  3.6093535809098307e-14  -1.4235641943195207e-17  -6.7068635933990072e-13  -4.1883263529110528e-17  -5.8487921547387528e-14  -3.1214647641817368e-14  -1.8481330717224144e-16  -2.0006023940861869e-13  -6.4649972905263466e-17  -1.8808128325438969e-14  -1.2115329371056079e-14  -4.0437565341379592e-17  5.8549028919999816e-14  -1.1385217319289977e-16  -9.8905874233527392e-12  7.8630309210669349e-13  -7.8858015235183857e-12  -5.4593974908810068e-08  -1.0923253782999032e-17  7.9842053443688098e-13  7.8737554174951373e-12  1.0911644058970464e-16  9.8905485163043220e-12
1.0000000000000000e+00  6.9357400362898437e-15  2.1911682966467020e-11  3.5678762418421994e-11  5.7382337696014917e-11  -3.7620676914633647e-08  -9.3872913650069381e-15  3.5518616207745183e-11  -5.7217797917631441e-11  -7.5220547763001587e-15  -2.1894326459417564e-11  5.4355667564308027e-15  2.3274884046968326e-11  -4.2985663216378424e-11  -2.6061502417103070e-11  2.2735981302901750e-07  -4.6090245601359658e-15  -4.2961947713760475e-11  2.6055306734625044e-11  9.8530639007889091e-15  -2.3274102539856839e-11  -3.1119982279650929e-16  -1.1979022474284620e-13  -2.6188782884712104e-14  -5.7664882156416371e-14  8.5085756082521852e-10  7.5627060964137185e-16  -2.8038342121608429e-14  5.9178967296275062e-14  1.0663049756005240e-15  1.2349803941535115e-13  -1.1829602003024695e-15  5.9413325519353753e-11  9.4230964710495596e-13  5.3073251273287252e-11  -7.2437645227381256e-08  3.9542450895665202e-15  9.5118757293564832e-13  -5.3079452646630497e-11  3.1099035749118129e-15  -5.9416154882885556e-11
2.0000000000000000e+00  3.2122911302418316e-14  1.6867010102977138e-11  -3.4805701826515838e-11  -1.8135599862830737e-11  -3.6030151438061463e-08  -1.3640603671473333e-14  -3.6182035853887660e-11  1.9465597910286741e-11  -5.9644199739565789e-14  -1.6831920514863455e-11  -3.4196765790880040e-15  1.5773123423655961e-11  -3.3447684851594511e-11  -2.3334586618868352e-11  3.0298077549470741e-07  -2.1306205728558820e-14  -3.3418746091586865e-11  2.3301608297577224e-11  -1.4976456467822673e-14  -1.5757842038584415e-11  7.2302133850535035e-15  4.9028714935293008e-13  -1.5152980808681613e-14  5.4454612112864319e-13  3.8465077261649585e-09  2.8327845319221710e-15  -2.3646543068884473e-14  -5.3488832214027486e-13  1.2125356960819757e-14  -4.8095769534513076e-13  5.2636203993353256e-15  9.7903969684398152e-11  8.8361179507532866e-13  8.6640343101032249e-11  -6.6080122475985029e-08  -4.1572518310005177e-15  9.2181925482311383e-13  -8.6660736595221991e-11  -5.2095537753817335e-15  -9.7902403162652754e-11
2.9999999999999800e+00  1.4122241224277976e-14  2.1437339322403177e-11  -3.2922005553082189e-11  -1.1820164822551731e-11  6.3899069420569389e-08  9.3121108536521834e-16  -3.2412393235588987e-11  1.1299384799579738e-11  -2.1993819312803137e-14  -2.1357988412056455e-11  2.7436010011709529e-14  3.1524109821522373e-11  1.1696621843302250e-11  3.1770593813570774e-11  9.9546354671331233e-08  -7.1259342407289235e-15  1.1710617203686185e-11  -3.1710815943781515e-11  -3.3999620045471841e-14  -3.1528092972321229e-11  4.5578676961947453e-15  -2.0098532335974021e-12  1.8362804953183928e-15  -3.7009883812163651e-12  -1.3721003403704527e-09  -3.0314125239723300e-15  -8.5862053561524143e-16  3.6957614093167533e-12  -7.5185394023827483e-15  2.0296100975911163e-12  -4.7036568911055737e-15  7.1055562156291313e-11  9.0886443457945827e-13  6.3115998309071268e-11  2.7930650951587741e-08  1.0877382391980949e-14  9.1740568839171439e-13  -6.3125287071710943e-11  1.1471642826724914e-14  -7.1041671082821778e-11
3.9999999999999600e+00  -3.0840286208786311e-14  2.1275877756863450e-11  -2.0778314579576399e-10  -1.8672296286845134e-10  2.2670062180855368e-07  -5.0141368411972531e-14  -2.0910105198540599e-10  1.8801190864323159e-10  -3.4015132868029833e-14  -2.1249081934080088e-11  3.9567672990484695e-14  2.2787762206615306e-11  1.3187793757036253e-11  2.4093460512503418e-11  1.9861106478985146e-08  2.0221333944153559e-14  1.3168387684236908e-11  -2.4121639718652667e-11  5.9715757597434221e-15  -2.2799736170950145e-11  -3.4325473426864492e-14  3.4409286763610783e-11  1.9465057704521916e-14  2.6370243071495366e-11  -3.9557875374650679e-08  4.6460643208373155e-15  9.5264366259315154e-15  -2.6365913373078129e-11  -1.5792120648430198e-16  -3.4396824603333797e-11  2.6015441685127671e-14  -5.9623479089198836e-11  9.1245557576072828e-13  -3.3381597596619833e-11  -8.4928893777262434e-08  6.7768512409158133e-15  8.9367572172513161e-13  3.3406753534720513e-11  9.3593552111113393e-15  5.9626824867419363e-11
4.9999999999999396e+00  2.1398790608639610e-14  2.1178118390954070e-11  -3.3591595111873114e-10  -3.1502937000307787e-10  1.2631887569746877e-07  -2.0215091450233812e-14  -3.3941539094979514e-10  3.1851861110139307e-10  -3.6988604879797803e-15  -2.1171839441888169e-11  -1.0864838249220598e-14  2.9452192973505190e-11  -8.2312246782578545e-11  -6.7719683786234918e-11  -4.0392636159553975e-08  2.8157335020432580e-14  -8.2272690668608789e-11  6.7673449956616185e-11  -5.6764488260105927e-14  -2.9450814842044089e-11  -4.3602785369958292e-14  -5.6488797372567893e-11  -3.7545066551341437e-14  -3.2977367831046988e-11  3.0920453286704556e-08  -7.3879491692308249e-15  -1.3876143469392992e-14  3.2969736681204295e-11  -7.6431625042497953e-15  5.6468980928590719e-11  2.0832636064540633e-14  1.1524333835875309e-10  9.3455660900364293e-13  9.6678107957649441e-11  -8.5395738632868655e-08  2.0895599271134656e-14  9.0195201310554302e-13  -9.6667480288182714e-11  -8.6146195817703431e-15  -1.1526358276631661e-10
5.9999999999999201e+00  2.9661326067977846e-14  2.4342232647289734e-11  1.4726888309957068e-10  1.7119005758727451e-10  3.4970660990646772e-07  1.8462475328202204e-14  1.2967440092326109e-10  -1.5369507565369626e-10  -1.1076285206437594e-13  -2.4341578559239926e-11  -1.0242220375347483e-14  2.9749738849942695e-11  -1.6121162945554918e-10  -1.4436844502726278e-10  8.0004335617118457e-09  -2.6658365525365101e-14  -1.6122639854984833e-10  1.4433833633734893e-10  3.4691781164562408e-14  -2.9683165151571593e-11  -2.0101163024155675e-14  -1.5094204230814064e-11  -2.8095214404193946e-12  -1.4589811834594008e-11  -3.9177444170470373e-08  1.3608457669407698e-15  -2.7661986489136559e-12  1.4596791654089155e-11  1.8300589153534758e-14  1.5106760034197217e-11  1.6784786910759739e-14  1.9692815083826575e-10  8.9846766239882776e-13  1.5210939674089453e-10  -1.5313624931203802e-08  2.7266999378342699e-15  8.9618443397033456e-13  -1.5215851558354182e-10  -1.7841532412849776e-14  -1.9689760361994440e-10
6.9999999999998996e+00  6.3578138823271005e-14  1.7718962324576558e-10  -4.0308791719965132e-10  -2.2808265697993622e-10  2.3035359373203325e-06  1.7662688171538668e-14  -4.0384357907268441e-10  2.2886604326876931e-10  -6.7738884751674995e-14  -1.7721501002304224e-10  -7.8019601282140326e-15  1.0314927114285155e-10  -1.4913054114034126e-11  5.2335824742764592e-11  2.5543851007498503e-07  -3.6426122861282382e-15  -1.4959915746634516e-11  -5.2276122263241981e-11  -3.7937262046331910e-14  -1.0319905232239659e-10  1.4943401816624480e-14  -2.3640845346821620e-10  -9.1979110016681912e-12  -1.6992515581647985e-10  4.3387759705971949e-08  -1.1840362699024871e-14  -9.1884051748408296e-12  1.6989872592314570e-10  2.1144701143356661e-14  2.3643009494825074e-10  -3.0906666479478195e-14  -1.7642028296914792e-11  1.1094225149344293e-12  1.9203838501136641e-11  3.5467790726335626e-08  -2.0179829563975412e-15  1.0696079031354773e-12  -1.9100109842423298e-11  -2.9669546127794636e-15  1.7639970070864630e-11
7.9999999999998703e+00  1.1546077574472718e-14  -5.9698773696767094e-10  1.2504557077699107e-09  6.7145195399108048e-10  -8.2715872498782261e-06  -6.6443638813881434e-14  1.2112501467136577e-09  -6.3233740014761876e-10  3.2555857012394018e-14  5.9698153559804636e-10  2.4685708710317335e-14  -2.0692491330956685e-10  8.1514264604161854e-11  -8.3705466154109895e-11  1.0132922527839243e-07  4.2366667463865258e-14  8.1538308030254754e-11  8.3655776985731920e-11  3.6673196818770480e-14  2.0696210809270348e-10  5.7697359056355960e-15  -1.7987066594108469e-10  -3.8679834682127322e-11  -1.5079821343861734e-10  -1.4457034951567440e-07  -2.0098023972875491e-14  -3.8690093849179965e-11  1.5080293080209805e-10  -5.1982244960752210e-14  1.7990040478698614e-10  1.8467668526505416e-14  7.8527283431010925e-11  5.2463791146283822e-12  8.9728831198382287e-11  -3.5978577424936863e-08  4.6685998773713415e-14  5.2918512934968703e-12  -8.9751726130458753e-11  -1.0121707099495518e-14  -7.8474623630315932e-11
8.9999999999998508e+00  4.0052570744299530e-14  -9.6961741783075068e-11  6.3248946786635957e-09  6.2234326158178716e-09  -2.4903311240290263e-05  -2.1899632745096370e-14  6.4296870395035593e-09  -6.3281024025996798e-09  1.8298824975389981e-14  9.6974956344618417e-11  -7.7759298397727009e-14  -3.2563149499706432e-10  2.7368132986139862e-11  -2.3243041250021033e-10  1.0469428201668965e-07  1.1368038497344205e-15  2.7377613254859719e-11  2.3235058138022494e-10  -1.4819922662634261e-14  3.2573219943859898e-10  -2.3402990899955465e-14  1.1555308157070387e-10  5.9945415132178118e-11  1.2983494027546623e-10  -3.5007712974515006e-07  3.9082538312036626e-15  5.9945695615663874e-11  -1.2984409043324059e-10  6.4716263209452105e-15  -1.1556385085369612e-10  -1.9329644335313184e-14  -1.8521480842527416e-11  3.0647186788031883e-11  3.1920775212980958e-11  7.3582423741702748e-08  -2.3793883843971618e-14  3.0643502260480063e-11  -3.1907128186270003e-11  8.4949064577089102e-15  1.8532491797049725e-11
9.9999999999998295e+00  4.8657806632504649e-14  7.3739658790110888e-10  -3.8905733299189999e-09  -3.1674554760972860e-09  3.8552219293943579e-05  -1.4573231767327211e-14  -4.3599359167189490e-09  3.6368283533710448e-09  -1.7383524975898440e-15  -7.3729838611913563e-10  -5.7421542629377940e-14  1.5252463276307484e-09  -1.0508202871085430e-09  2.8543031775087606e-10  3.7875894584916383e-06  2.1865073667336273e-14  -1.0508985031730302e-09  -2.8545042819477559e-10  -2.3346873905698338e-15  -1.5253166142039848e-09  -5.0397058089453770e-14  1.4104079459526591e-10  -1.0757441318571142e-11  2.8963194149667102e-11  6.5255214815824975e-07  -7.4906231440037654e-15  -1.0735746757377487e-11  -2.8983980606855234e-11  1.4837557454612627e-14  -1.4103591792910162e-10  3.3219873186912211e-14  4.0127972538813858e-11  2.3975576406818295e-11  6.8992824584886914e-11  -4.1753492884482717e-08  6.0655399340993563e-15  2.4005718335263785e-11  -6.8986489207089030e-11  -1.4226171821071530e-14  -4.0087866388012049e-11
1.0999999999999799e+01  -5.2501921260435194e-14  2.9485616942310294e-11  2.6929354402250626e-09  2.7239716584874225e-09  -1.9645072326753465e-05  3.8615730112740810e-14  2.3901347470367927e-09  -2.4210331371031835e-09  6.0959355595314579e-15  -2.9442269847897469e-11  -8.5302664547829176e-14  2.4625762801020803e-08  1.8381270373687346e-08  3.5517374862273174e-08  -1.1653120232673754e-04  6.0720418472015825e-14  1.8381182829840034e-08  -3.5517389193561509e-08  -8.4234209765047395e-14  -2.4625840571503115e-08  -5.7758563432975747e-14  -2.6264258677162713e-10  -1.9069002888949857e-10  -3.8883530215438459e-10  3.4116314046993322e-07  1.2747498528854123e-15  -1.9065370323199941e-10  3.8880983106420502e-10  -8.0383061797640351e-14  2.6264414947840975e-10  2.5081275867551027e-14  2.3514847713020445e-11  2.8069213685286626e-11  7.1364336058409765e-11  -2.4373839188227267e-07  8.1434003844381950e-15  2.7948013116602453e-11  -7.1371759057359905e-11  7.5845483621407885e-14  -2.3559994148511810e-11
1.1999999999999799e+01  1.3602676373634121e-14  1.4866891714386080e-10  -5.4575603980680970e-09  -5.3081943769689833e-09  -8.9389528042936925e-05  1.3338305699468139e-14  -5.6776203033139066e-09  5.5284290149285779e-09  -8.4317509541863294e-14  -1.4873327129184043e-10  -2.5545390882571944e-14  -9.5325922446418780e-09  8.0708475021235529e-10  -6.5980592157575653e-09  4.5512578193539935e-05  9.5626416465818913e-14  8.0714936497995102e-10  6.5979904255733797e-09  7.0420228821794436e-14  9.5326491883148768e-09  -6.0087228349230281e-14  -5.9032331084302613e-10  6.3828150690736491e-11  -3.1181541894748818e-10  1.7375490673018802e-07  6.6651861976926391e-15  6.3749912260497800e-11  3.1180572968074539e-10  -4.5084724213799465e-14  5.9034495757907243e-10  1.2542850465848282e-14  1.7588592883284435e-10  -1.7755159589964273e-11  1.6199261383047815e-10  3.0630167949370304e-07  -3.1843017425590054e-14  -1.7672314016883251e-11  -1.6194463641037632e-10  -2.9326425062617563e-14  -1.7580572653358574e-10
1.2999999999999799e+01  4.9352048892634090e-14  1.3637074365804651e-10  -1.8005888867343109e-09  -1.6633275210879299e-09  -8.9654792265967602e-04  -5.4358883269698531e-14  -1.3631947035876577e-09  1.2259916672526528e-09  -3.6493486885169874e-14  -1.3638514042539939e-10  -1.0395392473549544e-13  8.1577680982871437e-09  2.9076267268106518e-10  7.6861227675825134e-09  -2.0284299715403511e-05  5.0960181899447368e-14  2.9080579842927858e-10  -7.6859535475966129e-09  -1.0782286152560233e-13  -8.1577216315717170e-09  1.4696479304645689e-13  3.1655783333734857e-09  3.3090521406476533e-10  2.6564732716033522e-09  -6.3596642333010106e-06  -2.2057707561244140e-14  3.3093426671989584e-10  -2.6564835636419874e-09  -5.9336144475741138e-14  -3.1656427011882080e-09  -6.4976862713536618e-14  3.4777440496041735e-10  -2.2959832638619780e-10  -1.8643107387577134e-11  -9.0467565391883040e-07  5.7931653664448161e-14  -2.2955424784827225e-10  1.8741418532481689e-11  5.1636654174008438e-14  -3.4789594704064991e-10
1.3999999999999700e+01  9.0683108657971533e-14  -1.2546847762755279e-09  -2.2750752543554009e-08  -2.3982970787211173e-08  -9.5545708152262735e-04  -5.7458142516773851e-14  -2.2920378195819390e-08  2.4152677403724074e-08  9.4533364611928822e-14  1.2546067588741444e-09  1.0520684980589197e-14  5.6895915719628816e-09  1.6040498387591201e-09  7.0424386957312546e-09  -2.3404619256309176e-05  1.9246414214163286e-14  1.6040212464193223e-09  -7.0423791496916035e-09  -6.5216810204544081e-15  -5.6896089802250806e-09  4.2984703239358412e-14  1.1391490580493281e-08  2.1901146811262107e-09  8.2054098775705474e-09  -8.4894867259810127e-05  1.7100726572053132e-14  2.1900974745162525e-09  -8.2054517933418096e-09  -1.2472456982224893e-14  -1.1391501641715480e-08  -1.0837075574868253e-13  4.8619227469482914e-10  -1.5973092535893265e-10  1.6702742147180595e-10  -8.6614485039312527e-07  -9.4009543008054795e-14  -1.5978329177282010e-10  -1.6695019722186784e-10  3.3722827392070619e-14  -4.8613316192480035e-10
1.4999999999999700e+01  1.1247403095339520e-15  2.0275343640235168e-09  5.4580185733941051e-08  5.6567436526069677e-08  1.8714302193107454e-04  3.5544393824922833e-15  5.5069442730017956e-08  -5.7056639870573925e-08  1.1650807133535058e-13  -2.0275670926267467e-09  2.5197857828258825e-14  -5.7019941026821465e-09  -1.8515830577049284e-09  -6.8995291600891263e-09  2.9153376938319913e-05  2.8844904140699042e-15  -1.8517760891370727e-09  6.8995116448871267e-09  -1.5942585617597296e-15  5.7019911025339164e-09  -1.8275139721363921e-13  9.9814367190978306e-10  -8.6507806141415968e-10  1.5916638025990571e-09  3.6121399565833723e-05  1.3446832067150337e-14  -8.6507897768023430e-10  -1.5916083061571157e-09  -7.0072037818499322e-14  -9.9814654595561625e-10  -8.0063365911141987e-15  7.0891372070680124e-10  4.2346270636086235e-10  9.8018945732380765e-10  3.7383607198120350e-07  4.2380730488160078e-14  4.2368110107552822e-10  -9.8026669987319399e-10  -1.3709283115483679e-13  -7.0889337294351284e-10
1.5999999999999700e+01  -4.1931196862047530e-15  -1.9471562964484183e-09  -4.6671894612210396e-08  -4.8585565778608944e-08  7.5779713231672544e-04  -2.6550353077272956e-14  -4.8407795127887936e-08  5.0321286304396069e-08  -1.9196550592358773e-13  1.9470934452628566e-09  4.6881640233635476e-14  2.2658661000525985e-09  2.6437268578304033e-09  4.2799679093961313e-09  -2.0174839156241267e-05  -3.4440009655242681e-16  2.6435987448628472e-09  -4.2798211072112027e-09  -1.5318271358548963e-13  -2.2659979430918623e-09  -6.1597595387368252e-15  -9.9588510283218276e-09  6.0407102269017629e-10  -6.4677545451363764e-09  8.0523312813743795e-06  5.0071169107419649e-14  6.0402538315315503e-10  6.4679905193101532e-09  -5.2536838862325096e-14  9.9587073239065762e-09  5.2918560935875369e-14  1.2112515971449122e-08  4.9899945053361945e-10  1.0869779062388370e-08  -6.3200317611109841e-06  7.9127761622705296e-14  4.9887306815087991e-10  -1.0869634887390629e-08  2.1356216657271037e-13  -1.2112554465223444e-08
1.6999999999999901e+01  -3.4260376871173884e-13  -2.4595575914787501e-10  -3.1250115818734001e-09  -3.3729461367195020e-09  8.3414487133239110e-04  -6.8290366828559518e-14  -9.9687912906354679e-10  1.2448637203751047e-09  -1.2431399052586907e-13  2.4593693540954661e-10  -5.2859126705101724e-15  -1.1986815463977877e-08  -1.6039379253902269e-08  -2.5606476601045213e-08  -1.6557085335433265e-04  -4.9886879999572636e-14  -1.6039078604066864e-08  2.5606398386467778e-08  -9.4537344150663603e-14  1.1986807509666090e-08  9.0441145496403327e-14  5.9413203676624390e-09  1.2816562251615489e-09  6.1372803829218908e-09  3.2348604049147211e-05  9.8027816335560655e-14  1.2815874828207530e-09  -6.1372324754166723e-09  1.5309936474363606e-13  -5.9412486506631920e-09  5.0172584095601679e-14  -9.4645880536291672e-08  3.9879784291663640e-09  -9.1009658725389139e-08  -1.0869505618413181e-04  4.0811762885275842e-14  3.9879546974528622e-09  9.1009748836469392e-08  -6.1926793616961990e-14  9.4646254392985695e-08
1.8000000000000000e+01  5.8143421414339360e-14  1.9736041579808159e-09  9.0845998434652705e-09  1.1026746697839699e-08  7.8874532906594277e-04  9.0606065990812351e-14  7.9115755454290441e-09  -9.8536100248955538e-09  -3.2637894656790343e-15  -1.9736477015114089e-09  -1.2146981663348385e-13  1.8173080757759949e-08  2.2307551172295765e-08  3.6288687019449429e-08  -1.0072330250772753e-03  7.5629417506688186e-14  2.2307629965786068e-08  -3.6288602008257864e-08  -2.1790938300527529e-13  -1.8173064976734699e-08  -1.3544013036537057e-13  -7.2018839824268854e-09  -8.6475207165773597e-10  -8.1526045796789285e-09  -2.8997831966230619e-05  -9.5025741196114207e-14  -8.6468990750820397e-10  8.1524555200087814e-09  1.9501195487994775e-14  7.2018872887810083e-09  -4.6209062045977538e-14  1.5895172538113162e-07  1.5482874648086820e-09  1.5957119300910744e-07  8.3511068216107927e-05  3.3227474715367482e-14  1.5485060601420090e-09  -1.5957098287261163e-07  -1.8028923027978850e-13  -1.5895178850746372e-07
1.9000000000000199e+01  -1.0943360057582097e-13  -6.0276958556899479e-10  9.5366258035329640e-09  8.9405551170658371e-09  6.7284353354996821e-04  6.9582069497812446e-14  9.4806314644947667e-09  -8.8844253739933707e-09  2.8102102024008401e-13  6.0267412082724627e-10  1.1277364889120737e-13  -1.1244224369476360e-08  3.5799063027692323e-09  -5.5897651297544910e-09  -6.2264915217944967e-04  -1.2087048930064209e-14  3.5797627624628347e-09  5.5899247845303841e-09  -8.3830410944973799e-14  1.1244175093648124e-08  -1.0048751362776721e-14  -2.6332364740264936e-09  9.1642839637891773e-10  -9.9840408238825216e-10  -5.6984314463284797e-06  1.1772966064441371e-14  9.1648023599898782e-10  9.9802407258902896e-10  4.9627673426079585e-14  2.6331204339551700e-09  -1.5369605328787702e-13  -6.8295047473904269e-08  -2.0697632661221227e-09  -6.6219687082088196e-08  1.6379471969799624e-05  -7.1034270661350037e-14  -2.0696353663438168e-09  6.6219719878422949e-08  1.0452473821350561e-13  6.8295001580727252e-08
2.0000000000000298e+01  -2.7290451555427511e-13  -1.1418797978126089e-09  7.4066587910973166e-09  6.2797403940222360e-09  4.1414579069127129e-04  -3.5277717774772155e-15  6.6450753556114768e-09  -5.5186967487717623e-09  -1.6728161729031505e-13  1.1421924113541331e-09  5.1066603597259222e-14  -1.1404811286430325e-08  -1.6366357296539267e-08  -2.5959710442254393e-08  4.6694114664418525e-04  2.3954851944622625e-13  -1.6366474420372610e-08  2.5960020886359584e-08  1.1756878135785160e-13  1.1404840194570271e-08  4.8540280488675439e-14  6.7426529110014622e-09  -1.3718471025308272e-09  4.2488465275966912e-09  -1.6528578052570169e-07  -2.3476323321897112e-13  -1.3717797524006259e-09  -4.2487364896499415e-09  -2.6293403124471009e-13  -6.7424287587617786e-09  -1.6586069040517694e-13  2.0509280968831099e-08  -1.2775211269468665e-09  1.7051807502884229e-08  -2.6973458890292845e-05  9.2856599121842086e-15  -1.2775009372683231e-09  -1.7051964560711109e-08  2.3478954295749301e-13  -2.0509415151053634e-08
2.1000000000000501e+01  5.7820830647627252e-14  2.6591672420198408e-09  -5.9799839093302593e-09  -3.3465923273432538e-09  -2.5319302362959556e-05  1.6658588109582881e-13  -3.5164360412758050e-09  8.8313770658496897e-10  4.2812899162479760e-14  -2.6593558058646585e-09  -1.2441800082445269e-13  1.0915808180432778e-08  -2.6098819215953481e-09  6.7473673759381262e-09  8.4844075086323162e-04  -1.1110431213043027e-14  -2.6097324491144227e-09  -6.7475846263919603e-09  -2.1038205470987061e-14  -1.0915911195611826e-08  -5.2366306977679816e-14  -1.1776453136633708e-08  -1.9631140878512467e-09  -1.0379632380357246e-08  -2.7813716190602242e-05  1.1242275500727121e-13  -1.9632974196824873e-09  1.0379566025343365e-08  3.3581551329779850e-13  1.1776419734912315e-08  1.8417245503880260e-13  -1.7385314894723531e-09  -1.3871089822536182e-09  -2.3044938310729526e-09  2.9016568618725352e-05  -1.1181896507732316e-13  -1.3870900166001046e-09  2.3045793751628761e-09  -3.7014896478091904e-14  1.7387485601389171e-09
2.2000000000000600e+01  -2.3158396806418692e-13  -2.0071725040109092e-09  -1.5158875631692830e-08  -1.7147282753028501e-08  -6.4245492829408785e-04  -8.2077871518312362e-14  -1.5548690195341031e-08  1.7536917131002526e-08  6.6658073068860555e-14  2.0071829474073899e-09  1.8786100555758380e-14  1.6630484319854311e-08  4.2518673478326351e-09  1.7613220250723381e-08  8.4463375210586892e-04  -2.5158455459901861e-13  4.2521130982397442e-09  -1.7613441217036627e-08  3.5055972974531926e-13  -1.6630274301291921e-08  -2.1512860142419334e-13  1.4638683868290198e-08  6.4504546210319098e-10  1.0714759631357853e-08  -5.0900973515800526e-04  -5.1729278777985695e-14  6.4487713274112702e-10  -1.0714860177728753e-08  -2.3814128064682692e-13  -1.4639034446082520e-08  -4.1324963128625125e-14  -5.2960308722639498e-09  2.5176356826150630e-09  -1.5451469991574475e-09  -2.2151406689736438e-05  -5.9422684069254778e-14  2.5175252425491663e-09  1.5450361499597807e-09  -3.3656095957748239e-14  5.2959664192004957e-09
2.3000000000000799e+01  -4.6404059606387757e-13  4.3432076602303916e-09  4.6443239872171751e-09  8.9921552174869011e-09  -1.3559171682732177e-03  4.4129259657144331e-13  2.0346600866532068e-09  -6.3819042001428919e-09  8.5043838100720253e-13  -4.3434494855525798e-09  2.6716807891080642e-14  -2.5698747550459379e-08  -1.0043239644913382e-08  -3.0516390007825875e-08  7.2750728138593827e-04  -2.7819535782783461e-14  -1.0043224469063046e-08  3.0516543067682079e-08  4.4978574634978677e-13  2.5698445228042659e-08  2.3373277109644446e-13  -1.0307434293849967e-08  1.0316484049510318e-08  2.5514237928168122e-09  -1.0309954098636949e-03  -5.5664942465577950e-14  1.0317023013223374e-08  -2.5513329833791397e-09  4.8828784402403963e-13  1.0307315159944989e-08  -4.5892283956006388e-13  1.8803875069389088e-09  -2.0519021622142383e-10  2.2015589256980776e-09  -5.7402074209459558e-05  -2.1472925051782779e-14  -2.0515125224697008e-10  -2.2010108628154425e-09  4.7638097971229285e-14  -1.8799119801348674e-09
