# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)  Re(R=22)  Im(R=22)
1.2999999999999799e+01  -8.9654792265967602e-04  -5.4358883269698531e-14  -2.0284299715403511e-05  5.0960181899447368e-14  -6.3596642333010106e-06  -2.2057707561244140e-14  -9.0467565391883040e-07  5.7931653664448161e-14
1.3999999999999700e+01  -9.5545708152262735e-04  -5.7458142516773851e-14  -2.3404619256309176e-05  1.9246414214163286e-14  -8.4894867259810127e-05  1.7100726572053132e-14  -8.6614485039312527e-07  -9.4009543008054795e-14
1.4999999999999700e+01  1.8714302193107454e-04  3.5544393824922833e-15  2.9153376938319913e-05  2.8844904140699042e-15  3.6121399565833723e-05  1.3446832067150337e-14  3.7383607198120350e-07  4.2380730488160078e-14
1.5999999999999700e+01  7.5779713231672544e-04  -2.6550353077272956e-14  -2.0174839156241267e-05  -3.4440009655242681e-16  8.0523312813743795e-06  5.0071169107419649e-14  -6.3200317611109841e-06  7.9127761622705296e-14
1.6999999999999901e+01  8.3414487133239110e-04  -6.8290366828559518e-14  -1.6557085335433265e-04  -4.9886879999572636e-14  3.2348604049147211e-05  9.8027816335560655e-14  -1.0869505618413181e-04  4.0811762885275842e-14
1.8000000000000000e+01  7.8874532906594277e-04  9.0606065990812351e-14  -1.0072330250772753e-03  7.5629417506688186e-14  -2.8997831966230619e-05  -9.5025741196114207e-14  8.3511068216107927e-05  3.3227474715367482e-14
1.9000000000000199e+01  6.7284353354996821e-04  6.9582069497812446e-14  -6.2264915217944967e-04  -1.2087048930064209e-14  -5.6984314463284797e-06  1.1772966064441371e-14  1.6379471969799624e-05  -7.1034270661350037e-14
2.0000000000000298e+01  4.1414579069127129e-04  -3.5277717774772155e-15  4.6694114664418525e-04  2.3954851944622625e-13  -1.6528578052570169e-07  -2.3476323321897112e-13  -2.6973458890292845e-05  9.2856599121842086e-15
2.1000000000000501e+01  -2.5319302362959556e-05  1.6658588109582881e-13  8.4844075086323162e-04  -1.1110431213043027e-14  -2.7813716190602242e-05  1.1242275500727121e-13  2.9016568618725352e-05  -1.1181896507732316e-13
2.2000000000000600e+01  -6.4245492829408785e-04  -8.2077871518312362e-14  8.4463375210586892e-04  -2.5158455459901861e-13  -5.0900973515800526e-04  -5.1729278777985695e-14  -2.2151406689736438e-05  -5.9422684069254778e-14
2.3000000000000799e+01  -1.3559171682732177e-03  4.4129259657144331e-13  7.2750728138593827e-04  -2.7819535782783461e-14  -1.0309954098636949e-03  -5.5664942465577950e-14  -5.7402074209459558e-05  -2.1472925051782779e-14
2.4000000000000998e+01  -2.0598638274818251e-03  2.0748918937802179e-13  5.3263554690652999e-04  1.3886386257885871e-13  -1.1489524827020167e-05  1.3315617609022488e-13  -6.9414228064356749e-06  1.3727476990774065e-13
2.5000000000001101e+01  -2.6207355103680203e-03  2.3138417625092060e-13  2.2557887662848284e-04  2.3191770405653328e-13  7.6165323887639527e-04  -2.7207028955721862e-13  -4.5362254651360956e-05  -2.8184064913562121e-13
2.6000000000001300e+01  -2.9369505311884351e-03  1.4424930118176273e-13  -2.3934456257619630e-04  4.8033812694240272e-13  8.9809519358362332e-04  -2.0723979108897200e-13  -1.4306774214131610e-04  3.0881908049941434e-13
2.7000000000001400e+01  -2.9245358235476210e-03  1.1091907696484634e-13  -8.6643133942333685e-04  1.1309866496943950e-13  7.7872922235010873e-04  5.1169851933083759e-13  -9.1821501119159583e-04  3.3804244080678721e-13
2.8000000000001599e+01  -2.5881407989725067e-03  -2.1606687595047467e-13  -1.5026468750720552e-03  4.4480628256365255e-13  6.3153379234720324e-04  -2.0304548851289139e-13  -5.0131962382171560e-04  -4.3513332510607449e-13
2.9000000000001702e+01  -1.9529190167419646e-03  1.0115271959695700e-13  -2.0259046010213137e-03  1.4856709392785855e-13  3.2785984358558692e-04  -4.8707563168140022e-13  5.5429108433826765e-04  -1.7991245021215033e-12
3.0000000000001901e+01  -1.1070506594494263e-03  -3.5827636255470932e-13  -2.3925596998372522e-03  6.8642960644560470e-13  1.0884752002046506e-05  3.4323087401791734e-13  8.8463743724678519e-04  1.1294609161852969e-12
3.1000000000002000e+01  -1.7027226055853396e-04  2.7459867731241138e-13  -2.4630946664752364e-03  -9.5630093707199544e-13  -5.9174154896143459e-04  -5.4586279678174100e-13  8.0970345017689451e-04  1.4140259195820008e-12
3.2000000000002203e+01  7.5362490219305523e-04  6.2220506896447102e-13  -2.2718626177270274e-03  -6.0435927333482085e-13  -1.1726555241394355e-03  2.5833524582486779e-12  6.0149576980091947e-04  -5.4320720937272744e-13
3.3000000000001997e+01  1.5525812725229863e-03  1.2608555772002594e-12  -1.6882378863139857e-03  2.0875835828475347e-12  -1.7983835278218459e-03  -3.7527257589720774e-12  4.4749520647668125e-04  9.0880530143712792e-14
3.4000000000001798e+01  2.1467792916255910e-03  -1.2499970989383885e-13  -8.9516116972768048e-04  6.6978703780858646e-14  -2.1738500763263729e-03  9.8962236857272317e-13  1.7446341802056537e-04  -1.0065774447313943e-12
3.5000000000001599e+01  2.4936363114671191e-03  -1.2311414525784932e-12  -2.6372093307887666e-05  2.3111186220215213e-12  -2.2503663037968633e-03  -6.0338029680764463e-12  -2.3269097104926104e-04  -2.8496442156295162e-12
3.6000000000001400e+01  2.5894476348618904e-03  -5.3462186259370957e-13  1.0096164403474270e-03  1.3720508560506619e-12  -2.2066408728364934e-03  6.4985152972105751e-12  -8.2213889856735728e-04  -2.9819440154923271e-12
3.7000000000001201e+01  2.4404977966449933e-03  1.6674915662175224e-12  1.7111620825977791e-03  -5.8655905125265895e-13  -1.6539595379943990e-03  -4.4628182112322160e-12  -1.6187874285691992e-03  6.1752237046465358e-12
3.8000000000001002e+01  2.0622004344272257e-03  1.3594249735884396e-13  2.3196229923399965e-03  1.5533195129099021e-12  -1.0609893368374475e-03  -1.6710235672230607e-12  -1.9285362828172928e-03  -1.9318686982208601e-12
3.9000000000000803e+01  1.5176662505817222e-03  -3.8747435200393132e-12  2.8712815730960323e-03  2.0207188294702202e-12  -8.1523951126779250e-05  1.7031251484705114e-12  -2.0002239876730846e-03  3.9770069384659370e-12
4.0000000000000597e+01  8.8632993192010049e-04  3.2291833884434969e-12  2.7854481653009091e-03  -1.3052889233725029e-12  7.1637969575895127e-04  5.4215500032957417e-12  -2.0343148468840544e-03  -7.1141818833450824e-12
4.1000000000000398e+01  1.5057473951341025e-04  -2.9769811023038963e-12  2.7158277773647438e-03  2.9945692853917370e-12  1.6792615739293351e-03  -9.7594481198769967e-12  -1.6672459074184769e-03  5.5347936774854788e-12
4.2000000000000199e+01  -5.1063790712519905e-04  -2.9970872041056994e-12  2.4833151729823262e-03  2.5712987892432503e-12  2.2664500511686263e-03  1.1037224844658727e-11  -1.1191721170276912e-03  1.1789845865126334e-11
4.3000000000000000e+01  -1.1786461089157967e-03  -1.2705982584189090e-12  1.8781898198206048e-03  8.5864745755525155e-12  2.7313469702278711e-03  -2.2679942294289147e-11  -4.0468213166604754e-04  -4.9951863078654396e-12
4.3999999999999801e+01  -1.6336624863116478e-03  -3.8352183036987176e-12  1.2867334331203423e-03  2.6296630629920663e-12  2.9047382296829485e-03  1.3210721280626653e-11  5.2435926122811690e-04  -1.0192100350080816e-11
4.4999999999999602e+01  -1.9872687157659044e-03  -4.2927758489386144e-13  5.8358612381321736e-04  -6.8928498057360568e-13  2.9681924163541852e-03  7.6943365777175417e-12  1.4727073694302440e-03  1.8548428215306067e-11
4.5999999999999403e+01  -2.2013690406734203e-03  7.5909871192306447e-12  -4.0142664562668317e-04  1.2629783970208487e-12  2.7576528726057882e-03  -1.1946779653952581e-12  2.2661246856843778e-03  -2.7320353199837743e-11
4.6999999999999197e+01  -2.0921198530481373e-03  4.0729883369432964e-12  -8.6648903212327183e-04  5.3863384684791807e-12  1.8022657519024539e-03  1.3867988318079200e-11  2.6327205070720699e-03  1.1848120969279918e-12
4.7999999999998998e+01  -1.9929710565005799e-03  5.9735101156347347e-12  -1.3146310721432123e-03  -3.7859808872929909e-12  1.2926296568092047e-03  -1.6651021793857309e-11  3.0845727412152687e-03  5.0387797252183750e-11
4.8999999999998799e+01  -1.5179704920229974e-03  -1.2010522888417178e-11  -1.8136652390773190e-03  -7.7805944014831399e-12  7.4591427713934693e-04  6.3214015446652332e-11  3.0187149420615954e-03  -4.3224427854646560e-11
4.9999999999998600e+01  -9.3333835205765161e-04  -1.4382289375755507e-11  -2.0633171567896297e-03  -3.5981583186457423e-12  -1.6239773150000854e-04  -3.7076731470071746e-11  2.6061189052388255e-03  -4.3755723977537496e-11
5.0999999999998401e+01  -4.6678309305638613e-04  -7.4840706250149761e-12  -2.0717351592408860e-03  3.5956145331726350e-11  -8.4031886422044179e-04  3.6017810256732058e-11  2.0950106065091758e-03  5.2112135990810831e-11
5.1999999999998202e+01  3.7028671594773397e-05  3.3731248692330055e-12  -2.0867966152335218e-03  7.2826685303871895e-12  -1.8943240018505121e-03  -8.2228907971217475e-12  1.3974768268227920e-03  -7.0192021800770172e-11
5.2999999999998003e+01  5.0586326701048323e-04  -5.9141903167219610e-13  -1.3022371877687961e-03  8.9976315849018964e-12  -2.1402358380599269e-03  -8.0173324306155079e-11  8.3923486371897764e-04  1.0255196537522586e-10
5.3999999999997797e+01  9.5004916171812968e-04  -8.9393387193971590e-12  -7.5785655514630089e-04  1.5060934890046475e-11  -1.7332358436340984e-03  -2.0350862439915981e-11  2.2193587675111890e-04  4.4020459912331264e-11
5.4999999999997598e+01  1.3757860916699437e-03  -1.1254630874752271e-11  -1.1208389476788088e-03  1.1851877726247395e-11  -2.2050738653642188e-03  2.2491478539710865e-10  -7.5284329044518570e-04  2.1904873896909158e-11
5.5999999999997399e+01  1.1609475742403136e-03  -1.5838306978358376e-11  7.3926696839855767e-05  9.6183670883954138e-11  -2.0830249358720875e-03  -1.3114235548421857e-10  -1.5349487207061453e-03  -1.0006115118549842e-10
5.6999999999997200e+01  1.3488659667557773e-03  -7.8484697040026585e-11  3.9133995844956222e-04  -1.5527817040809309e-10  -1.5054586294333445e-03  -3.0303910281024722e-11  -1.7859675669100812e-03  2.6157163191685167e-10
5.7999999999997002e+01  1.0142320994251425e-03  4.0207148785203928e-11  1.6133043602579452e-04  -8.4325622622582943e-12  -6.4499993289240595e-04  2.3244849973565696e-11  -1.4969310372269146e-03  -4.1821892547383046e-10
5.8999999999996803e+01  8.0251335124017641e-04  -9.5926705528522299e-13  7.0125609455669725e-04  1.2829299384499901e-10  2.8794969199174810e-04  1.3476316645262303e-10  -1.4497782738792338e-03  3.6465094503502112e-10
5.9999999999996597e+01  7.4723597129423055e-04  -9.0472551256838473e-11  8.4431139633053907e-04  1.6304632264565687e-10  -8.6257039737321073e-04  -1.7144405470793033e-10  -1.3555250406648968e-03  -9.9144252307773278e-10
