# t  r  min_chi  max_absK  min_lapse  mean_chi  n_cells
# --- BinaryWormholePlt05700  t = 57.000000
5.7000000000e+01  1.4218750000e+00  8.0545466535e-02  6.3253005312e-02  1.4407166625e-01  1.1637111704e-01  208472
5.7000000000e+01  1.4531250000e+00  8.4116747495e-02  6.1891448194e-02  1.4915408307e-01  1.2064452053e-01  217784
5.7000000000e+01  1.4843750000e+00  8.7745398187e-02  6.0503562758e-02  1.5424430745e-01  1.2494957352e-01  226064
5.7000000000e+01  1.5156250000e+00  9.1553739775e-02  5.9189789476e-02  1.5939423622e-01  1.2927963956e-01  236968
5.7000000000e+01  1.5468750000e+00  9.5534483312e-02  5.7899417436e-02  1.6442859164e-01  1.3364284334e-01  245768
5.7000000000e+01  1.5781250000e+00  9.9679940356e-02  5.6632505143e-02  1.6949456180e-01  1.3803044333e-01  256280
5.7000000000e+01  1.6093750000e+00  1.0349915383e-01  5.5389285270e-02  1.7470346466e-01  1.4244648406e-01  267464
5.7000000000e+01  1.6406250000e+00  1.0736075073e-01  5.4151592047e-02  1.7996845719e-01  1.4688189455e-01  277424
5.7000000000e+01  1.6718750000e+00  1.1145068843e-01  5.2951116542e-02  1.8487954025e-01  1.5132203384e-01  286424
5.7000000000e+01  1.7031250000e+00  1.1537923593e-01  5.1776173206e-02  1.8976544097e-01  1.5577386990e-01  299056
5.7000000000e+01  1.7343750000e+00  1.1934264563e-01  5.0627102928e-02  1.9463369753e-01  1.6024304848e-01  309632
5.7000000000e+01  1.7656250000e+00  1.2333832014e-01  4.9503773111e-02  1.9948325160e-01  1.6471991443e-01  321560
5.7000000000e+01  1.7968750000e+00  1.2747488670e-01  4.8405639243e-02  2.0445380696e-01  1.6920000825e-01  332480
5.7000000000e+01  1.8281250000e+00  1.3174500020e-01  4.7331725165e-02  2.0953375003e-01  1.7368680291e-01  343808
5.7000000000e+01  1.8593750000e+00  1.3614119820e-01  4.6280658959e-02  2.1471245187e-01  1.7816360683e-01  355568
5.7000000000e+01  1.8906250000e+00  1.4023177891e-01  4.5250927660e-02  2.1945941201e-01  1.8265499510e-01  369464
5.7000000000e+01  1.9218750000e+00  1.4434265630e-01  4.4241327262e-02  2.2418446150e-01  1.8713095129e-01  378952
5.7000000000e+01  1.9531250000e+00  1.4871099604e-01  4.3251365192e-02  2.2910812047e-01  1.9160404977e-01  393056
5.7000000000e+01  1.9843750000e+00  1.5284747512e-01  4.2281338771e-02  2.3378714175e-01  1.9606943404e-01  403784
