# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
3.1200000000002099e+01  1.2924883300747439e-05  -1.1778271015128953e-11  1.4914206934174259e-06  3.7151170735333436e-11
3.2000000000002203e+01  1.3428130248513917e-05  6.1647491812006418e-11  1.5949981635428746e-06  2.1184359920397626e-11
3.2800000000002001e+01  1.3946915653758255e-05  4.1136894906756942e-11  1.6853487566485520e-06  -9.3312619678633352e-12
3.3600000000001899e+01  1.4493220552427470e-05  9.7862323774831184e-12  1.7538277822955315e-06  1.6224881073400017e-11
3.4400000000001697e+01  1.5068588258690652e-05  3.2620458237792434e-11  1.8007328240967278e-06  8.6861566535519866e-11
3.5200000000001602e+01  1.5663736172080651e-05  1.0288120475430942e-10  1.8331661227104595e-06  4.2157221194633897e-11
3.6000000000001400e+01  1.6271506485620541e-05  1.6991872963116440e-10  1.8539246271577324e-06  -3.2510772594160247e-11
3.6800000000001198e+01  1.6902277532627019e-05  1.4877635450501179e-10  1.8605989610932621e-06  9.1559552542838716e-12
3.7600000000001103e+01  1.7563925118160769e-05  1.8038069468792507e-10  1.8570672804272645e-06  5.4179951205228930e-11
3.8400000000000901e+01  1.8251232750109515e-05  4.7446806194940741e-10  1.8556020773137536e-06  -8.0314506771086143e-12
3.9200000000000799e+01  1.8955340668264334e-05  7.5744124310178747e-10  1.8613809363382626e-06  -1.3261971005766737e-11
4.0000000000000597e+01  1.9667877052696700e-05  4.7664696227201586e-10  1.8734732441613071e-06  7.5286658687570493e-11
4.0800000000000502e+01  2.0393098837079010e-05  -5.1294646335771586e-10  1.8944790548683321e-06  2.9605307543122060e-11
4.1600000000000300e+01  2.1136685307033383e-05  -1.7138101922995974e-09  1.9270687593921521e-06  -1.6220813050280974e-10
4.2400000000000098e+01  2.1892480285608810e-05  -1.7247240691039408e-09  1.9753110743917744e-06  -2.1765538959153014e-10
4.3200000000000003e+01  2.2649430997257533e-05  1.3395083031306978e-10  2.0419912215414340e-06  -1.6049689551166243e-11
4.3999999999999801e+01  2.3404864083776280e-05  1.6372274545345617e-09  2.1233413906299791e-06  1.2796323777860688e-10
4.4799999999999699e+01  2.4169197806127061e-05  1.9689690169280885e-10  2.2142243980602432e-06  -1.4449492987959851e-10
4.5599999999999497e+01  2.4950117326923472e-05  -2.9204846414067900e-09  2.3155237291245821e-06  -4.4854630894881926e-10
4.6399999999999302e+01  2.5746260214467877e-05  -4.1951799004304135e-09  2.4279174107045162e-06  -6.3771271943767061e-11
4.7199999999999200e+01  2.6546180477152570e-05  -2.9975526468621485e-09  2.5477013682873424e-06  4.6220444840609005e-10
4.7999999999998998e+01  2.7341831699729162e-05  -1.7676305182745003e-09  2.6747785129594912e-06  -9.2789403585737237e-11
4.8799999999998903e+01  2.8166839111090898e-05  -1.6108425148313465e-09  2.8014067421280689e-06  -1.6472810879897115e-09
4.9599999999998701e+01  2.9056687333404921e-05  1.3012831445571711e-10  2.9123503803984310e-06  -2.6095801374285844e-09
5.0399999999998499e+01  2.9924016515734188e-05  4.7072007878996727e-09  3.0057857240826861e-06  -1.4526256745213660e-09
5.1199999999998397e+01  3.0591992295946887e-05  3.6392025480927477e-09  3.0983778765410483e-06  9.3326728178375906e-10
5.1999999999998202e+01  3.1055715060010911e-05  -1.0988252041700630e-08  3.2047690685764108e-06  1.3766440534523106e-09
5.2799999999998100e+01  3.1581721783165925e-05  -2.2344293487631186e-08  3.3085743016790492e-06  -1.2734116909463773e-09
5.3599999999997898e+01  3.2418113197111434e-05  -2.4264441091693854e-09  3.3817925300045894e-06  -3.6571318530350786e-09
5.4399999999997704e+01  3.3516899393870071e-05  3.8473537052636287e-08  3.4328532707520343e-06  -2.8007852222064187e-09
