# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9105682550128460e+00  3.7000308984201595e+01  3.1999999999999986e+01  3.1999999999999993e+01  4.3375355098768660e+00  4.0366783287368033e+00  2.7000322330213177e+01  3.2000000000000043e+01  3.2000000000000000e+01  4.4068764575966144e+00
8.0000000000000004e-01  3.9130948725125183e+00  3.7000343883988698e+01  3.2000000000000306e+01  3.2000000000000000e+01  4.3377548499006853e+00  4.0402970484580365e+00  2.7000359751034928e+01  3.2000000000000021e+01  3.1999999999999986e+01  4.4067498842618997e+00
1.6000000000000001e+00  3.9154936139410883e+00  3.7000414038192709e+01  3.2000000000002288e+01  3.1999999999999993e+01  4.3381877791013466e+00  4.0441707190708129e+00  2.7000436380547288e+01  3.1999999999999662e+01  3.1999999999999993e+01  4.4065373263779026e+00
2.3999999999999901e+00  3.9190495535833634e+00  3.7000465925318373e+01  3.2000000000000675e+01  3.1999999999999993e+01  4.3384923379660671e+00  4.0470901950690106e+00  2.7000495899159159e+01  3.2000000000000512e+01  3.1999999999999993e+01  4.4063204112976004e+00
3.1999999999999802e+00  3.9239808481889566e+00  3.7000507749228092e+01  3.1999999999987171e+01  3.1999999999999989e+01  4.3388614490490918e+00  4.0485708874815760e+00  2.7000549488622795e+01  3.2000000000006160e+01  3.1999999999999979e+01  4.4059622174108348e+00
3.9999999999999600e+00  3.9293811798516263e+00  3.7000611729937582e+01  3.1999999999961044e+01  3.1999999999999972e+01  4.3396234258923716e+00  4.0493050579270786e+00  2.7000673033114143e+01  3.2000000000022361e+01  3.1999999999999964e+01  4.4052711048120665e+00
4.7999999999999403e+00  3.9338927505252066e+00  3.7000833100084243e+01  3.1999999999907256e+01  3.1999999999999925e+01  4.3407941607667162e+00  4.0502928987428817e+00  2.7000917841422115e+01  3.2000000000061327e+01  3.1999999999999922e+01  4.4042756307096775e+00
5.5999999999999304e+00  3.9373847344371145e+00  3.7001145353896888e+01  3.1999999999802011e+01  3.1999999999999822e+01  4.3419535612061511e+00  4.0519366573049371e+00  2.7001250594608553e+01  3.2000000000122924e+01  3.1999999999999840e+01  4.4030693242214660e+00
6.3999999999999098e+00  3.9412724048452699e+00  3.7001489537209991e+01  3.1999999999628830e+01  3.1999999999999631e+01  4.3428813917312583e+00  4.0536734223245778e+00  2.7001614622076300e+01  3.2000000000199741e+01  3.1999999999999698e+01  4.4016501905692635e+00
7.1999999999998900e+00  3.9465153913294317e+00  3.7001880690367088e+01  3.1999999999362483e+01  3.1999999999999243e+01  4.3440850357220038e+00  4.0548661430516759e+00  2.7002036114788588e+01  3.2000000000306351e+01  3.1999999999999396e+01  4.3998881302281063e+00
7.9999999999998703e+00  3.9520819248666523e+00  3.7002410322462417e+01  3.1999999998968153e+01  3.1999999999998462e+01  4.3461545902756589e+00  4.0558079974402332e+00  2.7002611561492579e+01  3.2000000000472141e+01  3.1999999999998803e+01  4.3977261911348347e+00
8.7999999999998604e+00  3.9561617523125325e+00  3.7003123667975942e+01  3.1999999998427427e+01  3.1999999999996874e+01  4.3488777646149037e+00  4.0572703917087001e+00  2.7003381790594073e+01  3.2000000000704276e+01  3.1999999999997620e+01  4.3953953223046156e+00
9.5999999999998398e+00  3.9587260049759370e+00  3.7003951039474288e+01  3.1999999997724608e+01  3.1999999999993761e+01  4.3516571984501500e+00  4.0594647212427084e+00  2.7004280707597047e+01  3.2000000000996152e+01  3.1999999999995275e+01  4.3931974211496883e+00
1.0399999999999800e+01  3.9617434357089718e+00  3.7004800663067712e+01  3.1999999996829182e+01  3.1999999999987065e+01  4.3550684363123100e+00  4.0619175755794030e+00  2.7005247246191377e+01  3.2000000001354678e+01  3.1999999999990631e+01  4.3913695357803455e+00
1.1199999999999800e+01  3.9665629455109492e+00  3.7005677262612963e+01  3.1999999995709718e+01  3.1999999999973266e+01  4.3614216077632673e+00  4.0643749229332116e+00  2.7006338824767582e+01  3.2000000001795932e+01  3.1999999999981370e+01  4.3905526559152799e+00
1.1999999999999799e+01  3.9720728022201452e+00  3.7006664500806906e+01  3.1999999994314795e+01  3.1999999999940403e+01  4.3725546073911961e+00  4.0673117234303735e+00  2.7007665754119245e+01  3.2000000002283706e+01  3.1999999999959176e+01  4.3919045456066064e+00
1.2799999999999800e+01  3.9765718806620778e+00  3.7007746700508093e+01  3.1999999992626289e+01  3.1999999999890143e+01  4.3887757778727812e+00  4.0713121543328787e+00  2.7009206090023692e+01  3.2000000002790564e+01  3.1999999999918028e+01  4.3963202264642964e+00
