# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.7000205274114478e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4516522854767499e-02  2.7000207763710385e+01  3.2000000000000000e+01  3.2000000000000007e+01  2.4424300970827630e-02  9.9999975104040928e+00  1.0000129051357590e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  3.7000307850109934e+01  3.2000000000000227e+01  3.2000000000000000e+01  2.4584742334134525e-02  2.7000314485856101e+01  3.2000000000000242e+01  3.2000000000000000e+01  2.4494707326822789e-02  9.9999933642538323e+00  1.0000134640330568e+01  1.6273526775505024e-06  1.6496468593946378e-06  -2.2294181844135402e-08  -4.2468032110578707e-07  4.2848132656741480e-07  9.7247378345548185e-06
1.6000000000000001e+00  3.7000573397500617e+01  3.2000000000003439e+01  3.2000000000000000e+01  2.4525042496692566e-02  2.7000587623891434e+01  3.2000000000001400e+01  3.2000000000000000e+01  2.4412043883382240e-02  9.9999857736091826e+00  1.0000148839676058e+01  3.2756442887916550e-06  3.2997360046812539e-06  -2.4091715889598920e-08  -2.3236755978841387e-06  2.5902942813468006e-06  1.4178839763812894e-05
2.3999999999999901e+00  3.7000914925576907e+01  3.2000000000001918e+01  3.2000000000000000e+01  2.4456210678432694e-02  2.7000939383319256e+01  3.2000000000011447e+01  3.1999999999999993e+01  2.4304205684434119e-02  9.9999755422576513e+00  1.0000157749927567e+01  4.9572254263282645e-06  4.9722015901930977e-06  -1.4976163864833236e-08  -7.9989823600993235e-06  1.0448615602233950e-05  2.2497867820907585e-05
3.1999999999999802e+00  3.7001325098388854e+01  3.1999999999942041e+01  3.2000000000000000e+01  2.4555130661676763e-02  2.7001362674859831e+01  3.2000000000044935e+01  3.2000000000000000e+01  2.4375859726013381e-02  9.9999624235290234e+00  1.0000158708887646e+01  6.6557414691813227e-06  6.6751965864586753e-06  -1.9455117277352586e-08  2.9026563686441561e-06  -5.1280205215811367e-06  1.8490813894140584e-05
3.9999999999999600e+00  3.7001847122142628e+01  3.1999999999809624e+01  3.2000000000000000e+01  2.4579344077925436e-02  2.7001899314376793e+01  3.2000000000090196e+01  3.2000000000000000e+01  2.4416490274730251e-02  9.9999478077658353e+00  1.0000152822955876e+01  8.3516684160146306e-06  8.3933299434369814e-06  -4.1661527422350795e-08  -1.6936232077246115e-05  1.5863587398075391e-05  3.6227378978042325e-05
4.7999999999999403e+00  3.7002438496194600e+01  3.1999999999578836e+01  3.2000000000000000e+01  2.4516352336082424e-02  2.7002502544225443e+01  3.2000000000180471e+01  3.2000000000000000e+01  2.4414288362725106e-02  9.9999359519691566e+00  1.0000148939495666e+01  1.0042051749144235e-05  1.0105786060586268e-05  -6.3734311442033008e-08  -4.2476037925463176e-06  2.0118511733352590e-06  1.1966789226511498e-05
5.5999999999999304e+00  3.7003015362267504e+01  3.1999999999122032e+01  3.2000000000000000e+01  2.4478059982026085e-02  2.7003090547389199e+01  3.2000000000375415e+01  3.2000000000000000e+01  2.4430128693160868e-02  9.9999248148783053e+00  1.0000151121664256e+01  1.1733199115825354e-05  1.1807159198383941e-05  -7.3960082558587194e-08  -1.2236150063283954e-05  8.8414955031172025e-06  2.1207835864693980e-05
6.3999999999999098e+00  3.7003600172264676e+01  3.1999999998509377e+01  3.2000000000000000e+01  2.4496869626856436e-02  2.7003693165651612e+01  3.2000000000588926e+01  3.2000000000000000e+01  2.4433638401285894e-02  9.9999070066130642e+00  1.0000153378376542e+01  1.3437631110033700e-05  1.3518932439630929e-05  -8.1301329597229825e-08  -1.1251523659350785e-05  8.9771423384667889e-06  2.0270320354929495e-05
7.1999999999998900e+00  3.7004299722573109e+01  3.1999999997814069e+01  3.2000000000000007e+01  2.4531187434098049e-02  2.7004419547354249e+01  3.2000000000825018e+01  3.2000000000000000e+01  2.4410440033234733e-02  9.9998801752188591e+00  1.0000151954770281e+01  1.5147678924390807e-05  1.5249642291239118e-05  -1.0196336684831147e-07  -1.1421337019053218e-05  1.1784081400461822e-05  1.6482730140905556e-05
