# time  R40_phi_l0_m0_re  R40_phi_l0_m0_im  R40_phi_l1_m-1_re  R40_phi_l1_m-1_im  R40_phi_l1_m0_re  R40_phi_l1_m0_im  R40_phi_l1_m1_re  R40_phi_l1_m1_im  R40_phi_l2_m-2_re  R40_phi_l2_m-2_im  R40_phi_l2_m-1_re  R40_phi_l2_m-1_im  R40_phi_l2_m0_re  R40_phi_l2_m0_im  R40_phi_l2_m1_re  R40_phi_l2_m1_im  R40_phi_l2_m2_re  R40_phi_l2_m2_im  R40_Pi_l0_m0_re  R40_Pi_l0_m0_im  R40_Pi_l1_m-1_re  R40_Pi_l1_m-1_im  R40_Pi_l1_m0_re  R40_Pi_l1_m0_im  R40_Pi_l1_m1_re  R40_Pi_l1_m1_im  R40_Pi_l2_m-2_re  R40_Pi_l2_m-2_im  R40_Pi_l2_m-1_re  R40_Pi_l2_m-1_im  R40_Pi_l2_m0_re  R40_Pi_l2_m0_im  R40_Pi_l2_m1_re  R40_Pi_l2_m1_im  R40_Pi_l2_m2_re  R40_Pi_l2_m2_im  R40_scalar_flux_kin  R60_phi_l0_m0_re  R60_phi_l0_m0_im  R60_phi_l1_m-1_re  R60_phi_l1_m-1_im  R60_phi_l1_m0_re  R60_phi_l1_m0_im  R60_phi_l1_m1_re  R60_phi_l1_m1_im  R60_phi_l2_m-2_re  R60_phi_l2_m-2_im  R60_phi_l2_m-1_re  R60_phi_l2_m-1_im  R60_phi_l2_m0_re  R60_phi_l2_m0_im  R60_phi_l2_m1_re  R60_phi_l2_m1_im  R60_phi_l2_m2_re  R60_phi_l2_m2_im  R60_Pi_l0_m0_re  R60_Pi_l0_m0_im  R60_Pi_l1_m-1_re  R60_Pi_l1_m-1_im  R60_Pi_l1_m0_re  R60_Pi_l1_m0_im  R60_Pi_l1_m1_re  R60_Pi_l1_m1_im  R60_Pi_l2_m-2_re  R60_Pi_l2_m-2_im  R60_Pi_l2_m-1_re  R60_Pi_l2_m-1_im  R60_Pi_l2_m0_re  R60_Pi_l2_m0_im  R60_Pi_l2_m1_re  R60_Pi_l2_m1_im  R60_Pi_l2_m2_re  R60_Pi_l2_m2_im  R60_scalar_flux_kin  R80_phi_l0_m0_re  R80_phi_l0_m0_im  R80_phi_l1_m-1_re  R80_phi_l1_m-1_im  R80_phi_l1_m0_re  R80_phi_l1_m0_im  R80_phi_l1_m1_re  R80_phi_l1_m1_im  R80_phi_l2_m-2_re  R80_phi_l2_m-2_im  R80_phi_l2_m-1_re  R80_phi_l2_m-1_im  R80_phi_l2_m0_re  R80_phi_l2_m0_im  R80_phi_l2_m1_re  R80_phi_l2_m1_im  R80_phi_l2_m2_re  R80_phi_l2_m2_im  R80_Pi_l0_m0_re  R80_Pi_l0_m0_im  R80_Pi_l1_m-1_re  R80_Pi_l1_m-1_im  R80_Pi_l1_m0_re  R80_Pi_l1_m0_im  R80_Pi_l1_m1_re  R80_Pi_l1_m1_im  R80_Pi_l2_m-2_re  R80_Pi_l2_m-2_im  R80_Pi_l2_m-1_re  R80_Pi_l2_m-1_im  R80_Pi_l2_m0_re  R80_Pi_l2_m0_im  R80_Pi_l2_m1_re  R80_Pi_l2_m1_im  R80_Pi_l2_m2_re  R80_Pi_l2_m2_im  R80_scalar_flux_kin  R120_phi_l0_m0_re  R120_phi_l0_m0_im  R120_phi_l1_m-1_re  R120_phi_l1_m-1_im  R120_phi_l1_m0_re  R120_phi_l1_m0_im  R120_phi_l1_m1_re  R120_phi_l1_m1_im  R120_phi_l2_m-2_re  R120_phi_l2_m-2_im  R120_phi_l2_m-1_re  R120_phi_l2_m-1_im  R120_phi_l2_m0_re  R120_phi_l2_m0_im  R120_phi_l2_m1_re  R120_phi_l2_m1_im  R120_phi_l2_m2_re  R120_phi_l2_m2_im  R120_Pi_l0_m0_re  R120_Pi_l0_m0_im  R120_Pi_l1_m-1_re  R120_Pi_l1_m-1_im  R120_Pi_l1_m0_re  R120_Pi_l1_m0_im  R120_Pi_l1_m1_re  R120_Pi_l1_m1_im  R120_Pi_l2_m-2_re  R120_Pi_l2_m-2_im  R120_Pi_l2_m-1_re  R120_Pi_l2_m-1_im  R120_Pi_l2_m0_re  R120_Pi_l2_m0_im  R120_Pi_l2_m1_re  R120_Pi_l2_m1_im  R120_Pi_l2_m2_re  R120_Pi_l2_m2_im  R120_scalar_flux_kin
0.0000000000000000e+00  -2.2361056763985205e+00  0.0000000000000000e+00  -9.2715697010863681e-17  2.7245244882353098e-17  -2.6181401559716155e-04  0.0000000000000000e+00  9.2715697010863681e-17  2.7245244882353098e-17  5.2687451096299859e-17  -1.0426859775414680e-17  -1.0280862397299070e-18  -2.8075833479029844e-18  2.5408689197918555e-03  0.0000000000000000e+00  1.0280862397299070e-18  -2.8075833479029844e-18  5.2687451096299859e-17  1.0426859775414680e-17  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00  -2.2361017709551239e+00  0.0000000000000000e+00  -1.0315868680822314e-16  3.0223492134238023e-17  -3.3911185195391325e-04  0.0000000000000000e+00  1.0315868680822314e-16  3.0223492134238023e-17  5.3616366652390784e-17  -3.1953077164249651e-18  6.2336330961996166e-19  -1.7931621318924534e-18  6.7104344496827020e-04  0.0000000000000000e+00  -6.2336330961996166e-19  -1.7931621318924534e-18  5.3616366652390784e-17  3.1953077164249651e-18  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00  -2.2364551488929574e+00  0.0000000000000000e+00  -1.0540636814310124e-16  1.6345916084660380e-17  -2.6193691665177266e-04  0.0000000000000000e+00  1.0540636814310124e-16  1.6345916084660380e-17  5.2474898766098233e-17  -1.1065554877688312e-17  4.9678482356464715e-18  6.9953671786874487e-18  2.5417361199266131e-03  0.0000000000000000e+00  -4.9678482356464715e-18  6.9953671786874487e-18  5.2474898766098233e-17  1.1065554877688312e-17  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00  -2.2362570814900971e+00  0.0000000000000000e+00  -9.4220371632322141e-17  2.2018571833038784e-17  -3.3918272012212203e-04  0.0000000000000000e+00  9.4220371632322141e-17  2.2018571833038784e-17  5.5189763439140149e-17  -1.0941738347698312e-17  -4.5509492069197455e-18  2.9176976310460435e-18  6.7103818188892286e-04  0.0000000000000000e+00  4.5509492069197455e-18  2.9176976310460435e-18  5.5189763439140149e-17  1.0941738347698312e-17  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00
2.0000000000000000e+00  -2.2361056498598835e+00  0.0000000000000000e+00  -1.1261091275509109e-16  2.9495507020742354e-17  -2.6181401553582173e-04  0.0000000000000000e+00  1.1261091275509109e-16  2.9495507020742354e-17  6.8838698495602010e-17  -1.4079118605826188e-17  -1.1096131609031334e-18  -2.4479252175649280e-18  2.5408696070314263e-03  0.0000000000000000e+00  1.1096131609031334e-18  -2.4479252175649280e-18  6.8838698495602010e-17  1.4079118605826188e-17  2.2617398090214823e-08  0.0000000000000000e+00  4.6324131025873747e-25  -3.6779308503152115e-25  6.8298406994128236e-14  0.0000000000000000e+00  -4.6324131025873747e-25  -3.6779308503152115e-25  -6.2170704668075684e-17  6.2518311422509864e-25  -9.6467827947214481e-27  2.3664101523400183e-26  1.6871024760328399e-09  0.0000000000000000e+00  9.6467827947214481e-27  2.3664101523400183e-26  -6.2170704668075684e-17  -6.2518311422509864e-25  -1.3501582642981530e-09  -2.2361017625559265e+00  0.0000000000000000e+00  -9.9811980224282599e-17  1.6535108834363508e-17  -3.3911185072531269e-04  0.0000000000000000e+00  9.9811980224282599e-17  1.6535108834363508e-17  5.2289535862631225e-17  -1.1983644707512449e-17  2.6737124375674024e-18  5.4024158422573301e-18  6.7104362131455153e-04  0.0000000000000000e+00  -2.6737124375674024e-18  5.4024158422573301e-18  5.2289535862631225e-17  1.1983644707512449e-17  7.1293419228484270e-09  0.0000000000000000e+00  4.8752999856682221e-25  -3.7112292546072935e-26  1.9339055609484342e-12  0.0000000000000000e+00  -4.8752999856682221e-25  -3.7112292546072935e-26  -3.3653299272571327e-19  1.0214783590968722e-26  2.8340105353976841e-26  1.2099812801868249e-26  2.1958715972089055e-11  0.0000000000000000e+00  -2.8340105353976841e-26  1.2099812801868249e-26  -3.3653299272571327e-19  -1.0214783590968722e-26  -3.2101832110586568e-10  -2.2364551393104040e+00  0.0000000000000000e+00  -1.0670762250832065e-16  3.4394831614444933e-17  -2.6193691663678464e-04  0.0000000000000000e+00  1.0670762250832065e-16  3.4394831614444933e-17  5.5067001564431154e-17  -9.8048447701931795e-18  -3.4770702484789029e-18  1.4735726304264656e-18  2.5417370273375650e-03  0.0000000000000000e+00  3.4770702484789029e-18  1.4735726304264656e-18  5.5067001564431154e-17  9.8048447701931795e-18  7.4976596541991892e-09  0.0000000000000000e+00  2.8136875063269278e-25  -7.4053726217129556e-26  1.7977845171925550e-14  0.0000000000000000e+00  -2.8136875063269278e-25  -7.4053726217129556e-26  3.8988325399086526e-18  2.4536648321750698e-25  -1.2143065336559298e-27  8.9400050237302203e-27  -3.7668181486810875e-10  0.0000000000000000e+00  1.2143065336559298e-27  8.9400050237302203e-27  3.8988325399086526e-18  -2.4536648321750698e-25  -2.3694443674463472e-10  -2.2362570780776809e+00  0.0000000000000000e+00  -9.8112223327159634e-17  2.7612016765959110e-17  -3.3918272013544470e-04  0.0000000000000000e+00  9.8112223327159634e-17  2.7612016765959110e-17  4.9778016999573221e-17  -4.3888859133568250e-18  -2.6610069433585879e-18  1.3896634290890865e-19  6.7103890332423019e-04  0.0000000000000000e+00  2.6610069433585879e-18  1.3896634290890865e-19  4.9778016999573221e-17  4.3888859133568250e-18  2.0063056685009554e-09  0.0000000000000000e+00  1.3742506629356154e-25  -1.1838424145368555e-26  2.2545355255770995e-13  0.0000000000000000e+00  -1.3742506629356154e-25  -1.1838424145368555e-26  1.2444996786010356e-18  5.0314949649030675e-26  7.4138750246384420e-27  1.1829990016659597e-26  -1.6049200220388225e-10  0.0000000000000000e+00  -7.4138750246384420e-27  1.1829990016659597e-26  1.2444996786010356e-18  -5.0314949649030675e-26  -4.7746788986212299e-11
4.0000000000000000e+00  -2.2361055892454846e+00  0.0000000000000000e+00  -1.0459321651373711e-16  2.7490719000934334e-17  -2.6181401534111637e-04  0.0000000000000000e+00  1.0459321651373711e-16  2.7490719000934334e-17  3.1410264702680103e-17  -9.2165373749332152e-18  8.6291481501531847e-19  -5.2502807839965773e-19  2.5408699244987981e-03  0.0000000000000000e+00  -8.6291481501531847e-19  -5.2502807839965773e-19  3.1410264702680103e-17  9.2165373749332152e-18  3.9811366361131090e-08  0.0000000000000000e+00  1.2386447414747446e-24  -3.8085464946971805e-25  1.1691565912212536e-13  0.0000000000000000e+00  -1.2386447414747446e-24  -3.8085464946971805e-25  2.7855687988130375e-17  3.1820800023869004e-25  4.2480159746151486e-26  2.7478490519176657e-26  1.3568188728637427e-09  0.0000000000000000e+00  -4.2480159746151486e-26  2.7478490519176657e-26  2.7855687988130375e-17  -3.1820800023869004e-25  -2.2448515845764716e-09  -2.2361017374975694e+00  0.0000000000000000e+00  -1.0199216362117636e-16  2.3124644660920191e-17  -3.3911184673662831e-04  0.0000000000000000e+00  1.0199216362117636e-16  2.3124644660920191e-17  5.5290849045897192e-17  -5.5588336281395763e-18  2.0487609411713389e-19  -4.4509927016988377e-18  6.7104449666767485e-04  0.0000000000000000e+00  -2.0487609411713389e-19  -4.4509927016988377e-18  5.5290849045897192e-17  5.5588336281395763e-18  1.6413529979787332e-08  0.0000000000000000e+00  9.0442989065250512e-25  -1.1931720717810042e-25  3.1729236973677609e-12  0.0000000000000000e+00  -9.0442989065250512e-25  -1.1931720717810042e-25  -1.7705218683618729e-17  -6.5222976310249507e-26  -1.4181931812885401e-26  4.6554772692293785e-26  6.7604791915833514e-10  0.0000000000000000e+00  1.4181931812885401e-26  4.6554772692293785e-26  -1.7705218683618729e-17  6.5222976310249507e-26  -7.2389750572780965e-10  -2.2364551211854660e+00  0.0000000000000000e+00  -1.0188959322521979e-16  3.4257685068883641e-17  -2.6193691658626950e-04  0.0000000000000000e+00  1.0188959322521979e-16  3.4257685068883641e-17  4.9160551487720762e-17  -1.3314501798903609e-17  4.7433845046240819e-18  -3.4410713482205951e-19  2.5417368945319235e-03  0.0000000000000000e+00  -4.7433845046240819e-18  -3.4410713482205951e-19  4.9160551487720762e-17  1.3314501798903609e-17  1.1781341556240138e-08  0.0000000000000000e+00  3.3472083113722887e-25  -2.1345072329180002e-25  3.5906913113546104e-14  0.0000000000000000e+00  -3.3472083113722887e-25  -2.1345072329180002e-25  2.3050608772904097e-17  3.2090424053107395e-25  4.9945372359387514e-27  -2.4926741194940455e-26  9.2245206395989974e-10  0.0000000000000000e+00  -4.9945372359387514e-27  -2.4926741194940455e-26  2.3050608772904097e-17  -3.2090424053107395e-25  -3.4818198952531145e-10  -2.2362570728527871e+00  0.0000000000000000e+00  -9.2640125790100837e-17  3.0057129569441358e-17  -3.3918271875467421e-04  0.0000000000000000e+00  9.2640125790100837e-17  3.0057129569441358e-17  5.2071520004483687e-17  -1.2503136879662595e-17  4.9972296910043550e-18  5.0588711902518067e-18  6.7103835925771960e-04  0.0000000000000000e+00  -4.9972296910043550e-18  5.0588711902518067e-18  5.2071520004483687e-17  1.2503136879662595e-17  3.6822718152570913e-09  0.0000000000000000e+00  2.4729160041945768e-25  -4.1327034229038905e-26  9.9113288620573506e-13  0.0000000000000000e+00  -2.4729160041945768e-25  -4.1327034229038905e-26  7.3366344207736196e-19  1.9042544454575082e-26  9.9456100848925716e-27  -2.0395863889393153e-26  3.2966823106386424e-11  0.0000000000000000e+00  -9.9456100848925716e-27  -2.0395863889393153e-26  7.3366344207736196e-19  -1.9042544454575082e-26  -7.6154134916101364e-11
6.0000000000000000e+00  -2.2361055016012017e+00  0.0000000000000000e+00  -1.0453074783387710e-16  6.6430544121888631e-18  -2.6181401462307963e-04  0.0000000000000000e+00  1.0453074783387710e-16  6.6430544121888631e-18  5.9102683424179368e-17  -6.4654794141890419e-18  1.4759549105906183e-18  3.8381180422460484e-20  2.5408704274063054e-03  0.0000000000000000e+00  -1.4759549105906183e-18  3.8381180422460484e-20  5.9102683424179368e-17  6.4654794141890419e-18  5.1747843664854888e-08  0.0000000000000000e+00  1.8227321468423546e-24  -3.3101589659205182e-25  2.6563531303340688e-12  0.0000000000000000e+00  -1.8227321468423546e-24  -3.3101589659205182e-25  -3.4637243005516968e-16  3.8700455978301448e-25  4.4219598042163817e-26  2.6265123839333588e-26  1.4585879575578568e-09  0.0000000000000000e+00  -4.4219598042163817e-26  2.6265123839333588e-26  -3.4637243005516968e-16  -3.8700455978301448e-25  -2.9285309100372444e-09  -2.2361016910507985e+00  0.0000000000000000e+00  -1.0386304764342430e-16  1.3281311176824919e-17  -3.3911183960420865e-04  0.0000000000000000e+00  1.0386304764342430e-16  1.3281311176824919e-17  4.5688460866529428e-17  -4.8046930636749809e-18  -7.7106467979743028e-19  -2.3331456357670699e-18  6.7104637911473766e-04  0.0000000000000000e+00  7.7106467979743028e-19  -2.3331456357670699e-18  4.5688460866529428e-17  4.8046930636749809e-18  2.9816175405616695e-08  0.0000000000000000e+00  1.7488203173657377e-24  2.5615715669525767e-27  5.0112786329995422e-12  0.0000000000000000e+00  -1.7488203173657377e-24  2.5615715669525767e-27  -3.3469863723968571e-18  7.3498042465100368e-26  8.9391745627382005e-26  -2.3915617188929468e-25  1.1637731301194187e-09  0.0000000000000000e+00  -8.9391745627382005e-26  -2.3915617188929468e-25  -3.3469863723968571e-18  -7.3498042465100368e-26  -1.2655139709249310e-09  -2.2364550932530012e+00  0.0000000000000000e+00  -1.0478856348719763e-16  1.6706996965652028e-17  -2.6193691649994966e-04  0.0000000000000000e+00  1.0478856348719763e-16  1.6706996965652028e-17  5.6439029502860610e-17  -7.3328196454815191e-18  6.7550877543530452e-19  -5.0667790369078136e-18  2.5417375841041423e-03  0.0000000000000000e+00  -6.7550877543530452e-19  -5.0667790369078136e-18  5.6439029502860610e-17  7.3328196454815191e-18  1.5681902265574121e-08  0.0000000000000000e+00  5.4076809483352970e-25  -2.9087520246794639e-25  5.4658091972354130e-14  0.0000000000000000e+00  -5.4076809483352970e-25  -2.9087520246794639e-25  6.6378772223720726e-19  3.1418209791270119e-25  -8.5502661364642417e-27  -4.7824692379023841e-28  -6.5408599281936146e-10  0.0000000000000000e+00  8.5502661364642417e-27  -4.7824692379023841e-28  6.6378772223720726e-19  -3.1418209791270119e-25  -4.6199302004290419e-10  -2.2362570622987135e+00  0.0000000000000000e+00  -9.8763776952055403e-17  3.5848651171843632e-17  -3.3918271698796243e-04  0.0000000000000000e+00  9.8763776952055403e-17  3.5848651171843632e-17  5.0083792584809573e-17  -1.1228226149001459e-17  6.2796905127065691e-18  -5.0643305822946566e-19  6.7103866562426631e-04  0.0000000000000000e+00  -6.2796905127065691e-18  -5.0643305822946566e-19  5.0083792584809573e-17  1.1228226149001459e-17  7.0501471312669970e-09  0.0000000000000000e+00  4.6189454596722637e-25  -9.5225559799660965e-26  8.9523618046075433e-13  0.0000000000000000e+00  -4.6189454596722637e-25  -9.5225559799660965e-26  -7.1464395358580703e-19  2.5960226499460242e-26  6.7376425025651957e-26  -3.0433652833283987e-26  2.1404364054001721e-10  0.0000000000000000e+00  -6.7376425025651957e-26  -3.0433652833283987e-26  -7.1464395358580703e-19  -2.5960226499460242e-26  -1.5177118101682580e-10
8.0000000000000107e+00  -2.2361053892465375e+00  0.0000000000000000e+00  -1.0222628882175337e-16  1.0664144805931641e-17  -2.6181397676572349e-04  0.0000000000000000e+00  1.0222628882175337e-16  1.0664144805931641e-17  3.2228809549638077e-17  -1.3718141122411110e-17  -2.3791037906005161e-18  5.6759810144408674e-18  2.5408710888033537e-03  0.0000000000000000e+00  2.3791037906005161e-18  5.6759810144408674e-18  3.2228809549638077e-17  1.3718141122411110e-17  6.4167526818571248e-08  0.0000000000000000e+00  2.2116662110957331e-24  -5.3793608418378627e-25  3.6300474810368550e-11  0.0000000000000000e+00  -2.2116662110957331e-24  -5.3793608418378627e-25  1.7919530070221330e-16  7.4357461932356945e-25  8.1000237748093492e-26  2.1244024177601848e-26  -1.4850580739039560e-09  0.0000000000000000e+00  -8.1000237748093492e-26  2.1244024177601848e-26  1.7919530070221330e-16  -7.4357461932356945e-25  -3.5378953741037930e-09  -2.2361016205319917e+00  0.0000000000000000e+00  -9.9320039370385063e-17  2.0307350212625834e-17  -3.3911182682984375e-04  0.0000000000000000e+00  9.9320039370385063e-17  2.0307350212625834e-17  5.9358455941386889e-17  -5.4986934617039084e-18  3.8632643328676605e-18  6.8882638329740827e-18  6.7104809054823258e-04  0.0000000000000000e+00  -3.8632643328676605e-18  6.8882638329740827e-18  5.9358455941386889e-17  5.4986934617039084e-18  4.2286421353172800e-08  0.0000000000000000e+00  2.3115086380840634e-24  -7.9304665202866503e-25  8.9465357717607801e-12  0.0000000000000000e+00  -2.3115086380840634e-24  -7.9304665202866503e-25  2.7386718788412921e-17  8.7776596257365732e-26  1.7414794736045904e-25  -1.3501460704190547e-25  7.3678846922632609e-10  0.0000000000000000e+00  -1.7414794736045904e-25  -1.3501460704190547e-25  2.7386718788412921e-17  -8.7776596257365732e-26  -1.7446579428274710e-09  -2.2364550576535174e+00  0.0000000000000000e+00  -1.0393253081487875e-16  2.1183963138585030e-17  -2.6193691638434768e-04  0.0000000000000000e+00  1.0393253081487875e-16  2.1183963138585030e-17  6.5808768999044772e-17  -1.5065514942683423e-17  -7.3162470819090192e-19  -1.7288074802358278e-18  2.5417372696843327e-03  0.0000000000000000e+00  7.3162470819090192e-19  -1.7288074802358278e-18  6.5808768999044772e-17  1.5065514942683423e-17  2.0615878415455921e-08  0.0000000000000000e+00  8.5735819065941802e-25  -1.6120569813417681e-25  4.8329806234409732e-14  0.0000000000000000e+00  -8.5735819065941802e-25  -1.6120569813417681e-25  8.1715031551428862e-18  1.8242679604172068e-25  -1.0327668363540334e-26  -7.3068734384161982e-26  8.6789758341851046e-10  0.0000000000000000e+00  1.0327668363540334e-26  -7.3068734384161982e-26  8.1715031551428862e-18  -1.8242679604172068e-25  -6.0273449627515073e-10  -2.2362570469279399e+00  0.0000000000000000e+00  -1.0495095558505404e-16  8.4049325733145610e-18  -3.3918271442376358e-04  0.0000000000000000e+00  1.0495095558505404e-16  8.4049325733145610e-18  4.9590834298758596e-17  -1.0006625140867834e-17  4.8932034571696863e-18  -4.8926078871286481e-18  6.7103927566482605e-04  0.0000000000000000e+00  -4.8932034571696863e-18  -4.8926078871286481e-18  4.9590834298758596e-17  1.0006625140867834e-17  8.4642399603531961e-09  0.0000000000000000e+00  5.1012956927648157e-25  -7.5693940602407057e-26  1.6633511805663411e-12  0.0000000000000000e+00  -5.1012956927648157e-25  -7.5693940602407057e-26  6.5054324730339906e-18  2.8638565032269829e-26  1.0557177583153072e-27  -7.3774056152115253e-27  3.3370669983853560e-10  0.0000000000000000e+00  -1.0557177583153072e-27  -7.3774056152115253e-27  6.5054324730339906e-18  -2.8638565032269829e-26  -2.1014742434563458e-10
9.9999999999999591e+00  -2.2361052467831133e+00  0.0000000000000000e+00  -1.0347354483658533e-16  1.8688491579410554e-17  -2.6181388539575634e-04  0.0000000000000000e+00  1.0347354483658533e-16  1.8688491579410554e-17  6.8543891325288111e-17  -1.5804290627269846e-17  -2.5252169740018829e-18  6.2217216953788530e-19  2.5408721985008959e-03  0.0000000000000000e+00  2.5252169740018829e-18  6.2217216953788530e-19  6.8543891325288111e-17  1.5804290627269846e-17  8.3167941194607625e-08  0.0000000000000000e+00  3.7078671355922174e-24  -9.0982483642760176e-25  6.2887818798299081e-11  0.0000000000000000e+00  -3.7078671355922174e-24  -9.0982483642760176e-25  -1.8568333901477691e-16  4.9309649077392531e-25  -1.3132956350119405e-25  7.7773796645739554e-26  -5.3790369486303956e-10  0.0000000000000000e+00  1.3132956350119405e-25  7.7773796645739554e-26  -1.8568333901477691e-16  -4.9309649077392531e-25  -4.6077286902538497e-09  -2.2361015278268641e+00  0.0000000000000000e+00  -9.6647915119593762e-17  3.4413823681309151e-17  -3.3911188655394442e-04  0.0000000000000000e+00  9.6647915119593762e-17  3.4413823681309151e-17  6.5572832272926271e-17  -5.6974773706095892e-18  -2.6340077681648571e-18  -1.3213713977167085e-18  6.7105038597921329e-04  0.0000000000000000e+00  2.6340077681648571e-18  -1.3213713977167085e-18  6.5572832272926271e-17  5.6974773706095892e-18  5.2751731383375832e-08  0.0000000000000000e+00  2.6812661100291013e-24  -6.9301450553337309e-25  -1.3591123574910388e-10  0.0000000000000000e+00  -2.6812661100291013e-24  -6.9301450553337309e-25  7.0710483810381379e-17  1.6820939630297944e-25  9.9004878574115120e-26  -2.6533011450134120e-25  1.1354516246537576e-09  0.0000000000000000e+00  -9.9004878574115120e-26  -2.6533011450134120e-25  7.0710483810381379e-17  -1.6820939630297944e-25  -2.1407865472677415e-09  -2.2364550149330547e+00  0.0000000000000000e+00  -1.0304102863789360e-16  3.3065585457296720e-17  -2.6193691640377659e-04  0.0000000000000000e+00  1.0304102863789360e-16  3.3065585457296720e-17  4.2981065634418867e-17  -1.0813359916630082e-17  5.7259427234390703e-18  -5.8322850629888875e-18  2.5417380505606685e-03  0.0000000000000000e+00  -5.7259427234390703e-18  -5.8322850629888875e-18  4.2981065634418867e-17  1.0813359916630082e-17  2.2322712591373994e-08  0.0000000000000000e+00  8.4564705748334634e-25  -1.5553526733983503e-25  9.3145463187638381e-14  0.0000000000000000e+00  -8.4564705748334634e-25  -1.5553526733983503e-25  7.7018436400066295e-17  2.2316480578249813e-25  -3.8902675540974197e-26  -7.5416088615260255e-26  -7.1900355730333644e-10  0.0000000000000000e+00  3.8902675540974197e-26  -7.5416088615260255e-26  7.7018436400066295e-17  -2.2316480578249813e-25  -6.3542549395275299e-10  -2.2362570259764873e+00  0.0000000000000000e+00  -1.0047901867024536e-16  2.2415965942921510e-17  -3.3918271110058851e-04  0.0000000000000000e+00  1.0047901867024536e-16  2.2415965942921510e-17  4.8618169160069742e-17  -4.4178330988931182e-18  -6.6862663273886333e-19  1.8846813948653204e-18  6.7104003461491632e-04  0.0000000000000000e+00  6.6862663273886333e-19  1.8846813948653204e-18  4.8618169160069742e-17  4.4178330988931182e-18  1.2481440514786245e-08  0.0000000000000000e+00  7.5593496037273474e-25  -2.0200802815730697e-25  1.8175624031212254e-12  0.0000000000000000e+00  -7.5593496037273474e-25  -2.0200802815730697e-25  -6.2848008411908507e-18  1.4676587178319332e-26  -2.3822983040092353e-26  -2.5897590924326394e-26  5.3742166406779947e-10  0.0000000000000000e+00  2.3822983040092353e-26  -2.5897590924326394e-26  -6.2848008411908507e-18  -1.4676587178319332e-26  -3.2279116030736649e-10
