# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
9.9999999999998295e+00  3.8747549156959362e-14  -6.7846727038679555e-11  -3.9108329768712525e-09  -3.9733176053841638e-09  -2.8646461749206209e-08  3.6354473942421011e-14  -4.0209395093563340e-09  4.0834696186669146e-09  -1.2146546942986991e-14  6.7858522685630815e-11  -4.7029325827946273e-14  2.8370632925565589e-09  -4.1513355332386465e-10  2.2218282159587151e-09  8.7518982264686819e-07  2.9312832940855139e-14  -4.1507946118863109e-10  -2.2218388547173663e-09  -3.8592737463005368e-15  -2.8369908868960492e-09  -2.9345453130027508e-14  1.4102547021656231e-10  -1.0729230832900595e-11  2.8962352113915986e-11  6.5255213873845511e-07  1.6534501402358616e-16  -1.0726326709238349e-11  -2.8996225362793486e-11  8.2899409789206771e-15  -1.4103549090796641e-10
1.0999999999999799e+01  -5.1405099697079278e-14  1.0192286703070802e-10  -1.2401871527866784e-09  -1.1401455552600997e-09  4.8640889852887392e-07  -5.3175178020738412e-16  -1.7823317054857226e-09  1.6824080971879433e-09  3.3310080976950346e-14  -1.0190519813110653e-10  -3.3817996100745649e-14  3.9004563953113389e-08  5.2565524403846871e-09  3.7793409957613629e-08  3.5979312175203742e-07  5.1334432571539247e-14  5.2565162744883644e-09  -3.7793313830823731e-08  -2.3038343319304673e-14  -3.9004536643825702e-08  -2.4812385560245077e-14  -2.6262983235815691e-10  -1.9062719763623904e-10  -3.8874097440735331e-10  3.4116312344913659e-07  3.4825434121936101e-14  -1.9064194434548443e-10  3.8875730369269243e-10  -9.7568166133090474e-14  2.6263133793917098e-10
1.1999999999999799e+01  1.1187968433261211e-13  -1.4418810860316163e-10  -5.7798733506610162e-09  -5.9210290710402950e-09  -5.5652139713439861e-07  -5.0248714475887477e-14  -5.9050520279670102e-09  6.0463797384455966e-09  8.9346542099333438e-14  1.4418472137473853e-10  -1.2069617709976539e-13  -1.3646415963920060e-08  1.4060121280309143e-09  -9.3582978202750959e-09  -7.0841759610851683e-07  1.5470078896196639e-13  1.4061830528892893e-09  9.3582857501893990e-09  8.1932890498630327e-14  1.3646433952870698e-08  5.6668417233900566e-14  -5.9311716556628102e-10  6.3910366353700097e-11  -3.1433980950043508e-10  1.7522413683122239e-07  -1.4968399843792688e-14  6.3865079481410797e-11  3.1431955311006238e-10  -2.2801392658756411e-14  5.9314880909066840e-10
1.2999999999999799e+01  -8.9905585453193558e-14  1.7073219493251832e-10  -7.2422157615945780e-09  -7.0733831028322346e-09  7.5879061488740263e-07  3.7475976406402585e-14  -6.9702567283843508e-09  6.8013509943970493e-09  2.1935150627947914e-14  -1.7073708179476202e-10  -7.1783156290655824e-14  -3.1608117876503495e-09  4.2572342952942805e-10  -2.3983136039852934e-09  2.0676509126557999e-06  3.5184118449930148e-14  4.2562298164653275e-10  2.3982701936479439e-09  -4.9056905510789036e-14  3.1609663081920963e-09  1.0540836655571095e-13  3.4402918352166220e-09  2.8008665442592032e-10  3.3461511397555654e-09  -9.5927575302681682e-08  -1.4502774728323650e-14  2.8010589423673976e-10  -3.3461381349397956e-09  -7.3446776168796473e-14  -3.4403205454104836e-09
1.3999999999999700e+01  2.3162501752759475e-14  7.4572230002733500e-10  4.7063901254404761e-10  1.2012447632237247e-09  -1.0103484414245958e-06  -4.1384075188499337e-14  4.7330368211142335e-10  -1.2036896237723880e-09  -3.5687947774232806e-14  -7.4575175165217475e-10  -1.0245223631657347e-14  1.4550774586097581e-09  1.9891930599022436e-09  2.5462281215275798e-09  1.1611034989823047e-06  -5.6993255077853774e-15  1.9892039133428353e-09  -2.5462443864969530e-09  5.0938606928430765e-14  -1.4550754451853281e-09  -1.2522835923192999e-14  1.3097194143525402e-08  4.1531208295772583e-10  1.0792938072135158e-08  9.3914049161133720e-07  2.6736593676858935e-14  4.1523089857845372e-10  -1.0792976883071106e-08  5.9474648982916807e-14  -1.3097222383947096e-08
1.4999999999999700e+01  4.4438221694545178e-14  -1.3481403345881575e-09  1.3203644484161360e-08  1.1877676127371132e-08  1.1691622429347502e-06  6.7065960893361732e-14  1.3139175132324560e-08  -1.1813250190954715e-08  7.6369995958629037e-14  1.3481674967112072e-09  9.6727354317770595e-14  -5.9276143571190279e-09  -7.9432966901817969e-10  -5.7231299178010668e-09  5.3824103448789180e-08  9.3945663469206008e-15  -7.9441738021314764e-10  5.7230969958351875e-09  4.6444222671961448e-15  5.9276704988876731e-09  -8.5858383168410286e-14  -1.7314188119641034e-08  -5.0467910840822504e-10  -1.5564023015360648e-08  1.6030717707270427e-06  2.6597918479605359e-14  -5.0458686331592790e-10  1.5564055041355044e-08  -1.1067953259408634e-13  1.7314185146985179e-08
1.5999999999999700e+01  1.0506242291510551e-14  9.2884310873694594e-11  1.1267563789312723e-09  1.2179495047221280e-09  7.2903263246363823e-07  9.3363160279329164e-15  -3.4871728206251302e-10  2.5753535861084377e-10  -1.6669224246812812e-13  -9.2987022593687333e-11  -7.7858117568828136e-14  1.5980632197997133e-09  -1.0922450546870741e-10  1.1347001571158225e-09  1.0219703939488454e-06  -9.1230603458237920e-15  -1.0931913172393756e-10  -1.1348951984771057e-09  -2.2561875315078484e-13  -1.5980764703817072e-09  -7.4988356748956064e-14  1.3073060212184624e-08  -1.0355415361826408e-10  1.1297110579627634e-08  -3.6168917558755584e-06  4.0120796357845500e-14  -1.0359365576632127e-10  -1.1296878850233707e-08  4.4587697580166606e-15  -1.3073221300666787e-08
1.6999999999999901e+01  -1.6407723802241965e-13  -6.6663120222679345e-10  -4.8947194283720709e-09  -5.5553465465386681e-09  -6.1191267031680094e-07  -1.8214274436018953e-14  -2.5369048985588042e-09  3.1975064295756382e-09  -1.1256725957328033e-13  6.6676400017427156e-10  -1.4498300602243244e-14  -4.3257608724498225e-09  -1.2813966321376037e-08  -1.6335391206541982e-08  1.2737077659886401e-07  3.0277816396371770e-14  -1.2813793484717488e-08  1.6335380402756989e-08  1.8357361278332671e-13  4.3257918770151158e-09  7.0049628117350361e-14  -1.8104597413031353e-08  2.0315318555800507e-10  -1.6264705373915970e-08  -1.6647520330327631e-06  8.5142867825679807e-14  2.0303801816242253e-10  1.6264751176999777e-08  1.7898562892850694e-13  1.8104718342996554e-08
1.8000000000000000e+01  -1.1707668522338120e-13  1.1781800356023608e-09  -7.0982539597945451e-10  4.4949385170039419e-10  -8.4049042124556303e-07  -7.7594576466571527e-14  -1.9335228118081627e-09  7.7435589515351874e-10  -1.1753076468805412e-13  -1.1782328614191120e-09  -6.7925399002273241e-14  -9.1100573722810009e-09  4.0409267966460988e-09  -4.0436978957606590e-09  2.0568661948990629e-06  1.2892977433796209e-13  4.0410348948834544e-09  4.0437509839118257e-09  -9.6232303934084928e-14  9.1099647671599525e-09  -1.0748163011134092e-13  9.4435601999825155e-09  3.9069617005503021e-10  1.0052845453873277e-08  2.4623304657719879e-06  -9.4213000060919322e-14  3.9080914095197814e-10  -1.0052986004111852e-08  8.5139059103673176e-14  -9.4435815709618882e-09
1.9000000000000199e+01  1.6092130365478851e-13  -7.7303770409205137e-10  -1.8753452683981792e-09  -2.6393148313865519e-09  7.0706297565904248e-07  7.7146275581433048e-14  -2.0256330101464781e-09  2.7897033239817901e-09  -2.5091213990722118e-14  7.7292798532400267e-10  1.4857799697025970e-13  1.8360004246134038e-08  1.1960936383670287e-08  2.6978939134385384e-08  -1.3438209534992218e-06  -8.2452620442439416e-14  1.1960573806909372e-08  -2.6978648971305065e-08  8.5526717335098703e-14  -1.8360178412148432e-08  -1.6009866251354064e-13  2.4038654377378222e-09  1.6692326147988826e-09  3.1614998840344582e-09  -2.6583483330090183e-06  3.7478640350664298e-14  1.6690785907719997e-09  -3.1618009834513245e-09  -2.4873451263698126e-14  -2.4040203905018670e-09
2.0000000000000298e+01  -1.0984466010620004e-13  -7.3842999108824487e-10  -2.9085189159519571e-09  -3.6370459764201528e-09  2.1752042326645698e-07  -9.6865199278586855e-14  -3.5756186331681869e-09  4.3037037306455849e-09  -1.7451277975664702e-13  7.3867544218236243e-10  1.4767881871514046e-13  7.6436957696382323e-10  1.5807942401125048e-09  2.6130477471757633e-09  -3.4146109429304691e-06  1.5640303101539610e-13  1.5805170126149888e-09  -2.6127668861773853e-09  6.9217464627885478e-14  -7.6425347485017049e-10  -2.0880748220897830e-14  -6.4647669004388719e-09  -2.2735218139110858e-10  -5.2916509018017614e-09  1.5458546576403592e-08  -1.9371237765080665e-13  -2.2733915759179537e-10  5.2916874530531658e-09  -2.9383956128946084e-13  6.4648945784586798e-09
2.1000000000000501e+01  -2.2747975768655445e-13  3.0461736085311524e-09  -1.0311632406140359e-08  -7.3011674389084079e-09  5.9895849689872092e-07  5.9995760892194871e-14  -7.8371204150595225e-09  4.8268510935463374e-09  2.1736772580970856e-15  -3.0462923426254815e-09  2.2064429218454092e-14  -1.7555380773864549e-09  1.0278116609722928e-09  -6.3321076990427809e-10  1.9868286990670615e-06  1.9791475106165706e-13  1.0281140597419804e-09  6.3273539491080231e-10  -1.8072482697575214e-13  1.7556170555732986e-09  -1.5105268238245886e-13  -7.2110361277306005e-09  -2.0995519948781027e-09  -6.9460182699479103e-09  -5.5603951935678221e-06  1.4917328733886835e-13  -2.0997602587576981e-09  6.9459591078890812e-09  5.0874559112475250e-13  7.2110845057203788e-09
