# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0030950260533678e+00  1.0018394297370201e+00  1.0092847280356967e+00  1.0017202598531241e+00  1.0010947452234942e+00  1.0051809128900846e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0014053757920043e+00  1.0009888285334210e+00  1.0023113358341820e+00  1.0008838444865231e+00  1.0006769611326429e+00  1.0013299086296168e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
3.9999999999999600e+00  1.0030923877432709e+00  1.0018391976487020e+00  1.0092892392983164e+00  1.0017292092810983e+00  1.0010952804264752e+00  1.0051501185706173e+00  -1.1727090040679836e-06  -9.7271197221087817e-06  5.3213912231555191e-06  1.0014053312698925e+00  1.0009888119024266e+00  1.0023061390505905e+00  1.0008839202130604e+00  1.0006769978110184e+00  1.0013396778531287e+00  -1.6511069716010674e-07  -8.4087634291491922e-06  1.3988805169566279e-06
7.9999999999998703e+00  1.0030904002933214e+00  1.0018363619027464e+00  1.0092698309513464e+00  1.0017385614451992e+00  1.0011043583151937e+00  1.0052020979894642e+00  -1.0171597291688015e-06  -1.3845777986979606e-05  5.7690810367901104e-06  1.0014036141035836e+00  1.0009887730084810e+00  1.0023071563717041e+00  1.0008883142301723e+00  1.0006771115677933e+00  1.0013431277857601e+00  -1.1178089665337530e-06  -5.8986891931896558e-06  1.4454427146175629e-06
1.1999999999999799e+01  1.0030875635041610e+00  1.0018362866235531e+00  1.0092724366658314e+00  1.0017502234984728e+00  1.0011058471051366e+00  1.0052020202349472e+00  -9.8211216120023631e-07  -7.6865058837895951e-06  8.1140052693472845e-06  1.0014028065306375e+00  1.0009882377334958e+00  1.0022992713700209e+00  1.0008918073996775e+00  1.0006786431331622e+00  1.0013624624050661e+00  -1.0288746310682519e-07  -9.8381008941963905e-06  3.7909058605962122e-06
1.5999999999999700e+01  1.0030888820268928e+00  1.0018322565455005e+00  1.0092777691039849e+00  1.0017511092812610e+00  1.0011180641022035e+00  1.0052058040486127e+00  5.0712357768056711e-07  -5.7422491271653227e-07  1.1822489364720587e-05  1.0014039536754886e+00  1.0009920795176721e+00  1.0023059209636356e+00  1.0008894111441622e+00  1.0006676345863210e+00  1.0013531284371107e+00  1.0248194064172635e-06  -5.7162517291197598e-06  5.5225691477279362e-06
2.0000000000000298e+01  1.0030933970666300e+00  1.0018377170511670e+00  1.0092835255743908e+00  1.0017428261040351e+00  1.0011033744429174e+00  1.0052143675087757e+00  2.2990569102026301e-06  -4.1133607750267857e-06  1.4655557439448277e-05  1.0014109559737054e+00  1.0009953354277716e+00  1.0023115806723550e+00  1.0008711678099869e+00  1.0006592268109715e+00  1.0013375280141488e+00  3.2482524668091884e-06  -1.6747438046660022e-06  6.4694999041888749e-06
2.4000000000000998e+01  1.0031064226714637e+00  1.0018490178163810e+00  1.0093053340700173e+00  1.0017113206168429e+00  1.0010655151762307e+00  1.0051853032119906e+00  5.9892577581011500e-06  3.9286681603905038e-07  1.9781429350180564e-05  1.0014210538366528e+00  1.0010044650889081e+00  1.0023235364087157e+00  1.0008420098268334e+00  1.0006248334753813e+00  1.0013061241569683e+00  3.9699282898469181e-06  4.5929495493805649e-07  8.3813318653326133e-06
2.8000000000001599e+01  1.0031277639340495e+00  1.0018681855140315e+00  1.0093401078881954e+00  1.0016540159252814e+00  1.0010156065082201e+00  1.0051234637262327e+00  7.7664855243572265e-06  2.7376959349791103e-06  2.4901447341492124e-05  1.0014320352304844e+00  1.0010170569075987e+00  1.0023420538593490e+00  1.0008094358403130e+00  1.0005921896965460e+00  1.0012539259311375e+00  3.9110959008010514e-06  -1.6007395914094442e-06  6.2456147473469856e-06
3.2000000000002203e+01  1.0031456920332098e+00  1.0018815024977272e+00  1.0093690004664255e+00  1.0016023879811877e+00  1.0009784629241565e+00  1.0050761658424148e+00  5.1439266205222632e-06  3.8818826392799853e-06  2.0436919958190381e-05  1.0014414034159715e+00  1.0010246368132441e+00  1.0023497643412391e+00  1.0007809066529387e+00  1.0005689123256469e+00  1.0012282750949613e+00  3.3463055823707732e-06  -4.8111898945998759e-07  6.4967797810177204e-06
3.6000000000001400e+01  1.0031525373031447e+00  1.0018886425225400e+00  1.0093857402324398e+00  1.0015820322367166e+00  1.0009566477179777e+00  1.0050704583555252e+00  1.0457610042769446e-06  -5.9321499676801480e-07  1.7516403900252887e-05  1.0014492593385078e+00  1.0010267404286435e+00  1.0023568261482132e+00  1.0007568987158588e+00  1.0005633214146976e+00  1.0012086843816776e+00  2.7701271307129577e-06  7.9286050246763338e-07  4.4424105801231830e-06
