# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0345817287723378e+00  3.6999999509160830e+01  3.2000000000000504e+01  3.2000000000000078e+01  4.4068937865151083e+00
3.9999999999999600e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0500808631101703e+00  3.6999998874245911e+01  3.1999999999996927e+01  3.1999999999999879e+01  4.4066294979801137e+00
7.9999999999998703e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0634985575029230e+00  3.6999997081565944e+01  3.1999999999914515e+01  3.1999999999998384e+01  4.4042635451542145e+00
1.1999999999999799e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0774970656541063e+00  3.6999996226336670e+01  3.1999999997061927e+01  3.2000000000010822e+01  4.4065265982161987e+00
1.5999999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1001930716377357e+00  3.6999996624400133e+01  3.1999999946465831e+01  3.1999999999376783e+01  4.4729754225740246e+00
2.0000000000000298e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1245939751329619e+00  3.6999973556563916e+01  3.1999998463326424e+01  3.1999999935756154e+01  4.5898471540095960e+00
2.4000000000000998e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1507847705956156e+00  3.6999316921962389e+01  3.1999986726573741e+01  3.1999998469049363e+01  4.7540041921300205e+00
2.8000000000001599e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1762001381607119e+00  3.6994750058292432e+01  3.1999966817280612e+01  3.1999996662116438e+01  4.9596288812972453e+00
3.2000000000002203e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1945319066077857e+00  3.6983160304234289e+01  3.1999948383005236e+01  3.1999995463880879e+01  5.1378049511022423e+00
3.6000000000001400e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2079983331045643e+00  3.6970308699738709e+01  3.1999936688703102e+01  3.1999994893693028e+01  5.2494297861404871e+00
4.0000000000000597e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2206200201032340e+00  3.6962898521909267e+01  3.1999928537893854e+01  3.1999994499827384e+01  5.2968719267224920e+00
4.3999999999999801e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2359994694831702e+00  3.6959229944071275e+01  3.1999919299643825e+01  3.1999993971413815e+01  5.3214308520647711e+00
4.7999999999998998e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2516483826710125e+00  3.6957011023994582e+01  3.1999908561834896e+01  3.1999993458070637e+01  5.3171818666313744e+00
5.1999999999998202e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2645815048150331e+00  3.6955942878204965e+01  3.1999895090971286e+01  3.1999992787544929e+01  5.2738515937588391e+00
5.5999999999997399e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2747477527116953e+00  3.6958052024071307e+01  3.1999879804526579e+01  3.1999992140657241e+01  5.1978249505392569e+00
5.9999999999996597e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2844731183022358e+00  3.6961775357321557e+01  3.1999864469248990e+01  3.1999991697864814e+01  5.1098373112130107e+00
6.3999999999995801e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.2965408949975945e+00  3.6965942831618463e+01  3.1999847638359007e+01  3.1999990895274205e+01  5.0315522024651349e+00
6.7999999999997897e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.3125185561125026e+00  3.6969411349496539e+01  3.1999829781132242e+01  3.1999990015509521e+01  4.9780678530819022e+00
7.1999999999999901e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.3295184320061182e+00  3.6972463976019817e+01  3.1999811999311170e+01  3.1999989177873719e+01  4.9422544251062135e+00
7.6000000000002004e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.3448549467210764e+00  3.6974573497024146e+01  3.1999796160876276e+01  3.1999989343705206e+01  4.9078049388137064e+00
8.0000000000003993e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.3585181978412013e+00  3.6976585904960594e+01  3.1999780253460461e+01  3.1999988508935886e+01  4.8713054715228923e+00
8.4000000000006096e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.3720615679513646e+00  3.6977798862836650e+01  3.1999762319218494e+01  3.1999987357537581e+01  4.8374914429030484e+00
8.8000000000008100e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.3874340403283512e+00  3.6978805435554044e+01  3.1999744384584620e+01  3.1999987372988720e+01  4.8131816127100064e+00
9.2000000000010203e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.4052353556069797e+00  3.6979277289703923e+01  3.1999723785084623e+01  3.1999987260853498e+01  4.8053044867530890e+00
9.6000000000012193e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.4232353163145390e+00  3.6979829094903536e+01  3.1999702979409538e+01  3.1999986445886261e+01  4.8008290549431472e+00
1.0000000000001400e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.4395035358518271e+00  3.6980021785387166e+01  3.1999682357811192e+01  3.1999985396257575e+01  4.7923485038018141e+00
1.0400000000001600e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.4544113233109099e+00  3.6980687545345162e+01  3.1999660897785489e+01  3.1999984207617917e+01  4.7751787105084276e+00
1.0800000000001801e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.4696270668940166e+00  3.6980594768249375e+01  3.1999638733159646e+01  3.1999983707673227e+01  4.7597848191460370e+00
1.1200000000001999e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.4867858310327540e+00  3.6980721362850218e+01  3.1999616686930317e+01  3.1999982698334875e+01  4.7572434277877989e+00
1.1600000000002200e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.5051225063279805e+00  3.6981703746197446e+01  3.1999592717719089e+01  3.1999982350374303e+01  4.7531608990943930e+00
1.2000000000002400e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.5231028633191350e+00  3.6981314693120858e+01  3.1999565902674306e+01  3.1999980852238458e+01  4.7518726104101034e+00
1.2400000000002700e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.5400629582400285e+00  3.6981001913134619e+01  3.1999539776641676e+01  3.1999978690623134e+01  4.7579241666741492e+00
1.2800000000002899e+02  0.0000000000000000e+00  nan  nan  nan  nan  4.5556215997020653e+00  3.6981705970081947e+01  3.1999516556144425e+01  3.1999978063014918e+01  4.7472256709256424e+00
