# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
4.0000000000000597e+01  2.0464009357746478e-04  -7.6447687902935131e-07  -1.0057561765251452e-06  -5.7803011923903408e-07  -1.6958366619199971e-04  8.3774841502908077e-10  -1.0239178795268882e-06  5.7775186853680660e-07  2.0457262065526108e-04  7.4662419322509770e-07  1.3227288542081091e-05  -7.6281325331467217e-09  -2.8655865444871156e-08  -3.2133822755505361e-09  -1.0874057768659784e-05  -2.2569276589371882e-09  -2.6924141930065382e-08  7.2083519539351526e-09  1.3226400356318146e-05  1.0346423109738862e-08
4.3999999999999801e+01  2.0514413878896444e-04  -7.3832272156199252e-07  -1.0201200293195054e-06  -5.6136019549881745e-07  -1.7000779777866956e-04  -1.2386859089961948e-08  -1.0362851976431319e-06  5.7501064920555201e-07  2.0508509440325903e-04  7.2710348505463207e-07  1.3251066452624420e-05  -9.5120131814066295e-09  -2.8849676271336668e-08  2.7608167241627003e-09  -1.0897265370172360e-05  -5.0537498581886420e-09  -2.8205730748933861e-08  6.1301340405440599e-09  1.3237966775483406e-05  8.5277268103819117e-09
4.7999999999998998e+01  2.0586760566856826e-04  -7.1927944738123484e-07  -1.0404298494724601e-06  -5.5736506012164171e-07  -1.7071255412073815e-04  -1.7887410042481281e-08  -1.0819289915146271e-06  6.0598349424548502e-07  2.0570904663649224e-04  7.7438158820220230e-07  1.3392035161758926e-05  -3.8318888184349493e-08  -4.3733665096503247e-08  -5.7418878491452785e-09  -1.0922652283711441e-05  -5.9950680005221357e-09  -6.3688255814273928e-08  2.1067696692699603e-08  1.3268610021436445e-05  5.6355545078559463e-09
5.1999999999998202e+01  2.0543844235408558e-04  -8.5704164685910644e-07  -5.9959871150016219e-07  -7.7112053341610691e-07  -1.7125775445245371e-04  5.1760637958820242e-08  -6.6849644506843196e-07  7.7443167067455274e-07  2.0592349681556045e-04  7.2025838792760202e-07  1.3395924348239809e-05  -7.0973111897615361e-09  -4.2056039112749269e-08  -6.0177661703109406e-09  -1.0967014176024312e-05  -1.4407281914633351e-08  -6.7184407876395604e-08  3.5964650795282337e-08  1.3317984648239817e-05  -1.1241184187847509e-08
5.5999999999997399e+01  2.0704950008310647e-04  -8.6357029221332620e-07  -1.1438403111886666e-06  -5.9389094723680450e-07  -1.7124351787844744e-04  -7.7055897569242320e-08  -1.1262535168970257e-06  4.8669493936971368e-07  2.0695847736778886e-04  7.2454299173999339e-07  1.3480643465858286e-05  8.4794901629289911e-09  -3.4666369605471157e-08  -8.8036994734786233e-09  -1.1148735252565868e-05  -6.9484763778584463e-09  -9.0853217768110936e-08  5.2132767135004898e-08  1.3372352389917825e-05  3.6831344772542843e-08
5.9999999999996597e+01  2.0742165577293853e-04  -6.6039635299488632e-07  -1.0494342176701373e-06  -4.7404334437743860e-07  -1.7222655844203343e-04  1.9805967423411175e-09  -1.1586207436978287e-06  5.3200009243887770e-07  2.0736150433595425e-04  7.8021627478926818e-07  1.2312241659951178e-05  -9.7040591600216864e-08  3.9638478670615549e-07  -2.3278684988288133e-07  -1.1075186396202209e-05  8.2594235167255546e-08  3.5207974205861550e-07  2.0272777496150187e-07  1.2934606236188418e-05  -1.8826891471399493e-08
6.3999999999995801e+01  2.0793179186799044e-04  -6.8670412920530975e-07  -1.1207742931512252e-06  -6.9979733517749642e-07  -1.7262535070601082e-04  -2.1490864987232607e-07  -1.0196930826105480e-06  5.8117810460630917e-07  2.0819364474026263e-04  7.5471230612331827e-07  1.3519875060044123e-05  -1.5158159399880335e-07  -8.1492642142973205e-08  1.5030983358439464e-08  -1.0785141692757400e-05  -8.4292581578203498e-08  -1.0355574642887876e-07  -6.4167382731632111e-08  1.3409197672504303e-05  -8.3864092723904246e-09
6.7999999999997897e+01  2.0886728309215825e-04  -7.7980557658750823e-07  -1.0219690316848055e-06  -6.8202720075450972e-07  -1.7323103616979956e-04  7.4218333986640574e-08  -1.0069631230757756e-06  6.7407835892544754e-07  2.0886271069035431e-04  7.4104662917829115e-07  1.3087757916961378e-05  5.7612534496684448e-08  -5.5405456474197656e-08  1.0117889408042694e-07  -1.1021638849396551e-05  -2.0497774562528679e-09  -1.2937854064125207e-07  -3.3783102039983732e-08  1.3050825051564371e-05  2.7631772301035859e-08
7.1999999999999901e+01  2.0950030162243292e-04  -8.5960014590633636e-07  -1.0399768171534310e-06  -5.9827796942220153e-07  -1.7377388412561414e-04  4.3343640730313592e-08  -1.0059552232995355e-06  6.0908688475922314e-07  2.0943257561326382e-04  6.6380569016945995e-07  1.2939471020655025e-05  7.9106517770783031e-08  -1.0274297334677403e-07  -1.4371646663121166e-07  -1.0881976698969948e-05  -2.0180627442967654e-07  -2.6278995099864127e-08  6.4978272710688312e-09  1.3218520499740857e-05  -4.7436592762256297e-09
7.6000000000002004e+01  2.0869338076908331e-04  -7.2789314139188747e-07  -1.0637859663843692e-06  -5.8220841115726461e-07  -1.7320602722111292e-04  5.6305513891135817e-08  -1.1013140487218373e-06  6.3337228115044997e-07  2.0872728561630670e-04  8.8552367389107521e-07  1.3141383164344630e-05  -1.1934249420281651e-08  7.8443894683528216e-09  -1.1319125810603413e-07  -1.0851832079218605e-05  7.5442418910165187e-08  2.3414256660071708e-08  9.5494508756035732e-08  1.3138164766209393e-05  -1.5691727888966125e-08
