# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  4.8607928607994850e+00  4.2000092831265299e+01  3.1999999999999972e+01  3.1999999999999989e+01  4.2523232395040491e+00  5.0431754807796407e+00  2.2000102686127828e+01  3.2000000000000043e+01  3.2000000000000014e+01  4.3148550765489091e+00
8.0000000000000004e-01  4.8635704994114874e+00  4.2000104646468280e+01  3.2000000000000000e+01  3.1999999999999993e+01  4.2525164378532185e+00  5.0470347725894023e+00  2.2000109639986299e+01  3.2000000000000000e+01  3.2000000000000000e+01  4.3148131039416580e+00
1.6000000000000001e+00  4.8661282001502197e+00  4.2000124513867767e+01  3.1999999999999908e+01  3.2000000000000000e+01  4.2529109284739190e+00  5.0512001123206973e+00  2.2000128008318910e+01  3.2000000000000021e+01  3.2000000000000007e+01  4.3147706056660340e+00
2.3999999999999901e+00  4.8696252024581668e+00  4.2000136346433891e+01  3.1999999999999861e+01  3.2000000000000014e+01  4.2532102471646143e+00  5.0548718744546637e+00  2.2000141118283153e+01  3.2000000000000114e+01  3.1999999999999979e+01  4.3146761999014922e+00
3.1999999999999802e+00  4.8741993914268553e+00  4.2000139401919959e+01  3.1999999999999954e+01  3.2000000000000014e+01  4.2536002992517634e+00  5.0576080871537723e+00  2.2000147349825465e+01  3.2000000000000362e+01  3.1999999999999954e+01  4.3144315005641181e+00
3.9999999999999600e+00  4.8795562967102857e+00  4.2000154666379764e+01  3.2000000000000270e+01  3.2000000000000050e+01  4.2542396016647386e+00  5.0600751378143798e+00  2.2000168116734184e+01  3.2000000000000604e+01  3.1999999999999922e+01  4.3138826917617807e+00
4.7999999999999403e+00  4.8846613254983531e+00  4.2000210692605926e+01  3.2000000000000696e+01  3.2000000000000071e+01  4.2551493490193808e+00  5.0629547378858035e+00  2.2000231410439870e+01  3.2000000000000945e+01  3.1999999999999886e+01  4.3131565074253677e+00
5.5999999999999304e+00  4.8887627070537212e+00  4.2000315146476368e+01  3.2000000000001634e+01  3.2000000000000114e+01  4.2561001431751961e+00  5.0662923338899279e+00  2.2000342464110297e+01  3.2000000000001108e+01  3.1999999999999819e+01  4.3124456868378163e+00
6.3999999999999098e+00  4.8927487466894757e+00  4.2000447881906197e+01  3.2000000000003446e+01  3.2000000000000242e+01  4.2568136328818014e+00  5.0696780812388340e+00  2.2000480230970847e+01  3.2000000000000504e+01  3.1999999999999687e+01  4.3117226316532360e+00
7.1999999999998900e+00  4.8978509891520670e+00  4.2000594637333919e+01  3.2000000000007731e+01  3.2000000000000462e+01  4.2575986293766466e+00  5.0727976144560323e+00  2.2000633793162628e+01  3.1999999999998046e+01  3.1999999999999417e+01  4.3108943929864623e+00
7.9999999999998703e+00  4.9040089781483562e+00  4.2000776493409731e+01  3.2000000000015618e+01  3.2000000000000995e+01  4.2590963087988918e+00  5.0761995817545236e+00  2.2000828398482646e+01  3.1999999999991910e+01  3.1999999999998831e+01  4.3100331300872492e+00
8.7999999999998604e+00  4.9096548866727616e+00  4.2001026251793519e+01  3.2000000000029985e+01  3.2000000000002125e+01  4.2615980652061340e+00  5.0804811200058593e+00  2.2001098515195569e+01  3.1999999999977987e+01  3.1999999999997577e+01  4.3095893214449257e+00
9.5999999999998398e+00  4.9136918522384470e+00  4.2001339293003426e+01  3.2000000000053305e+01  3.2000000000003403e+01  4.2649199941118825e+00  5.0854173821303004e+00  2.2001441938743177e+01  3.1999999999949672e+01  3.1999999999996167e+01  4.3100224591664489e+00
1.0399999999999800e+01  4.9173038106223572e+00  4.2001666268438548e+01  3.2000000000092143e+01  3.2000000000010253e+01  4.2695909162884496e+00  5.0903848571839223e+00  2.2001822089718207e+01  3.1999999999888420e+01  3.1999999999989605e+01  4.3115780586477745e+00
1.1199999999999800e+01  4.9227857040871150e+00  4.2001971708465803e+01  3.2000000000117410e+01  3.2000000000018339e+01  4.2782187193100594e+00  5.0954787031741384e+00  2.2002219778342543e+01  3.1999999999797609e+01  3.1999999999986507e+01  4.3152027056160609e+00
1.1999999999999799e+01  4.9304023927644405e+00  4.2002299766712802e+01  3.2000000000246075e+01  3.2000000000118341e+01  4.2926493385438489e+00  5.1016523979547754e+00  2.2002675832076950e+01  3.1999999999469193e+01  3.1999999999862421e+01  4.3228196072383689e+00
1.2799999999999800e+01  4.9379862221334250e+00  4.2002710656093690e+01  3.2000000000641577e+01  3.2000000000335532e+01  4.3117792762802125e+00  5.1094478754077484e+00  2.2003234147354991e+01  3.1999999998886793e+01  3.1999999999639563e+01  4.3358373703614914e+00
