NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500384e+01        2.436168e+01        
2                   8.698717e+00        8.385049e+00        
3                   3.307559e+00        3.179967e+00        
4                   1.297538e+00        1.248112e+00        
5                   5.151159e-01        4.964227e-01        
6                   2.054609e-01        1.985136e-01        
7                   8.210619e-02        7.956662e-02        
8                   3.283872e-02        3.192569e-02        
9                   1.314368e-02        1.281753e-02        
10                  5.274946e-03        5.147961e-03        
11                  2.150191e-03        2.068217e-03        
12                  9.530313e-04        8.311324e-04        
