# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  4.2000081014977816e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.4360007089160914e-02  2.2000081655945490e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4265230012927082e-02  1.9999999359032326e+01  2.0000148435795346e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  4.2000126756842910e+01  3.2000000000000043e+01  3.2000000000000000e+01  2.4388163052058130e-02  2.2000129326437918e+01  3.2000000000000021e+01  3.2000000000000000e+01  2.4296684683752009e-02  1.9999997430404992e+01  2.0000152174341221e+01  7.2772703115757221e-07  7.3373233126438548e-07  -6.0053001068132728e-09  6.0737660608739088e-07  -6.0150777538350732e-07  9.8010536035320947e-06
1.6000000000000001e+00  4.2000226143034489e+01  3.1999999999999257e+01  3.2000000000000000e+01  2.4437750461375498e-02  2.2000232282345710e+01  3.2000000000000135e+01  3.2000000000000000e+01  2.4329497193038764e-02  1.9999993860688779e+01  2.0000162336231149e+01  1.4596557093926952e-06  1.4657451854441459e-06  -6.0894760514506625e-09  -3.4616183505946495e-07  2.8884253732706317e-07  1.4881480193112184e-05
2.3999999999999901e+00  4.2000327652810164e+01  3.1999999999998106e+01  3.2000000000000000e+01  2.4311232454646881e-02  2.2000337502449106e+01  3.2000000000000611e+01  3.2000000000000000e+01  2.4174133306079079e-02  1.9999990150361057e+01  2.0000170673451755e+01  2.2001197361135078e-06  2.2038726768692944e-06  -3.7529407557865758e-09  6.0350689238219278e-06  -7.6033529956719722e-06  2.4627779279700062e-05
3.1999999999999802e+00  4.2000444404503469e+01  3.1999999999997293e+01  3.2000000000000000e+01  2.4333452664636310e-02  2.2000459729532288e+01  3.2000000000001670e+01  3.2000000000000007e+01  2.4188767472591185e-02  1.9999984674971181e+01  2.0000174635233645e+01  2.9442156839688638e-06  2.9507925563627676e-06  -6.5768723939038102e-09  4.3824511001976044e-06  -4.5967704110988057e-06  2.0369897396687177e-05
3.9999999999999600e+00  4.2000612374007702e+01  3.1999999999998995e+01  3.2000000000000000e+01  2.4426091892345566e-02  2.2000634774055946e+01  3.2000000000001073e+01  3.2000000000000000e+01  2.4272443427146011e-02  1.9999977599951755e+01  2.0000173901633278e+01  3.6844554074935303e-06  3.7005842396778410e-06  -1.6128832184310688e-08  -1.0732172952838816e-05  1.5598638599825169e-05  4.8252630240556925e-05
4.7999999999999403e+00  4.2000822975209161e+01  3.2000000000000234e+01  3.2000000000000000e+01  2.4399149477471467e-02  2.2000851286533532e+01  3.2000000000000789e+01  3.2000000000000000e+01  2.4259146043170438e-02  1.9999971688675629e+01  2.0000169644037495e+01  4.4217492359412920e-06  4.4481594913007472e-06  -2.6410255359455274e-08  -4.1922437578499921e-06  4.4544275130003357e-06  3.3033954369120197e-05
5.5999999999999304e+00  4.2001031322232244e+01  3.2000000000000043e+01  3.2000000000000000e+01  2.4336333438696393e-02  2.2001062683465904e+01  3.2000000000001137e+01  3.2000000000000000e+01  2.4242239775638483e-02  1.9999968638766340e+01  2.0000167972178705e+01  5.1603606582563376e-06  5.1924262799472104e-06  -3.2065621690872887e-08  -6.7578340282423803e-06  4.3993130216212869e-06  2.0263568703552653e-05
6.3999999999999098e+00  4.2001217872644112e+01  3.1999999999997979e+01  3.2000000000000000e+01  2.4328937150855469e-02  2.2001252421194955e+01  3.2000000000002032e+01  3.2000000000000000e+01  2.4252159838427902e-02  1.9999965451449157e+01  2.0000168904111241e+01  5.9064841230961740e-06  5.9412558576659996e-06  -3.4771734569825563e-08  -8.3678395702859786e-06  4.6213599951675170e-06  2.6633546801492842e-05
7.1999999999998900e+00  4.2001414838209442e+01  3.1999999999998238e+01  3.2000000000000000e+01  2.4344745606325321e-02  2.2001457290021534e+01  3.2000000000002615e+01  3.2000000000000000e+01  2.4245632461898807e-02  1.9999957548187908e+01  2.0000169393574360e+01  6.6596756333289960e-06  6.6994242112754767e-06  -3.9748577946480698e-08  -7.7254770170353026e-06  6.7198902094810141e-06  2.5062673739774022e-05
