NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.499957e+01        2.443779e+01        
2                   8.695797e+00        8.426845e+00        
3                   3.305939e+00        3.199707e+00        
4                   1.296695e+00        1.256987e+00        
5                   5.146909e-01        5.002888e-01        
6                   2.052509e-01        2.001559e-01        
7                   8.200389e-02        8.024910e-02        
8                   3.278877e-02        3.220371e-02        
9                   1.311751e-02        1.292865e-02        
10                  5.256268e-03        5.191539e-03        
11                  2.125670e-03        2.084970e-03        
12                  9.058034e-04        8.374319e-04        
