  32.0100000    3.1907640209e-10   -1.0981003269e-06    6.2922169426e-08   -1.5584445325e-08    1.4170976265e-08   -3.4825624988e-08
  32.0200000   -5.0268946548e-08   -1.0796695855e-06    6.3233001742e-08   -1.4250583730e-08    1.2140476758e-08   -3.0143032986e-08
  32.0300000   -1.1597348052e-07   -1.0519741679e-06    6.2766495106e-08   -1.2753465452e-08    1.0277677615e-08   -2.4718501455e-08
  32.0400000   -1.7898241510e-07   -1.0248878768e-06    6.1610933810e-08   -1.1112132177e-08    8.5965152898e-09   -1.8707337100e-08
  32.0500000    1.7876147623e-08   -1.1468706801e-06    5.9874138166e-08   -9.3516218292e-09    7.1012308527e-09   -1.2303131648e-08
  32.0600000    1.0084548526e-08   -1.1493306269e-06    5.7679327270e-08   -7.5028849370e-09    5.7882171433e-09   -5.7256509390e-09
  32.0700000    5.7386152139e-09   -1.1517273234e-06    5.5160322434e-08   -5.6026338479e-09    4.6480513516e-09    7.9262925944e-10
  32.0800000    5.4301188997e-09   -1.1541375782e-06    5.2456169111e-08   -3.6928209607e-09    3.6676299258e-09    7.0206641587e-09
  32.0900000    9.5671096803e-09   -1.1551626810e-06    1.0130008255e-07   -1.8132273377e-08    3.5700559187e-09    1.2415701460e-09
  32.1000000    1.8218490218e-08   -1.1577697144e-06    1.1328766786e-07   -1.9318747997e-08    3.9838145305e-09    1.1956878482e-08
  32.1100000    3.1307498139e-08   -1.1603600221e-06    1.2428281181e-07   -2.0348007065e-08    4.5141566923e-09    2.1878908571e-08
  32.1200000    4.8484005048e-08   -1.1628257002e-06    1.3410239450e-07   -2.1210879346e-08    5.1521258693e-09    3.0910568372e-08
  32.1300000    6.9172294595e-08   -1.1650206607e-06    1.4257542030e-07   -2.1904538954e-08    5.8855552294e-09    3.8968726249e-08
  32.1400000    9.2597043173e-08   -1.1667691300e-06    1.4954667547e-07   -2.2431843492e-08    6.6992996029e-09    4.5984851737e-08
  32.1500000    1.1781831274e-07   -1.1678758385e-06    1.5487971895e-07   -2.2800364146e-08    7.5754522584e-09    5.1905487163e-08
  32.1600000    1.4377364641e-07   -1.1681377870e-06    1.5845993345e-07   -2.3021407428e-08    8.4936686323e-09    5.6692478373e-08
  32.1700000    1.6932560866e-07   -1.1673564833e-06    1.6019684240e-07   -2.3108771572e-08    9.4315188536e-09    6.0323052252e-08
  32.1800000    1.9331182894e-07   -1.1653500625e-06    1.6002622661e-07   -2.3077639263e-08    1.0364895223e-08    6.2789692899e-08
  32.1900000    2.1459579649e-07   -1.1619646590e-06    1.5791153588e-07   -2.2943310476e-08    1.1268440673e-08    6.4099817222e-08
  32.2000000    2.3211594641e-07   -1.1570842871e-06    1.5384492827e-07   -2.2720166869e-08    1.2116051947e-08    6.4275326646e-08
  32.2100000    2.4493077870e-07   -1.1506388655e-06    1.4784753895e-07   -2.2420685750e-08    1.2881350377e-08    6.3351952350e-08
  32.2200000    2.5225839158e-07   -1.1426098786e-06    1.3996940122e-07   -2.2054644772e-08    1.3538228486e-08    6.1378480699e-08
  32.2300000    2.5350881590e-07   -1.1330335150e-06    1.3028859512e-07   -2.1628569776e-08    1.4061362201e-08    5.8415842600e-08
  32.2400000    2.4830799823e-07   -1.1220013347e-06    1.1891003251e-07   -2.1145422334e-08    1.4426734159e-08    5.4536071881e-08
