# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
  22.0100000    5.1729091354e-02    4.7985669361e-06    1.3933977795e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6007046882e-01    8.6007046882e-01   -3.0112944923e-02    3.0112944923e-02
  22.0600000    5.0881379594e-02    4.6991503988e-06    1.3924650364e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6149219979e-01    8.6149219979e-01   -3.0477144209e-02    3.0477144209e-02
  22.1100000    5.0197879723e-02    4.5341443125e-06    1.3898658392e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6164277830e-01    8.6164277830e-01   -3.0675123118e-02    3.0675123118e-02
  22.1600000    4.9524932117e-02    4.5485808678e-06    1.3872252594e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6159640420e-01    8.6159640420e-01   -3.0925985020e-02    3.0925985020e-02
  22.2100000    4.8862387191e-02    4.4749381201e-06    1.3845412893e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6153372439e-01    8.6153372439e-01   -3.1168145345e-02    3.1168145345e-02
  22.2600000    4.8210094817e-02    4.4259243072e-06    1.3818114684e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6163116181e-01    8.6163116181e-01   -3.1400597400e-02    3.1400597400e-02
  22.3100000    4.7567905250e-02    4.4217419802e-06    1.3790329789e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6138028567e-01    8.6138028567e-01   -3.1622514631e-02    3.1622514631e-02
  22.3600000    4.6935669360e-02    4.3210136756e-06    1.3762026813e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6161563040e-01    8.6161563040e-01   -3.1833223103e-02    3.1833223103e-02
  22.4100000    4.6313239299e-02    4.3680906551e-06    1.3733172102e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6145829974e-01    8.6145829974e-01   -3.2032154368e-02    3.2032154368e-02
  22.4600000    4.5700468873e-02    4.2265495322e-06    1.3703731104e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6156513981e-01    8.6156513981e-01   -3.2218799048e-02    3.2218799048e-02
  22.5100000    4.5097214726e-02    4.3096420549e-06    1.3673669666e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -8.6151723355e-01    8.6151723355e-01   -3.2396706346e-02    3.2396706346e-02
