# Table I of research.tex (tab:matrix), run by run: which group each packed run is counted in.
# Built from the 2026-09-23 recount (every packed run directory, i.e. every directory with a run_tail*.log
# under results/merger/campaign, classified once).  Read by extract_detector.py, which recounts the table
# from this file plus the pack and FAILS if a packed run is missing here, if a counted run is not packed, or
# if a counted name is ambiguous.  group '-' = not an evolution of its own (copy, dead launch) or not cited;
# the reason is in note.  'shakedown (archived)' is counted in the 144 but not in the 132.  Matching is by
# run NAME (the directory name), so re-filing the pack does not break it; path is informational.
run	group	path	note
single_hold_L128_t100	lone throat	01_single_throat/hold/single_hold_L128_t100	
single_hold_chireg_t100	lone throat	01_single_throat/hold/single_hold_chireg_t100	
single_hold_dt005_t070	lone throat	01_single_throat/hold/single_hold_dt005_t070	
single_hold_dt01_t070	lone throat	01_single_throat/hold/single_hold_dt01_t070	
single_hold_ml2_chireg_t100	lone throat	01_single_throat/hold/single_hold_ml2_chireg_t100	
single_hold_ml2_t100	lone throat	01_single_throat/hold/single_hold_ml2_t100	
single_hold_ml4_lowfloor_t100	lone throat	01_single_throat/hold/single_hold_ml4_lowfloor_t100	
single_hold_ml4_t100	lone throat	01_single_throat/hold/single_hold_ml4_t100	
single_hold_t100	lone throat	01_single_throat/hold/single_hold_t100	
single_eps_m1e1_t100	spherical kicks	01_single_throat/seed/single_eps_m1e1_t100	
single_eps_m1e2_ml4_t060	spherical kicks	01_single_throat/seed/single_eps_m1e2_ml4_t060	
single_eps_m1e2_ml4_t100	spherical kicks	01_single_throat/seed/single_eps_m1e2_ml4_t100	
single_eps_m1e2_t100	spherical kicks	01_single_throat/seed/single_eps_m1e2_t100	
single_eps_m1e3_t100	spherical kicks	01_single_throat/seed/single_eps_m1e3_t100	
single_eps_p1e1_t100	spherical kicks	01_single_throat/seed/single_eps_p1e1_t100	
single_eps_p1e2_ml4_t060	spherical kicks	01_single_throat/seed/single_eps_p1e2_ml4_t060	
single_eps_p1e2_t100	spherical kicks	01_single_throat/seed/single_eps_p1e2_t100	
single_eps_p1e3_t100	spherical kicks	01_single_throat/seed/single_eps_p1e3_t100	
single_eps_p1e2_q1e2_chk_t100	quadrupolar kicks	01_single_throat/seed/single_eps_p1e2_q1e2_chk_t100	
single_eps_p1e2_q1e2_ml4_t100_r02500	quadrupolar kicks	01_single_throat/seed/single_eps_p1e2_q1e2_ml4_t100_r02500	
single_eps_p1e2_q1e2_t100	quadrupolar kicks	01_single_throat/seed/single_eps_p1e2_q1e2_t100	
single_eps_p1e2_q5e2_ml4_t100	quadrupolar kicks	01_single_throat/seed/single_eps_p1e2_q5e2_ml4_t100	
single_eps_p1e2_q5e3_ml4_t100	quadrupolar kicks	01_single_throat/seed/single_eps_p1e2_q5e3_ml4_t100	
single_pureq_q1e2_ml4_t100	quadrupolar kicks	01_single_throat/seed/single_pureq_q1e2_ml4_t100	
single_eps_p1e2_q1e2_ml4_scalar_t100	scalar-stream re-runs	01_single_throat/seed/single_eps_p1e2_q1e2_ml4_scalar_t100	
single_pureq_q1e2_L128_ml4_scalar_t100	scalar-stream re-runs	01_single_throat/seed/single_pureq_q1e2_L128_ml4_scalar_t100	
single_pureq_q1e2_ml4_scalar_t100	scalar-stream re-runs	01_single_throat/seed/single_pureq_q1e2_ml4_scalar_t100	
ctrl_flip_d12	two throats at rest	03_two_throats/ctrl_flip_d12	
ctrl_rest_a1	two throats at rest	03_two_throats/ctrl_rest_a1	
ctrl_rest_a15	two throats at rest	03_two_throats/ctrl_rest_a15	
ctrl_rest_a3	two throats at rest	03_two_throats/ctrl_rest_a3	
ctrl_rest_d12	two throats at rest	03_two_throats/ctrl_rest_d12	
ctrl_rest_d14	two throats at rest	03_two_throats/ctrl_rest_d14	
ctrl_rest_d16	two throats at rest	03_two_throats/ctrl_rest_d16	
ctrl_rest_d18	two throats at rest	03_two_throats/ctrl_rest_d18	
orbit_d12_p012	two throats at rest	03_two_throats/orbit_d12_p012	
place_d10_step1	placement probes	04_binary_headon/placement/place_d10_step1	
place_d12_step1	placement probes	04_binary_headon/placement/place_d12_step1	
place_d14_step1	placement probes	04_binary_headon/placement/place_d14_step1	
place_d16_step1	placement probes	04_binary_headon/placement/place_d16_step1	
place_d18_step1	placement probes	04_binary_headon/placement/place_d18_step1	
place_d20_step1	placement probes	04_binary_headon/placement/place_d20_step1	
place_d24_step1	placement probes	04_binary_headon/placement/place_d24_step1	
place_d28_step1	placement probes	04_binary_headon/placement/place_d28_step1	
place_d32_step1	placement probes	04_binary_headon/placement/place_d32_step1	
place_d36_step1	placement probes	04_binary_headon/placement/place_d36_step1	
place_d40_step1	placement probes	04_binary_headon/placement/place_d40_step1	
place_d44_step1	placement probes	04_binary_headon/placement/place_d44_step1	
place_d48_step1	placement probes	04_binary_headon/placement/place_d48_step1	
place_d65_step1	placement probes	04_binary_headon/placement/place_d65_step1	
place_d6_step1	placement probes	04_binary_headon/placement/place_d6_step1	
place_d75_step1	placement probes	04_binary_headon/placement/place_d75_step1	
place_d7_step1	placement probes	04_binary_headon/placement/place_d7_step1	
