# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
3.1000000000002000e+01  4.7962264523530651e-07  9.7201959042855127e-13  8.4858233790264447e-06  -5.2272743085877999e-13  2.0736578546198324e-06  -2.7977757774271408e-13
3.2000000000002203e+01  1.3287039452151361e-06  2.1739581082727992e-13  -2.3322196220057422e-06  4.3233971340988574e-13  -1.5160816798348927e-05  2.8239097175664611e-12
3.3000000000001997e+01  2.4204572799801659e-06  2.1919201994086801e-13  -2.7380876725579612e-06  3.4225326777774870e-13  -1.0829159939741192e-05  -4.3693020698734241e-12
3.4000000000001798e+01  3.0218325184922147e-06  -5.4191957236783973e-13  1.3237445884452751e-05  -2.3778671866701967e-13  -7.7846521945158026e-06  1.2239710401418035e-12
3.5000000000001599e+01  1.0987796019383030e-05  5.5839498406543185e-13  1.4833246169182483e-05  2.3747268615349372e-12  1.3678711439324545e-05  -4.8407284865410316e-12
3.6000000000001400e+01  1.6649351125447358e-05  -7.1135798214164754e-13  1.9337695595805024e-05  2.2025491405192654e-12  -2.2924410952558291e-05  6.8752688827396606e-12
3.7000000000001201e+01  3.8371453270463049e-05  -3.8737426407129160e-13  1.4005645901824005e-05  1.6326359193785523e-12  4.2757963963907285e-06  -4.4090385661595968e-12
3.8000000000001002e+01  2.2570727104611142e-05  -9.5743944938571105e-13  -3.3343241228018473e-05  1.8208723362279673e-12  -1.6519114885657869e-06  -2.9712707183729776e-12
3.9000000000000803e+01  2.0287184635300261e-05  -2.4656256052750864e-12  2.3782623697486500e-05  4.7594474636947966e-13  1.0461231523629709e-05  1.9065465765628841e-12
4.0000000000000597e+01  3.9496746559484347e-05  -2.7242135133236152e-13  3.2020437174975035e-05  8.1613659577765924e-13  9.3167282396886790e-06  5.3106559942053119e-12
4.1000000000000398e+01  3.4964421541423891e-05  -3.9315293025031070e-12  1.0483396722597879e-05  1.3023650583158969e-12  1.8147114892275118e-05  -7.2745223863059387e-12
4.2000000000000199e+01  3.6484260575896864e-05  1.5959961979925703e-12  -2.7819106525298090e-05  -1.0140491871422557e-12  1.2936486730122308e-05  8.5787560708307167e-12
4.3000000000000000e+01  -3.6688332860373869e-06  1.7686738994470275e-12  -1.7235591281248695e-05  1.0024121125009146e-11  -9.0820320122376552e-05  -1.8601958732911877e-11
4.3999999999999801e+01  4.0231136103093085e-05  2.2920154563687587e-12  7.8489118290393092e-05  -2.2180455004913122e-12  1.3101130147006657e-05  9.8635569414626094e-12
