# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)  Re(R=22)  Im(R=22)
0.0000000000000000e+00  3.0579229279713079e-10  -8.5369172210478380e-18  4.3477292511806993e-07  4.4140553222477730e-17  -2.0006023940861869e-13  -6.4649972905263466e-17  -5.4593974908810068e-08  -1.0923253782999032e-17
1.0000000000000000e+00  -3.7620676914633647e-08  -9.3872913640214300e-15  2.2735981302901750e-07  -4.6090245601359658e-15  8.5085756082521852e-10  7.5627060964137185e-16  -7.2437645227381256e-08  3.9542450895665202e-15
2.0000000000000000e+00  -3.6030151438027820e-08  -1.3640659726466142e-14  3.0298077549470741e-07  -2.1306205728558820e-14  3.8465077261649585e-09  2.8327845319221710e-15  -6.6080122475985029e-08  -4.1572518310005177e-15
2.9999999999999800e+00  6.3899074664506068e-08  1.4111294714632713e-15  9.9546354671331921e-08  -7.1259331533170075e-15  -1.3721003403704527e-09  -3.0314125239723300e-15  2.7930650951587741e-08  1.0877382391980949e-14
3.9999999999999600e+00  2.2670068686133093e-07  -2.7346067546568765e-14  1.9861106432053473e-08  2.0170177252344755e-14  -3.9557875374651327e-08  4.6460643243924150e-15  -8.4928893777262434e-08  6.7768512409158133e-15
4.9999999999999396e+00  1.2614262974068732e-07  -3.7891741990087166e-15  -4.0392631575238452e-08  2.5757328577601907e-14  3.0920453286700797e-08  -7.3879496854254545e-15  -8.5395738632868655e-08  2.0895599271063571e-14
5.9999999999999201e+00  3.5651345946189782e-07  3.6371705081590170e-14  8.0004221309041421e-09  -4.8633691893230272e-14  -3.9177444348386845e-08  1.2594834936125434e-15  -1.5313624931206201e-08  2.7266981652734589e-15
6.9999999999998996e+00  3.0199552151489003e-07  5.9491985865901992e-16  2.5543850617361856e-07  8.3241542344168016e-15  4.3387767711917335e-08  -1.4202281074451094e-14  3.5467790695325902e-08  -2.2013275373216881e-15
7.9999999999998703e+00  -1.2238455829277980e-06  3.1037788810983298e-14  1.0130247874165795e-07  3.5182647918471249e-14  -1.4457036673211475e-07  -2.7066899400323573e-14  -3.5978578439371870e-08  4.7752781953543630e-14
8.9999999999998508e+00  -4.6157016930883123e-06  2.9596737965588715e-14  1.4783600133534315e-07  -9.4035509087790415e-15  -3.5007713036117759e-07  3.7133336587599360e-15  7.3582439036534577e-08  -2.8058242119476137e-14
9.9999999999998295e+00  8.1774323017438152e-06  6.4119179025036487e-15  1.4908877629817216e-06  6.6758741188708230e-14  6.5255206676639507e-07  -1.6100769127960291e-14  -4.1753482454513358e-08  8.6905562702733510e-15
1.0999999999999799e+01  1.2513439838773510e-06  9.7747426615147079e-16  -2.2695343424240494e-05  1.7513752983412406e-14  3.4115052234631317e-07  2.2602069397655063e-14  -2.4373839221449116e-07  1.0465940797760421e-14
1.1999999999999799e+01  -3.9702738390282312e-06  2.7385325137371026e-14  8.8082632003640856e-06  3.6462637790031349e-14  1.6985624470225450e-07  8.0842424836029693e-15  3.0630166185803313e-07  -2.1536019044378001e-14
1.2999999999999799e+01  6.6906999433494685e-06  -3.7846416607355067e-14  -3.5222972965878071e-06  4.7583049491272441e-14  -1.3140927098924174e-06  -3.4627830905007104e-14  -9.0467562664537027e-07  3.7463436264609480e-14
1.3999999999999700e+01  -2.4374142103554741e-05  -4.0668455480107486e-14  -4.2501803541035372e-06  8.4266880425487146e-14  -1.6005700647637808e-05  1.1242449207477024e-14  -8.6615502328177321e-07  -6.7251393948982515e-14
1.4999999999999700e+01  -4.3238497941682097e-05  1.8266621406650429e-14  7.4591750084884700e-06  -3.5510710446803752e-14  7.2123260199261331e-06  4.7184477995460070e-14  3.9834435236208823e-07  3.8960354231891423e-14
1.5999999999999700e+01  -3.8354981924610139e-07  4.3303470021169615e-14  7.5813840805566963e-07  -3.2967595435636199e-14  -2.5521169534215544e-06  8.5432270335596856e-14  -2.9353004160996567e-06  6.9445260359119617e-14
1.6999999999999901e+01  7.7828890379347238e-05  -3.5323065006058419e-14  4.0855752309156915e-07  6.1127936306345846e-14  6.1278072818901771e-06  6.6870060117311226e-14  -1.8158642322027640e-05  -3.1181864338058873e-14
1.8000000000000000e+01  1.4959013291435244e-04  8.3818851971456231e-14  5.7545129273052941e-06  -7.7365694443365004e-14  -5.2461217763588487e-06  -5.9210071513790510e-14  2.4382270887139327e-05  7.2814804170582361e-14
1.9000000000000199e+01  1.8422991891875486e-04  7.4614417095193830e-14  -3.3554143704636486e-05  -5.7627557640764079e-14  -3.1469108224244753e-06  -3.6102193992070359e-14  -3.6453760016752864e-06  -3.4138459608014631e-14
2.0000000000000298e+01  1.5568778758536658e-04  -1.0666094326654303e-14  -4.0379640186745040e-05  3.5483986317036451e-14  4.4112803064104442e-06  -1.7010767129413659e-13  -4.2171220147847898e-06  -1.2890787717535666e-13
2.1000000000000501e+01  6.7907571761374044e-05  7.3875483384472222e-15  1.8925119670912285e-05  -1.6034984480368626e-13  -7.4282171309126725e-06  1.0819719130544630e-13  7.4363228452967809e-06  -8.7022244853109213e-15
2.2000000000000600e+01  -6.9452464022316378e-05  -8.2973844465887658e-14  1.0059146470135792e-04  -2.1963974838812298e-13  5.2455225670760553e-06  -3.4581509309992614e-14  -5.6871820982135815e-06  7.2938165636153954e-14
2.3000000000000799e+01  -2.3289268926668559e-04  -4.4405678784420911e-14  1.4907399466752765e-04  -9.0222540927506317e-14  -9.2567249992797059e-06  -8.4276789084732937e-14  -1.5274816116113294e-05  -8.4748304209437163e-14
2.4000000000000998e+01  -3.9489973705941322e-04  1.7118784835447621e-13  1.5188158777314215e-04  1.4875750108618269e-13  -4.3006906481215754e-05  1.7091218788251588e-13  -1.0490754976528155e-06  3.5562551862832469e-13
2.5000000000001101e+01  -5.2288104155248476e-04  1.3440539750552761e-13  1.1202613578883268e-04  9.9018899288757845e-14  -1.4219568938320886e-05  -1.4025583639365731e-13  -5.6071697423097998e-06  -7.9547839067913544e-14
2.6000000000001300e+01  -6.0086901977721640e-04  3.2747480280154760e-13  1.1730128138695904e-05  5.0342882527379288e-13  6.3959899599090928e-05  -2.1291154661834413e-13  9.9130692265171102e-06  5.2049391531676705e-14
2.7000000000001400e+01  -6.0365939344703514e-04  2.2645530017902113e-14  -1.4790971279251492e-04  5.9817059995192054e-14  1.2526834219744461e-04  2.3982399414024524e-13  1.9914365499965562e-05  6.2104595676201869e-14
