# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
  40.0100000    1.4815167683e-02    4.0344911506e-02
  40.0600000    1.5640434564e-02    4.2542039962e-02
  40.1100000    1.6526469631e-02    4.4889173990e-02
  40.1600000    1.7476231722e-02    4.7393637700e-02
  40.2100000    1.8492628626e-02    5.0062661755e-02
  40.2600000    1.9578219517e-02    5.2902496974e-02
  40.3100000    2.0734780770e-02    5.5917181324e-02
  40.3600000    2.1963053943e-02    5.9107914414e-02
  40.4100000    2.3262564217e-02    6.2472653725e-02
  40.4600000    2.4631354494e-02    6.6005467221e-02
  40.5100000    2.6065637731e-02    6.9695660695e-02
  40.5600000    2.7559344691e-02    7.3526620362e-02
  40.6100000    2.9103572095e-02    7.7474396162e-02
  40.6600000    3.0686047728e-02    8.1506354416e-02
  40.7100000    3.2290715044e-02    8.5580168518e-02
  40.7600000    3.3897484868e-02    8.9643258254e-02
  40.8100000    3.5482212959e-02    9.3632819635e-02
  40.8600000    3.7016975417e-02    9.7476628390e-02
  40.9100000    3.8470710955e-02    1.0109479198e-01
  40.9600000    3.9810292170e-02    1.0440259877e-01
  41.0100000    4.1002076871e-02    1.0731458416e-01
  41.0600000    4.2013873321e-02    1.0974962847e-01
  41.1100000    4.2817059753e-02    1.1163639831e-01
  41.1600000    4.3388551476e-02    1.1291832857e-01
  41.2100000    4.3712418156e-02    1.1355764422e-01
  41.2600000    4.3781022919e-02    1.1353811400e-01
  41.3100000    4.3595557366e-02    1.1286623480e-01
  41.3600000    4.3165884540e-02    1.1157064022e-01
  41.4100000    4.2509673660e-02    1.0969970702e-01
  41.4600000    4.1650912979e-02    1.0731759486e-01
  41.5100000    4.0618026175e-02    1.0449931593e-01
  41.5600000    3.9441875307e-02    1.0132556785e-01
  41.6100000    3.8153895558e-02    9.7877954687e-02
  41.6600000    3.6784513906e-02    9.4234973790e-02
  41.7100000    3.5361935736e-02    9.0468972513e-02
  41.7600000    3.3911326790e-02    8.6644133945e-02
  41.8100000    3.2454367648e-02    8.2815422790e-02
  41.8600000    3.1009121935e-02    7.9028331860e-02
  41.9100000    2.9590141736e-02    7.5319226862e-02
  41.9600000    2.8208733168e-02    7.1716089104e-02
  42.0100000    2.6873315264e-02    6.8239484111e-02
  42.0600000    2.5589820132e-02    6.4903623758e-02
  42.1100000    2.4362096553e-02    6.1717426575e-02
  42.1600000    2.3192291792e-02    5.8685513139e-02
  42.2100000    2.2081196885e-02    5.5809100542e-02
  42.2600000    2.1028548161e-02    5.3086779169e-02
  42.3100000    2.0033283247e-02    5.0515168805e-02
  42.3600000    1.9093754022e-02    4.8089461890e-02
  42.4100000    1.8207900030e-02    4.5803863744e-02
  42.4600000    1.7373387482e-02    4.3651943605e-02
  42.5100000    1.6587718424e-02    4.1626908625e-02
  42.5600000    1.5848315130e-02    3.9721814307e-02
  42.6100000    1.5152584232e-02    3.7929723267e-02
  42.6600000    1.4497964228e-02    3.6243821681e-02
  42.7100000    1.3881959714e-02    3.4657502095e-02
  42.7600000    1.3302164799e-02    3.3164418912e-02
  42.8100000    1.2756278982e-02    3.1758525014e-02
  42.8600000    1.2242116711e-02    3.0434092589e-02
  42.9100000    1.1757612274e-02    2.9185722499e-02
  42.9600000    1.1300821298e-02    2.8008345274e-02
  43.0100000    1.0869919592e-02    2.6897215697e-02
  43.0600000    1.0463200207e-02    2.5847903094e-02
  43.1100000    1.0079069246e-02    2.4856278728e-02
  43.1600000    9.7160407756e-03    2.3918501143e-02
  43.2100000    9.3727312335e-03    2.3031000435e-02
  43.2600000    9.0478535630e-03    2.2190462020e-02
  43.3100000    8.7402112641e-03    2.1393810356e-02
  43.3600000    8.4486924932e-03    2.0638192898e-02
  43.4100000    8.1722643788e-03    1.9920964752e-02
  43.4600000    7.9099675432e-03    1.9239673967e-02
  43.5100000    7.6609108749e-03    1.8592047547e-02
  43.5600000    7.4242665652e-03    1.7975978217e-02
  43.6100000    7.1992654344e-03    1.7389511999e-02
  43.6600000    6.9851925850e-03    1.6830836710e-02
  43.7100000    6.7813833635e-03    1.6298271315e-02
  43.7600000    6.5872196114e-03    1.5790256079e-02
  43.8100000    6.4021261762e-03    1.5305343408e-02
  43.8600000    6.2255676546e-03    1.4842189306e-02
  43.9100000    6.0570453623e-03    1.4399545432e-02
  43.9600000    5.8960945336e-03    1.3976251774e-02
  44.0100000    5.7422817552e-03    1.3571229928e-02
  44.0600000    5.5952026214e-03    1.3183476977e-02
  44.1100000    5.4544795846e-03    1.2812059884e-02
  44.1600000    5.3197599867e-03    1.2456110352e-02
  44.2100000    5.1907142478e-03    1.2114820131e-02
  44.2600000    5.0670341931e-03    1.1787436710e-02
  44.3100000    4.9484315027e-03    1.1473259356e-02
  44.3600000    4.8346362807e-03    1.1171635483e-02
  44.4100000    4.7253957427e-03    1.0881957414e-02
  44.4600000    4.6204730223e-03    1.0603659524e-02
  44.5100000    4.5196460969e-03    1.0336215866e-02
  44.5600000    4.4227068502e-03    1.0079138487e-02
  44.6100000    4.3294602823e-03    9.8319768992e-03
  44.6600000    4.2397239618e-03    9.5943203188e-03
  44.7100000    4.1533280429e-03    9.3658090745e-03
  44.7600000    4.0701174601e-03    9.1461972237e-03
  44.8100000    3.9899608365e-03    8.9354685798e-03
  44.8600000    3.9127665517e-03    8.7325956822e-03
  44.9100000    3.8389256070e-03    8.5357314502e-03
  44.9600000    3.7673218122e-03    8.3570130436e-03
  45.0100000    3.6961921230e-03    8.1581145806e-03
  45.0600000    3.6286061492e-03    7.9557835642e-03
  45.1100000    3.5672694761e-03    7.7851345663e-03
  45.1600000    3.5088416450e-03    7.6426824105e-03
  45.2100000    3.4450487416e-03    7.4990851504e-03
  45.2600000    3.3798592394e-03    7.3382180784e-03
  45.3100000    3.3215914328e-03    7.1650427736e-03
  45.3600000    3.2664725565e-03    6.9954085094e-03
  45.4100000    3.1942247881e-03    6.7885185600e-03
  45.4600000    3.1101065049e-03    6.5088146490e-03
  45.5100000    3.0398649927e-03    6.2425359729e-03
  45.5600000    2.9980020299e-03    6.0896869304e-03
  45.6100000    2.9723375049e-03    6.0359881480e-03
  45.6600000    2.9468685097e-03    6.0226466575e-03
  45.7100000    2.9274112835e-03    6.0414470367e-03
  45.7600000    2.9261488963e-03    6.0963657463e-03
  45.8100000    2.9339002277e-03    6.1464562194e-03
  45.8600000    2.9292824431e-03    6.1474616015e-03
  45.9100000    2.8952646973e-03    6.0772895747e-03
  45.9600000    2.8254235403e-03    5.9265305752e-03
  46.0100000    2.7273733352e-03    5.7029536170e-03
  46.0600000    2.6238895006e-03    5.4544368172e-03
  46.1100000    2.5450136038e-03    5.2634534440e-03
  46.1600000    2.5038788293e-03    5.1755400689e-03
  46.2100000    2.4857445223e-03    5.1506846117e-03
  46.2600000    2.4708482136e-03    5.1384779151e-03
  46.3100000    2.4568006499e-03    5.1347482376e-03
  46.3600000    2.4471370283e-03    5.1660730428e-03
  46.4100000    2.4348966338e-03    5.2012713015e-03
  46.4600000    2.4106809437e-03    5.1854059744e-03
