# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  5.5876669539458144e+00  4.2000106093733514e+01  3.1999999999999975e+01  3.1999999999999989e+01  4.2659224261417945e+00  5.8118794769395166e+00  2.2000114058368471e+01  3.2000000000000021e+01  3.2000000000000021e+01  4.3295707714451401e+00
8.0000000000000004e-01  5.5904675005386117e+00  4.2000117567545871e+01  3.2000000000000014e+01  3.2000000000000000e+01  4.2661373982031598e+00  5.8161670604333136e+00  2.2000122559011938e+01  3.2000000000000007e+01  3.1999999999999996e+01  4.3295243074116616e+00
1.6000000000000001e+00  5.5928770859932033e+00  4.2000137615086622e+01  3.2000000000000099e+01  3.1999999999999996e+01  4.2665748383061581e+00  5.8208866846685119e+00  2.2000142489318758e+01  3.2000000000000057e+01  3.1999999999999989e+01  4.3294999586948375e+00
2.3999999999999901e+00  5.5964594295375818e+00  4.2000148774411159e+01  3.2000000000000277e+01  3.2000000000000007e+01  4.2669053180361551e+00  5.8250384116402243e+00  2.2000155270817224e+01  3.2000000000000249e+01  3.1999999999999982e+01  4.3294328021056367e+00
3.1999999999999802e+00  5.6013333438798911e+00  4.2000147702173813e+01  3.2000000000000433e+01  3.2000000000000007e+01  4.2673849091380998e+00  5.8280483421483762e+00  2.2000157313857319e+01  3.2000000000000583e+01  3.1999999999999957e+01  4.3292097935267471e+00
3.9999999999999600e+00  5.6072986272297500e+00  4.2000155535099530e+01  3.2000000000000831e+01  3.2000000000000007e+01  4.2681697538335008e+00  5.8308423228049335e+00  2.2000171207077468e+01  3.2000000000000973e+01  3.1999999999999932e+01  4.3286388888032850e+00
4.7999999999999403e+00  5.6133223735403739e+00  4.2000210272067051e+01  3.2000000000001521e+01  3.2000000000000021e+01  4.2692266333798612e+00  5.8345102911164677e+00  2.2000235153682056e+01  3.2000000000001492e+01  3.1999999999999932e+01  4.3278590042056937e+00
5.5999999999999304e+00  5.6182268889536502e+00  4.2000332381082551e+01  3.2000000000002835e+01  3.2000000000000007e+01  4.2703572693795495e+00  5.8390622577491893e+00  2.2000367012796950e+01  3.2000000000001798e+01  3.1999999999999950e+01  4.3271979830241110e+00
6.3999999999999098e+00  5.6227795655538184e+00  4.2000502004021300e+01  3.2000000000005613e+01  3.1999999999999989e+01  4.2712531652099415e+00  5.8436426706912403e+00  2.2000545220355509e+01  3.2000000000001265e+01  3.2000000000000028e+01  4.3266949898343423e+00
7.1999999999998900e+00  5.6284253401741582e+00  4.2000691891779447e+01  3.2000000000011688e+01  3.1999999999999950e+01  4.2722035724268848e+00  5.8474334822359602e+00  2.2000746178176147e+01  3.1999999999998668e+01  3.2000000000000178e+01  4.3262076854058185e+00
