# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  1.1399546430885330e+01  2.4152889527439582e-02  1.0882934072904614e+01  7.2869250337780711e-03  3.1803424677149785e+01  3.2000000000000007e+01  3.2000000000000007e+01  4.7999999999999998e+00  1.1398498843231174e+01  1.0884464958464321e+01  7.0080595409606743e-03  4.2659224261417954e+00  7.5330850897578239e-01  4.3295707714451401e+00  7.4311123390926881e-01  4.9016572613861920e-01  9.8471528611538317e-01
8.0000000000000004e-01  1.1406634560971927e+01  2.4163605192149620e-02  1.0882947381865131e+01  7.2879467174202890e-03  3.1802253196974306e+01  3.2000000000000007e+01  3.2000000000000000e+01  4.7999999999999998e+00  1.1405567472698587e+01  1.0884494826530020e+01  7.0095315143666554e-03  4.2661373982031598e+00  7.5333499020755246e-01  4.3295243074116607e+00  7.4319013808284284e-01  4.9010665421565541e-01  9.8471533792493593e-01
1.6000000000000001e+00  1.1413763770661713e+01  2.4241764474571385e-02  1.0882994188050070e+01  7.3497517072846057e-03  3.1800372869625459e+01  3.2000000000000092e+01  3.2000000000000000e+01  4.7999999999999998e+00  1.1412663461345289e+01  1.0884568526027188e+01  7.0075984523217871e-03  4.2665748383061581e+00  7.5329570997148576e-01  4.3294999586948384e+00  7.4323809529863716e-01  4.9001163843685852e-01  9.8471637010336932e-01
2.3999999999999901e+00  1.1421497841177807e+01  2.4153033858552726e-02  1.0883037081849015e+01  7.3446109253530118e-03  3.1800021609743595e+01  3.2000000000000256e+01  3.1999999999999989e+01  4.7999999999999998e+00  1.1420371423959406e+01  1.0884618489992484e+01  7.0006993633758945e-03  4.2669053180361542e+00  7.5296706702951155e-01  4.3294328021056367e+00  7.4310258127745099e-01  4.8999347610614835e-01  9.8472358768212853e-01
3.1999999999999802e+00  1.1429381686028265e+01  2.4102396141506936e-02  1.0883112771931131e+01  7.2824488340845249e-03  3.1801791043204236e+01  3.2000000000000519e+01  3.1999999999999989e+01  4.7999999999999998e+00  1.1428245098402119e+01  1.0884673701302924e+01  7.0027623060077027e-03  4.2673849091380998e+00  7.5267236832953555e-01  4.3292097935267480e+00  7.4327607468557655e-01  4.9008192199296180e-01  9.8474685878756896e-01
3.9999999999999600e+00  1.1438140950034683e+01  2.4213094693945655e-02  1.0883194445554304e+01  7.2873503694394440e-03  3.1804726436552460e+01  3.2000000000000902e+01  3.1999999999999975e+01  4.7999999999999998e+00  1.1437008685889708e+01  1.0884719529432171e+01  7.0112132786461882e-03  4.2681697538335008e+00  7.5250190264163186e-01  4.3286388888032850e+00  7.4366572914777884e-01  4.9022814561598382e-01  9.8464147485360121e-01
4.7999999999999403e+00  1.1447832664656843e+01  2.4225082728089556e-02  1.0883272446762396e+01  7.2914632781377582e-03  3.1807009159811933e+01  3.2000000000001499e+01  3.1999999999999972e+01  4.7999999999999998e+00  1.1446708443442983e+01  1.0884769962011458e+01  7.0180908909956525e-03  4.2692266333798603e+00  7.5244405166483852e-01  4.3278590042056937e+00  7.4394023953429111e-01  4.9033931032819111e-01  9.8477438326147737e-01
5.5999999999999304e+00  1.1457289146702838e+01  2.4148054811402666e-02  1.0883359271351846e+01  7.2912277206175430e-03  3.1807603416757306e+01  3.2000000000002309e+01  3.1999999999999979e+01  4.7999999999999998e+00  1.1456173383483897e+01  1.0884851015777476e+01  7.0176946985233092e-03  4.2703572693795495e+00  7.5250052241856735e-01  4.3271979830241110e+00  7.4397716374613021e-01  4.9036266930301359e-01  9.8475905437934830e-01
6.3999999999999098e+00  1.1466422236245059e+01  2.4123059572274421e-02  1.0883427954778035e+01  7.2850420630703443e-03  3.1807906749367326e+01  3.2000000000003396e+01  3.2000000000000007e+01  4.7999999999999998e+00  1.1465324586729027e+01  1.0884917851605483e+01  7.0087446613501889e-03  4.2712531652099415e+00  7.5248330089193671e-01  4.3266949898343423e+00  7.4377076509712237e-01  4.9036913604841442e-01  9.8476326662057234e-01
7.1999999999998900e+00  1.1475858822410117e+01  2.4129196948390323e-02  1.0883536443285150e+01  7.2788473746506835e-03  3.1809877067511295e+01  3.2000000000005052e+01  3.2000000000000071e+01  4.7999999999999998e+00  1.1474793328346948e+01  1.0885003614509094e+01  6.9999006179526429e-03  4.2722035724268839e+00  7.5233196701675942e-01  4.3262076854058185e+00  7.4357640187542617e-01  4.9045787572629768e-01  9.8477941316938145e-01
7.9999999999998703e+00  1.1486770148289365e+01  2.4151018837437643e-02  1.0883802080616011e+01  7.2795729543138647e-03  3.1813111509263280e+01  3.2000000000007589e+01  3.2000000000000206e+01  4.7999999999999998e+00  1.1485737543595523e+01  1.0885231614821818e+01  7.0696472213785493e-03  4.2739024388651217e+00  7.5211935887342862e-01  4.3257062542572529e+00  7.4355971249501007e-01  4.9060792429620348e-01  9.8479548396648642e-01
8.7999999999998604e+00  1.1499215288052856e+01  2.4165528254125875e-02  1.0884384195363396e+01  7.2894884861776062e-03  3.1815190791966629e+01  3.2000000000011511e+01  3.2000000000000412e+01  4.7999999999999998e+00  1.1498190709702090e+01  1.0885792853470791e+01  7.0806989337694011e-03  4.2768112314794990e+00  7.5183381543987327e-01  4.3257466204945141e+00  7.4354062058366066e-01  4.9069611150107040e-01  9.8480339273465811e-01
9.5999999999998398e+00  1.1511538366084295e+01  2.4154835743433418e-02  1.0885441516180229e+01  7.3051216907549683e-03  3.1814680016826578e+01  3.2000000000016925e+01  3.2000000000001982e+01  4.7999999999999998e+00  1.1510490641571351e+01  1.0886863750247349e+01  7.0965041419340427e-03  4.2810221851201780e+00  7.5155953028261635e-01  4.3271505537966046e+00  7.4335946676923581e-01  4.9065019870518833e-01  9.8480333656228214e-01
1.0399999999999800e+01  1.1523069700244099e+01  2.4133310973336753e-02  1.0887228299205223e+01  7.3229617928779987e-03  3.1813260837453527e+01  3.2000000000020705e+01  3.2000000000003780e+01  4.7999999999999998e+00  1.1521991822028252e+01  1.0888675797193150e+01  7.1131464366817124e-03  4.2873034777115722e+00  7.5120845050616025e-01  4.3303482833913787e+00  7.4303068673687200e-01  4.9055679793083606e-01  9.8480257573892260e-01
1.1199999999999800e+01  1.1535585312874515e+01  2.4127219381448062e-02  1.0890402527607858e+01  7.3398527635992446e-03  3.1813673819185269e+01  3.2000000000000604e+01  3.2000000000008868e+01  4.7999999999999998e+00  1.1534494841886946e+01  1.0891851568540227e+01  7.1292016063617758e-03  4.2980812486368878e+00  7.5075438627245872e-01  4.3360631386942057e+00  7.4272226757109916e-01  4.9055509526333890e-01  9.8481284796826940e-01
