# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0000175414117964e+00  9.8730468117847892e-01  1.0128012157015283e+00  1.0000045313756574e+00  9.9190036353709354e-01  1.0081373185907807e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000103181523414e+00  9.9392318925305878e-01  1.0061571225436656e+00  1.0000017493503779e+00  9.9697049234213786e-01  1.0031051048437203e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0000175089864800e+00  9.8730756202072567e-01  1.0127962601896612e+00  1.0000047382876502e+00  9.9190192199850469e-01  1.0081454586472836e+00  -1.2468170133791088e-07  -4.1159771193775415e-05  4.7920412852977779e-05  1.0000102930028767e+00  9.9392805765434400e-01  1.0061509204484778e+00  1.0000018553402572e+00  9.9693724602455769e-01  1.0030786918633685e+00  -6.0827991464086269e-08  -2.9483120015023200e-05  2.3140599873022666e-05
1.6000000000000001e+00  1.0000175374062130e+00  9.8731195195601007e-01  1.0127873439131658e+00  1.0000047886145607e+00  9.9189448286183202e-01  1.0081671849755982e+00  -2.8593924736762942e-08  -4.0334368031480783e-05  4.9588127467875285e-05  1.0000102718957118e+00  9.9392249282348522e-01  1.0061596490502893e+00  1.0000019549477062e+00  9.9694770407701783e-01  1.0030748210950631e+00  -5.5089559876412425e-08  -2.2258648221114487e-05  1.6372896774730963e-05
2.3999999999999901e+00  1.0000175476495239e+00  9.8729854230426695e-01  1.0128015133741763e+00  1.0000048060538140e+00  9.9190491245844947e-01  1.0081565917478712e+00  6.7822278866018515e-08  -2.3806921591612044e-05  4.1004070030138029e-05  1.0000102612045283e+00  9.9392595417231677e-01  1.0061555341071604e+00  1.0000020242850804e+00  9.9694486098930002e-01  1.0030761204300416e+00  -6.0296822098685496e-08  -1.7796821691095801e-05  1.3292118097839168e-05
3.1999999999999802e+00  1.0000175812308267e+00  9.8729150068057947e-01  1.0128238433181023e+00  1.0000047674035262e+00  9.9193728772994627e-01  1.0080896328023246e+00  3.0077246167758757e-08  -1.5120138112499494e-05  2.6464161067431835e-05  1.0000102130591197e+00  9.9392527928747743e-01  1.0061555583440163e+00  1.0000021569515538e+00  9.9694421899751395e-01  1.0030769774224189e+00  -6.2780551150188574e-08  -1.5197939632369830e-05  1.0777730051147385e-05
3.9999999999999600e+00  1.0000176062979163e+00  9.8730863458839246e-01  1.0128043329177761e+00  1.0000047615781633e+00  9.9192308176623212e-01  1.0080907159928176e+00  3.3527136718248956e-08  -1.2959504608057512e-05  1.8426025902350383e-05  1.0000101985658709e+00  9.9392492955330980e-01  1.0061541903088900e+00  1.0000022377050757e+00  9.9694548227631130e-01  1.0030791791087481e+00  -7.5637925600325123e-08  -1.1685583049391373e-05  9.3880529703298696e-06
4.7999999999999403e+00  1.0000176924899729e+00  9.8730797124948577e-01  1.0128097499201425e+00  1.0000046523996127e+00  9.9193164274323331e-01  1.0080607680842779e+00  1.3352920039331418e-07  -1.1347014428776580e-05  1.5088665633998700e-05  1.0000101411024489e+00  9.9392791677395242e-01  1.0061538384850777e+00  1.0000023964164355e+00  9.9694069370523797e-01  1.0030794291109453e+00  -7.9442233783065074e-08  -9.9998568669835380e-06  8.5593749060399342e-06
5.5999999999999304e+00  1.0000177173353713e+00  9.8733304771249830e-01  1.0127726523887011e+00  1.0000045839469844e+00  9.9189758984298859e-01  1.0081118347425178e+00  3.5754882871934479e-08  -6.6868289131209220e-05  4.9701229514046559e-05  1.0000101164967292e+00  9.9393066492970006e-01  1.0061504793676088e+00  1.0000025030862423e+00  9.9693529236028378e-01  1.0030877130155382e+00  -7.0800224633122801e-08  -9.0514381460335607e-06  7.9152410958862715e-06
6.3999999999999098e+00  1.0000177428151398e+00  9.8734263087027929e-01  1.0127569693912115e+00  1.0000045119039376e+00  9.9186837073098888e-01  1.0081607670877426e+00  1.2227212357584875e-07  -3.3814620508361366e-05  2.4350730858829893e-05  1.0000101005807531e+00  9.9393157981258018e-01  1.0061549354067605e+00  1.0000025972427820e+00  9.9692968838474727e-01  1.0030829828633721e+00  -2.5398103608842779e-08  -8.6823184349642670e-06  7.0158673820417652e-06
7.1999999999998900e+00  1.0000177822358238e+00  9.8733789742632738e-01  1.0127613906305213e+00  1.0000044101354559e+00  9.9188163967139076e-01  1.0081589546560024e+00  5.5165028757713191e-08  -3.6716957428788905e-05  2.8151815757056694e-05  1.0000101382070721e+00  9.9392765737517386e-01  1.0061616932713586e+00  1.0000025805786250e+00  9.9693442122660159e-01  1.0030701851208794e+00  5.0998097060470607e-08  -8.3132464137387449e-06  8.0751481909994376e-06
