# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.7000205274114478e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4516522854767499e-02  2.7000207763710385e+01  3.2000000000000000e+01  3.2000000000000007e+01  2.4424300970827630e-02  9.9999975104040928e+00  1.0000129051357590e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
3.9999999999999600e+00  3.7001848739369748e+01  3.1999999999848772e+01  3.1999999999999993e+01  2.4579331173828309e-02  2.7001898894880320e+01  3.2000000000069001e+01  3.2000000000000000e+01  2.4416502945180048e-02  9.9999498444894286e+00  1.0000150690553792e+01  8.3516871371298140e-06  8.3933432145673935e-06  -4.1656077437579524e-08  -2.5472214784078861e-05  2.1248328249123480e-05  5.1521425372631734e-05
7.9999999999998703e+00  3.7005176096865277e+01  3.1999999996776914e+01  3.2000000000000000e+01  2.4542488042844483e-02  2.7005307244725213e+01  3.2000000001208136e+01  3.2000000000000000e+01  2.4393486671147047e-02  9.9998688521400645e+00  1.0000143618589384e+01  1.6845197284398269e-05  1.6982165155294999e-05  -1.3696787089673032e-07  -1.8093003148931814e-05  1.7613956111689243e-05  2.6375069031268292e-05
1.1999999999999799e+01  3.7010701985129430e+01  3.1999999989818765e+01  3.1999999999999993e+01  2.4556283214511282e-02  2.7010930580825690e+01  3.2000000004044509e+01  3.2000000000000007e+01  2.4401264670568124e-02  9.9997714043037398e+00  1.0000175922367728e+01  2.5528225251722362e-05  2.5719984717420691e-05  -1.9175946569832978e-07  -3.0471828754536911e-05  2.9862255576253926e-05  3.6594374350846466e-05
1.5999999999999700e+01  3.7018609838801908e+01  3.1999999978973360e+01  3.1999999999998145e+01  2.4557470646845506e-02  2.7019182892438053e+01  3.2000000008620106e+01  3.2000000000006750e+01  2.4406064205975679e-02  9.9994269463638545e+00  9.9999552911328102e+00  3.4236739231812227e-05  3.4472108931640405e-05  -2.3536969982817862e-07  -4.0234438843285585e-05  4.2811294822382728e-05  4.8963521174230371e-05
2.0000000000000298e+01  3.7029381690826938e+01  3.1999999959578457e+01  3.1999999999488011e+01  2.4558980070489646e-02  2.7029988500494735e+01  3.2000000021079998e+01  3.2000000005084331e+01  2.4412992385538713e-02  9.9993931903322029e+00  1.0000055897385192e+01  4.3063360831045426e-05  4.3313220089482633e-05  -2.4985925843720638e-07  -5.4089589946568271e-05  5.5832508585678092e-05  6.1772775578036246e-05
2.4000000000000998e+01  3.7042346503413462e+01  3.1999999742842451e+01  3.1999999932443203e+01  2.4559994306970742e-02  2.7042754907452945e+01  3.1999999477607741e+01  3.1999999672909439e+01  2.4420438450128992e-02  9.9995915959605171e+00  1.0000376891944320e+01  5.1925868528358278e-05  5.2229309866458560e-05  -3.0344133810028209e-07  -6.4979373762231725e-05  6.8996962294014873e-05  7.4784869891834083e-05
2.8000000000001599e+01  3.7057695981079235e+01  3.1999999831515609e+01  3.1999999798775701e+01  2.4562277309383845e-02  2.7057661899323076e+01  3.1999998398205793e+01  3.1999999020990803e+01  2.4427822229433724e-02  1.0000034081756159e+01  1.0000969027789438e+01  6.0832451910232661e-05  6.1295200367142977e-05  -4.6274845691031673e-07  -7.7396834300666817e-05  8.1986320801821614e-05  8.7651866683359809e-05
3.2000000000002203e+01  3.7074858074015935e+01  3.1999999672352061e+01  3.1999999472098516e+01  2.4565781236495707e-02  2.7075293266688277e+01  3.1999997906100102e+01  3.1999998674961695e+01  2.4434562438792419e-02  9.9995648073276584e+00  1.0000671100973104e+01  6.9801562900216000e-05  7.0349349588046852e-05  -5.4778668783085182e-07  -8.9834321546260667e-05  9.5908308659748765e-05  1.0089892642147500e-04
3.6000000000001400e+01  3.7094179696608641e+01  3.1999999165907401e+01  3.1999999254570280e+01  2.4569909150863007e-02  2.7095619537047810e+01  3.1999998104038564e+01  3.1999998677679148e+01  2.4440571993074284e-02  9.9985601595608316e+00  9.9998406480315971e+00  7.8893999661441304e-05  7.9466624994328915e-05  -5.7262533288761114e-07  -1.0299256173509196e-04  1.0977188421836131e-04  1.1459124993225403e-04
