# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
1.7599999999998499e+02  0.0000000000000000e+00  5.4236441735349620e-04  1  1.0146236074310337e+00  0.0000000000000000e+00  6.5824849284801886e-04  nan  1  5  5  4.0973946998521527e-06  0.0000000000000000e+00  0
1.7999999999998099e+02  0.0000000000000000e+00  7.1222546979468301e-04  1  1.0147043991107421e+00  0.0000000000000000e+00  6.7722020488261627e-04  nan  1  5  5  5.2162514559960990e-06  0.0000000000000000e+00  0
1.8399999999997800e+02  0.0000000000000000e+00  8.8715772134971701e-04  1  1.0147653948877720e+00  0.0000000000000000e+00  6.9543932411758559e-04  nan  1  5  5  6.3688615911002669e-06  0.0000000000000000e+00  0
1.8799999999997399e+02  3.6643080830502374e-05  1.0682265390186498e-03  1  1.0148054514349321e+00  0.0000000000000000e+00  7.1300946601456636e-04  nan  1  5  5  7.5983101684001826e-06  0.0000000000000000e+00  0
1.9199999999996999e+02  1.7491816559297459e-04  1.2536452377494749e-03  1  1.0148231612212482e+00  0.0000000000000000e+00  7.3333702702850219e-04  nan  1  5  5  8.8504168390393699e-06  0.0000000000000000e+00  0
1.9599999999996700e+02  3.1827372473048737e-04  1.4446517580147932e-03  1  1.0148673412153406e+00  0.0000000000000000e+00  7.5367812979646126e-04  nan  1  5  5  1.0155920525941812e-05  0.0000000000000000e+00  0
1.9999999999996299e+02  4.6737281005700511e-04  1.6418591204460219e-03  1  1.0149493393900393e+00  0.0000000000000000e+00  7.7280448748814098e-04  nan  1  5  5  1.1506833587106284e-05  0.0000000000000000e+00  0
2.0399999999995899e+02  6.2237303433225098e-04  1.8452439279266946e-03  1  1.0150059627401431e+00  0.0000000000000000e+00  7.9138450068619965e-04  nan  1  5  5  1.2913520856217177e-05  0.0000000000000000e+00  0
2.0799999999995600e+02  7.8377806331326929e-04  2.0552765594736592e-03  1  1.0150377707080336e+00  0.0000000000000000e+00  8.1116121121966147e-04  nan  1  5  5  1.4369077288785104e-05  0.0000000000000000e+00  0
2.1199999999995200e+02  9.5135637851431580e-04  2.2715865739522355e-03  1  1.0150424586745450e+00  0.0000000000000000e+00  8.3300485757891157e-04  nan  1  5  5  1.5892597153542549e-05  0.0000000000000000e+00  0
2.1599999999994901e+02  1.1255023974834307e-03  2.4946448049614454e-03  1  1.0151375110240624e+00  0.0000000000000000e+00  8.5325413740695215e-04  nan  1  5  5  1.7480055063267773e-05  0.0000000000000000e+00  0
2.1999999999994500e+02  1.3068472767174396e-03  2.7251643636979255e-03  1  1.0152061052736332e+00  0.0000000000000000e+00  8.7246484410823956e-04  nan  1  5  5  1.9130663714890649e-05  0.0000000000000000e+00  0
2.2399999999994100e+02  1.4957533717454138e-03  2.9634522437545678e-03  1  1.0152452892519834e+00  0.0000000000000000e+00  8.9299810677134057e-04  nan  1  5  5  2.0892661135916554e-05  0.0000000000000000e+00  0
2.2799999999993801e+02  1.6921101268667024e-03  3.2092894755896143e-03  1  1.0152533013790443e+00  0.0000000000000000e+00  9.1578679159087762e-04  nan  1  5  5  2.2773188174673326e-05  0.0000000000000000e+00  0
