#       time                step          core0_grid          core1_grid       midpoint_grid       cells_shifted      odometer_cells     odometer_length       midpoint_true
   0.0100000    1.0000000000e+00    3.7000205266e+01    2.7000207756e+01    3.2000206511e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000206511e+01
   0.2000000    2.0000000000e+01    3.7000211604e+01    2.7000214341e+01    3.2000212972e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000212972e+01
   0.4000000    4.0000000000e+01    3.7000768115e+01    2.7000234860e+01    3.2000501488e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000501488e+01
   0.6000000    6.0000000000e+01    3.7000263426e+01    2.7000268619e+01    3.2000266022e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000266022e+01
   0.8000000    8.0000000000e+01    3.7000307852e+01    2.7000314484e+01    3.2000311168e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000311168e+01
   1.0000000    1.0000000000e+02    3.7001028134e+01    2.7000370986e+01    3.2000699560e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000699560e+01
   1.2000000    1.2000000000e+02    3.7000426765e+01    2.7000436458e+01    3.2000431612e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000431612e+01
   1.4000000    1.4000000000e+02    3.7000497335e+01    2.7000509186e+01    3.2000503260e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000503260e+01
   1.6000000    1.6000000000e+02    3.7000573446e+01    2.7000587587e+01    3.2000580517e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000580517e+01
   1.8000000    1.8000000000e+02    3.7000653871e+01    2.7000670382e+01    3.2000662126e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000662126e+01
   2.0000000    2.0000000000e+02    3.7000737802e+01    2.7000756732e+01    3.2000747267e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000747267e+01
   2.2000000    2.2000000000e+02    3.7000824909e+01    2.7000846325e+01    3.2000835617e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000835617e+01
   2.4000000    2.4000000000e+02    3.7000915352e+01    2.7000939372e+01    3.2000927362e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2000927362e+01
   2.6000000    2.6000000000e+02    3.7001009730e+01    2.7001036536e+01    3.2001023133e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001023133e+01
   2.8000000    2.8000000000e+02    3.7001108970e+01    2.7001138789e+01    3.2001123880e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001123880e+01
   3.0000000    3.0000000000e+02    3.7001214147e+01    2.7001247204e+01    3.2001230676e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001230676e+01
   3.2000000    3.2000000000e+02    3.7001326246e+01    2.7001362720e+01    3.2001344483e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001344483e+01
   3.4000000    3.4000000000e+02    3.7001980667e+01    2.7001485911e+01    3.2001733289e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001733289e+01
   3.6000000    3.6000000000e+02    3.7002108033e+01    2.7001616815e+01    3.2001862424e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001862424e+01
   3.8000000    3.8000000000e+02    3.7002242937e+01    2.7001754859e+01    3.2001998898e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001998898e+01
   4.0000000    4.0000000000e+02    3.7001848739e+01    2.7001898895e+01    3.2001873817e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2001873817e+01
   4.2000000    4.2000000000e+02    3.7001994197e+01    2.7002047336e+01    3.2002020766e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002020766e+01
   4.4000000    4.4000000000e+02    3.7002142539e+01    2.7002198374e+01    3.2002170456e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002170456e+01
   4.6000000    4.6000000000e+02    3.7002291985e+01    2.7002350234e+01    3.2002321110e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002321110e+01
   4.8000000    4.8000000000e+02    3.7002440991e+01    2.7002501422e+01    3.2002471206e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002471206e+01
   5.0000000    5.0000000000e+02    3.7002588449e+01    2.7002650928e+01    3.2002619689e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002619689e+01
   5.2000000    5.2000000000e+02    3.7002733836e+01    2.7002798357e+01    3.2002766096e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002766096e+01
   5.4000000    5.4000000000e+02    3.7002877260e+01    2.7002943958e+01    3.2002910609e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2002910609e+01
   5.6000000    5.6000000000e+02    3.7003019441e+01    2.7003088594e+01    3.2003054018e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003054018e+01
   5.8000000    5.8000000000e+02    3.7003161630e+01    2.7003233645e+01    3.2003197637e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003197637e+01
   6.0000000    6.0000000000e+02    3.7003305481e+01    2.7003380869e+01    3.2003343175e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003343175e+01
   6.2000000    6.2000000000e+02    3.7003452906e+01    2.7003532252e+01    3.2003492579e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003492579e+01
   6.4000000    6.4000000000e+02    3.7003605906e+01    2.7003689832e+01    3.2003647869e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003647869e+01
   6.6000000    6.6000000000e+02    3.7003766398e+01    2.7003855512e+01    3.2003810955e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003810955e+01
   6.8000000    6.8000000000e+02    3.7003936043e+01    2.7004030880e+01    3.2003983462e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2003983462e+01
   7.0000000    7.0000000000e+02    3.7004116084e+01    2.7004217052e+01    3.2004166568e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2004166568e+01
   7.2000000    7.2000000000e+02    3.7004307226e+01    2.7004414554e+01    3.2004360890e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2004360890e+01
   7.4000000    7.4000000000e+02    3.7004509563e+01    2.7004623280e+01    3.2004566422e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2004566422e+01
   7.6000000    7.6000000000e+02    3.7004722586e+01    2.7004842516e+01    3.2004782551e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2004782551e+01
   7.8000000    7.8000000000e+02    3.7004945248e+01    2.7005071035e+01    3.2005008142e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2005008142e+01
   8.0000000    8.0000000000e+02    3.7005176097e+01    2.7005307245e+01    3.2005241671e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2005241671e+01
   8.2000000    8.2000000000e+02    3.7005413441e+01    2.7005549368e+01    3.2005481405e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2005481405e+01
   8.4000000    8.4000000000e+02    3.7005655542e+01    2.7005795642e+01    3.2005725592e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2005725592e+01
   8.6000000    8.6000000000e+02    3.7005900794e+01    2.7006044499e+01    3.2005972647e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2005972647e+01
   8.8000000    8.8000000000e+02    3.7006147890e+01    2.7006294730e+01    3.2006221310e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2006221310e+01
   9.0000000    9.0000000000e+02    3.7006395944e+01    2.7006545604e+01    3.2006470774e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2006470774e+01
   9.2000000    9.2000000000e+02    3.7006644574e+01    2.7006796931e+01    3.2006720752e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2006720752e+01
   9.4000000    9.4000000000e+02    3.7006893929e+01    2.7007049080e+01    3.2006971504e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2006971504e+01
   9.6000000    9.6000000000e+02    3.7007144672e+01    2.7007302935e+01    3.2007223804e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2007223804e+01
   9.8000000    9.8000000000e+02    3.7007397908e+01    2.7007559800e+01    3.2007478854e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2007478854e+01
  10.0000000    1.0000000000e+03    3.7007655071e+01    2.7007821267e+01    3.2007738169e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2007738169e+01
  10.2000000    1.0200000000e+03    3.7007917785e+01    2.7008089041e+01    3.2008003413e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2008003413e+01
