# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9105682550128438e+00  3.7000308984201602e+01  3.1999999999999975e+01  3.1999999999999996e+01  4.3375355098767931e+00  4.0366783287368015e+00  2.7000322330213187e+01  3.2000000000000036e+01  3.2000000000000028e+01  4.4068764575965975e+00
3.9999999999999600e+00  3.9293853255335320e+00  3.7000611688123826e+01  3.2000000000056659e+01  3.1999999999999975e+01  4.3396235375878058e+00  4.0492955561865154e+00  2.7000672571031306e+01  3.1999999999992173e+01  3.1999999999999886e+01  4.4052727482889420e+00
7.9999999999998703e+00  3.9521001734014756e+00  3.7002412953525848e+01  3.1999999999077765e+01  3.1999999999998753e+01  4.3461507742468948e+00  4.0557932582859557e+00  2.7002609595496693e+01  3.2000000000402842e+01  3.1999999999996728e+01  4.3977280793611051e+00
1.1999999999999799e+01  3.9720978941304228e+00  3.7006673293022530e+01  3.1999999994159062e+01  3.1999999999949864e+01  4.3725498352472369e+00  4.0672902631083492e+00  2.7007659090076157e+01  3.2000000002333408e+01  3.1999999999881766e+01  4.3919105769705755e+00
1.5999999999999700e+01  3.9974240899525340e+00  3.7013245826141045e+01  3.1999999980972618e+01  3.1999999998952198e+01  4.5011309222084988e+00  4.0984016553200027e+00  2.7017187267333352e+01  3.2000000004243702e+01  3.1999999998069629e+01  4.4762286895592807e+00
2.0000000000000298e+01  4.0212941634155701e+00  3.7024729345007344e+01  3.1999999901039679e+01  3.1999999979029379e+01  4.6958012654922907e+00  4.1417705994108012e+00  2.7030085258155069e+01  3.1999999916535803e+01  3.1999999944086984e+01  4.6908880994708859e+00
2.4000000000000998e+01  4.0512564861804048e+00  3.7036449344026607e+01  3.1999999840236089e+01  3.1999999927791258e+01  4.9749578712454721e+00  4.1846189537601042e+00  2.7043457523306728e+01  3.1999999360557698e+01  3.1999999598470026e+01  5.0040697511400545e+00
2.8000000000001599e+01  4.0924307290995463e+00  3.7041466462496508e+01  3.1999999793044651e+01  3.1999999754745165e+01  5.3575685255185865e+00  4.2144997194925544e+00  2.7061600597231521e+01  3.1999998504800253e+01  3.1999999071722623e+01  5.3648734948891059e+00
3.2000000000002203e+01  4.1333379918043640e+00  3.7039517436808076e+01  3.1999999622503612e+01  3.1999999501516495e+01  5.7959254091649237e+00  4.2349906073674006e+00  2.7090757682769389e+01  3.1999998063792017e+01  3.1999998762739576e+01  5.7316568339039833e+00
3.6000000000001400e+01  4.1594076402462683e+00  3.7035305222171552e+01  3.1999999283000751e+01  3.1999999300014412e+01  6.1846977868923414e+00  4.2546095665253745e+00  2.7135437229077212e+01  3.1999997963586100e+01  3.1999998616340051e+01  6.0671888486154586e+00
4.0000000000000597e+01  4.1705976463919541e+00  3.7031169044647463e+01  3.1999998994082805e+01  3.1999999177516230e+01  6.4568547299104644e+00  4.2813907340257753e+00  2.7190351423098434e+01  3.1999997810043791e+01  3.1999998465750359e+01  6.3430786505274330e+00
