#   time = 90.120000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -4.1354519140e-06    3.7228189785e-05
   0.0000000   0.2617994   -4.1354519140e-06    3.7228189785e-05
   0.0000000   0.5235988   -4.1354519140e-06    3.7228189785e-05
   0.0000000   0.7853982   -4.1354519140e-06    3.7228189785e-05
   0.0000000   1.0471976   -4.1354519140e-06    3.7228189785e-05
   0.0000000   1.3089969   -4.1354519140e-06    3.7228189785e-05
   0.0000000   1.5707963   -4.1354519140e-06    3.7228189785e-05
   0.0000000   1.8325957   -4.1354519140e-06    3.7228189785e-05
   0.0000000   2.0943951   -4.1354519140e-06    3.7228189785e-05
   0.0000000   2.3561945   -4.1354519140e-06    3.7228189785e-05
   0.0000000   2.6179939   -4.1354519140e-06    3.7228189785e-05
   0.0000000   2.8797933   -4.1354519140e-06    3.7228189785e-05
   0.0000000   3.1415927   -4.1354519140e-06    3.7228189785e-05
   0.0000000   3.4033920   -4.1354519140e-06    3.7228189785e-05
   0.0000000   3.6651914   -4.1354519140e-06    3.7228189785e-05
   0.0000000   3.9269908   -4.1354519140e-06    3.7228189785e-05
   0.0000000   4.1887902   -4.1354519140e-06    3.7228189785e-05
   0.0000000   4.4505896   -4.1354519140e-06    3.7228189785e-05
   0.0000000   4.7123890   -4.1354519140e-06    3.7228189785e-05
   0.0000000   4.9741884   -4.1354519140e-06    3.7228189785e-05
   0.0000000   5.2359878   -4.1354519140e-06    3.7228189785e-05
   0.0000000   5.4977871   -4.1354519140e-06    3.7228189785e-05
   0.0000000   5.7595865   -4.1354519140e-06    3.7228189785e-05
   0.0000000   6.0213859   -4.1354519140e-06    3.7228189785e-05
   0.0872665   0.0000000    8.2723519438e-04    3.8795938529e-04
   0.0872665   0.2617994    4.4143519334e-04    6.4743137350e-04
   0.0872665   0.5235988    8.0961176833e-05    8.1465867884e-04
   0.0872665   0.7853982   -3.5115071624e-04    6.4252523419e-04
   0.0872665   1.0471976   -7.3712167862e-04    5.8801674346e-04
   0.0872665   1.3089969   -9.2512548523e-04    2.0107303762e-04
   0.0872665   1.5707963   -7.2949346190e-04   -3.5809374735e-04
   0.0872665   1.8325957   -4.9671711190e-04   -7.2990521903e-04
   0.0872665   2.0943951   -1.0860990896e-04   -8.8269931855e-04
   0.0872665   2.3561945    3.1909937608e-04   -8.9510091017e-04
   0.0872665   2.6179939    5.8612621289e-04   -4.3873499581e-04
   0.0872665   2.8797933    7.0257464719e-04   -4.8975825609e-05
   0.0872665   3.1415927    8.1354987561e-04    3.6542648724e-04
   0.0872665   3.4033920    4.4145508684e-04    6.4770390327e-04
   0.0872665   3.6651914    8.0262715971e-05    8.1385547438e-04
   0.0872665   3.9269908   -3.5103311094e-04    6.4201327838e-04
   0.0872665   4.1887902   -7.3742668282e-04    5.8815987937e-04
   0.0872665   4.4505896   -9.2662400112e-04    2.0208664176e-04
   0.0872665   4.7123890   -7.3176863554e-04   -3.5122451364e-04
   0.0872665   4.9741884   -4.9881411236e-04   -7.3159155717e-04
   0.0872665   5.2359878   -1.0860944192e-04   -8.8249271399e-04
   0.0872665   5.4977871    3.1911936766e-04   -8.9583292582e-04
   0.0872665   5.7595865    5.8533616969e-04   -4.3760530794e-04
   0.0872665   6.0213859    7.0217970680e-04   -4.8542194668e-05
   0.1745329   0.0000000    8.1123936137e-04    3.0940840550e-04
   0.1745329   0.2617994    5.8277832998e-04    7.1138022343e-04
   0.1745329   0.5235988    7.0071192756e-05    8.0200438068e-04
   0.1745329   0.7853982   -3.6408316064e-04    8.0258767676e-04
   0.1745329   1.0471976   -7.6638552774e-04    6.2327887470e-04
   0.1745329   1.3089969   -8.5993591864e-04    7.2514686864e-05
   0.1745329   1.5707963   -7.1148427900e-04   -3.4846272392e-04
   0.1745329   1.8325957   -4.8688903211e-04   -6.1019342979e-04
   0.1745329   2.0943951   -1.0664186237e-04   -8.5114120496e-04
   0.1745329   2.3561945    2.8659499085e-04   -6.6652698488e-04
   0.1745329   2.6179939    6.3248531600e-04   -4.7728090718e-04
   0.1745329   2.8797933    9.6270701287e-04   -2.1851871940e-04
   0.1745329   3.1415927    7.8052665311e-04    3.1028342150e-04
   0.1745329   3.4033920    5.8365874003e-04    7.1184681037e-04
   0.1745329   3.6651914    6.9556429984e-05    8.0144132316e-04
   0.1745329   3.9269908   -3.6411988221e-04    8.0468551740e-04
   0.1745329   4.1887902   -7.6626246713e-04    6.2298923036e-04
   0.1745329   4.4505896   -8.6082165156e-04    7.3006498632e-05
   0.1745329   4.7123890   -7.1928181407e-04   -3.5078875006e-04
   0.1745329   4.9741884   -4.8714236470e-04   -6.1044939050e-04
   0.1745329   5.2359878   -1.0744373936e-04   -8.5244799810e-04
   0.1745329   5.4977871    2.8646406969e-04   -6.6551991553e-04
   0.1745329   5.7595865    6.3228863603e-04   -4.7716612748e-04
   0.1745329   6.0213859    9.6263835993e-04   -2.1837108630e-04
   0.2617994   0.0000000    7.5872282649e-04    2.6531421104e-04
   0.2617994   0.2617994    4.0404799664e-04    6.0631688898e-04
   0.2617994   0.5235988    1.6763809239e-04    9.8686177940e-04
   0.2617994   0.7853982   -3.0950191849e-04    7.6555514670e-04
   0.2617994   1.0471976   -7.2454058304e-04    4.7143067042e-04
   0.2617994   1.3089969   -8.5299346494e-04    9.2061555543e-05
   0.2617994   1.5707963   -9.0606805391e-04   -3.5012424859e-04
   0.2617994   1.8325957   -5.3999451428e-04   -6.5280794096e-04
   0.2617994   2.0943951   -1.5107010324e-04   -7.6327130716e-04
   0.2617994   2.3561945    2.6056567117e-04   -7.5230879026e-04
   0.2617994   2.6179939    5.7739977394e-04   -6.0203320128e-04
   0.2617994   2.8797933    7.2362745998e-04   -1.6230807384e-04
   0.2617994   3.1415927    7.9585420867e-04    2.6354852419e-04
   0.2617994   3.4033920    3.9200899474e-04    6.1179951093e-04
   0.2617994   3.6651914    1.6762736673e-04    9.8625115647e-04
   0.2617994   3.9269908   -3.0922695474e-04    7.6601235607e-04
   0.2617994   4.1887902   -7.2485616904e-04    4.7145962297e-04
   0.2617994   4.4505896   -8.6080476884e-04    9.3313936115e-05
   0.2617994   4.7123890   -9.2026989438e-04   -3.5697066088e-04
   0.2617994   4.9741884   -5.3012211992e-04   -6.3736383204e-04
   0.2617994   5.2359878   -1.5187338055e-04   -7.6482182582e-04
   0.2617994   5.4977871    2.6064740674e-04   -7.5058573651e-04
   0.2617994   5.7595865    5.7805128942e-04   -6.0363060685e-04
   0.2617994   6.0213859    7.1972960769e-04   -1.4954617960e-04
   0.3490659   0.0000000    6.2608736241e-04    2.0679757978e-04
   0.3490659   0.2617994    3.6329545004e-04    5.4541457965e-04
   0.3490659   0.5235988    1.0355655698e-04    8.2256021468e-04
   0.3490659   0.7853982   -3.7549177551e-04    7.9148242584e-04
   0.3490659   1.0471976   -7.4610124820e-04    5.2149142884e-04
   0.3490659   1.3089969   -8.8291505710e-04    9.9371282645e-05
   0.3490659   1.5707963   -6.8485760500e-04   -3.0553385158e-04
   0.3490659   1.8325957   -5.5101904805e-04   -5.5883684114e-04
   0.3490659   2.0943951   -3.0416359764e-04   -7.9311855368e-04
   0.3490659   2.3561945    1.3599841485e-04   -5.6309097814e-04
   0.3490659   2.6179939    3.9028433473e-04   -3.8687611346e-04
   0.3490659   2.8797933    6.2391692488e-04   -1.1441370849e-04
   0.3490659   3.1415927    6.5237912735e-04    2.1023414044e-04
   0.3490659   3.4033920    3.6097066013e-04    5.4441426473e-04
   0.3490659   3.6651914    1.0491054052e-04    8.2357573869e-04
   0.3490659   3.9269908   -3.7529373387e-04    7.9208079685e-04
   0.3490659   4.1887902   -7.4685897238e-04    5.2256643786e-04
