#   time = 90.060000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4440756185e-05    8.7373975390e-05
   0.0000000   0.2617994   -1.4440756185e-05    8.7373975390e-05
   0.0000000   0.5235988   -1.4440756185e-05    8.7373975390e-05
   0.0000000   0.7853982   -1.4440756185e-05    8.7373975390e-05
   0.0000000   1.0471976   -1.4440756185e-05    8.7373975390e-05
   0.0000000   1.3089969   -1.4440756185e-05    8.7373975390e-05
   0.0000000   1.5707963   -1.4440756185e-05    8.7373975390e-05
   0.0000000   1.8325957   -1.4440756185e-05    8.7373975390e-05
   0.0000000   2.0943951   -1.4440756185e-05    8.7373975390e-05
   0.0000000   2.3561945   -1.4440756185e-05    8.7373975390e-05
   0.0000000   2.6179939   -1.4440756185e-05    8.7373975390e-05
   0.0000000   2.8797933   -1.4440756185e-05    8.7373975390e-05
   0.0000000   3.1415927   -1.4440756185e-05    8.7373975390e-05
   0.0000000   3.4033920   -1.4440756185e-05    8.7373975390e-05
   0.0000000   3.6651914   -1.4440756185e-05    8.7373975390e-05
   0.0000000   3.9269908   -1.4440756185e-05    8.7373975390e-05
   0.0000000   4.1887902   -1.4440756185e-05    8.7373975390e-05
   0.0000000   4.4505896   -1.4440756185e-05    8.7373975390e-05
   0.0000000   4.7123890   -1.4440756185e-05    8.7373975390e-05
   0.0000000   4.9741884   -1.4440756185e-05    8.7373975390e-05
   0.0000000   5.2359878   -1.4440756185e-05    8.7373975390e-05
   0.0000000   5.4977871   -1.4440756185e-05    8.7373975390e-05
   0.0000000   5.7595865   -1.4440756185e-05    8.7373975390e-05
   0.0000000   6.0213859   -1.4440756185e-05    8.7373975390e-05
   0.0872665   0.0000000    8.1830734142e-04    3.3878395217e-04
   0.0872665   0.2617994    4.9102798278e-04    6.7104913535e-04
   0.0872665   0.5235988    6.1900255206e-05    7.9644547153e-04
   0.0872665   0.7853982   -3.1716730946e-04    5.8679414041e-04
   0.0872665   1.0471976   -7.6109262894e-04    6.3767024070e-04
   0.0872665   1.3089969   -8.6295753214e-04    1.3147384381e-04
   0.0872665   1.5707963   -8.3798827319e-04   -3.3757841509e-04
   0.0872665   1.8325957   -5.0972416217e-04   -7.3590271507e-04
   0.0872665   2.0943951   -1.6984200426e-04   -9.5590098529e-04
   0.0872665   2.3561945    3.2876926744e-04   -8.7688025663e-04
   0.0872665   2.6179939    5.6734415797e-04   -3.9021171185e-04
   0.0872665   2.8797933    7.3971607640e-04   -5.8532953946e-05
   0.0872665   3.1415927    8.4721094043e-04    3.2155159629e-04
   0.0872665   3.4033920    4.9078915506e-04    6.7106654464e-04
   0.0872665   3.6651914    6.1601976427e-05    7.9641973503e-04
   0.0872665   3.9269908   -3.1713441290e-04    5.8664557572e-04
   0.0872665   4.1887902   -7.6087506367e-04    6.3694557177e-04
   0.0872665   4.4505896   -8.6486360532e-04    1.3281965519e-04
   0.0872665   4.7123890   -8.3079754582e-04   -3.4927508117e-04
   0.0872665   4.9741884   -5.1183058531e-04   -7.3745070094e-04
   0.0872665   5.2359878   -1.7002542731e-04   -9.5572048693e-04
   0.0872665   5.4977871    3.2881855431e-04   -8.7730187618e-04
   0.0872665   5.7595865    5.6686398225e-04   -3.8972388744e-04
   0.0872665   6.0213859    7.3879991955e-04   -5.7839487201e-05
   0.1745329   0.0000000    7.6806271410e-04    3.1601283657e-04
   0.1745329   0.2617994    5.3289438211e-04    6.5389515456e-04
   0.1745329   0.5235988    7.4730584533e-05    8.4132687710e-04
   0.1745329   0.7853982   -3.6823440760e-04    7.2734234395e-04
   0.1745329   1.0471976   -7.0907576018e-04    5.6242975439e-04
   0.1745329   1.3089969   -9.3264258190e-04    1.0083677948e-04
