#   time = 90.040000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.7037863328e-05    9.8858528915e-05
   0.0000000   0.2617994   -1.7037863328e-05    9.8858528915e-05
   0.0000000   0.5235988   -1.7037863328e-05    9.8858528915e-05
   0.0000000   0.7853982   -1.7037863328e-05    9.8858528915e-05
   0.0000000   1.0471976   -1.7037863328e-05    9.8858528915e-05
   0.0000000   1.3089969   -1.7037863328e-05    9.8858528915e-05
   0.0000000   1.5707963   -1.7037863328e-05    9.8858528915e-05
   0.0000000   1.8325957   -1.7037863328e-05    9.8858528915e-05
   0.0000000   2.0943951   -1.7037863328e-05    9.8858528915e-05
   0.0000000   2.3561945   -1.7037863328e-05    9.8858528915e-05
   0.0000000   2.6179939   -1.7037863328e-05    9.8858528915e-05
   0.0000000   2.8797933   -1.7037863328e-05    9.8858528915e-05
   0.0000000   3.1415927   -1.7037863328e-05    9.8858528915e-05
   0.0000000   3.4033920   -1.7037863328e-05    9.8858528915e-05
   0.0000000   3.6651914   -1.7037863328e-05    9.8858528915e-05
   0.0000000   3.9269908   -1.7037863328e-05    9.8858528915e-05
   0.0000000   4.1887902   -1.7037863328e-05    9.8858528915e-05
   0.0000000   4.4505896   -1.7037863328e-05    9.8858528915e-05
   0.0000000   4.7123890   -1.7037863328e-05    9.8858528915e-05
   0.0000000   4.9741884   -1.7037863328e-05    9.8858528915e-05
   0.0000000   5.2359878   -1.7037863328e-05    9.8858528915e-05
   0.0000000   5.4977871   -1.7037863328e-05    9.8858528915e-05
   0.0000000   5.7595865   -1.7037863328e-05    9.8858528915e-05
   0.0000000   6.0213859   -1.7037863328e-05    9.8858528915e-05
   0.0872665   0.0000000    8.1114970654e-04    3.2053882413e-04
   0.0872665   0.2617994    5.1148050794e-04    6.8098842292e-04
   0.0872665   0.5235988    5.7674989651e-05    7.9437782025e-04
   0.0872665   0.7853982   -3.0752743213e-04    5.8627936020e-04
   0.0872665   1.0471976   -7.6325795064e-04    6.4456207713e-04
   0.0872665   1.3089969   -8.4092878978e-04    1.0372711725e-04
