# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
9.9999999999998295e+00  -1.4061624329744886e-02  -2.1488110390822278e-06  -3.0834050662898190e-06  8.0867189717881043e-06  1.1390320496908527e-02  -5.4995334318522205e-14  -3.0834050810386506e-06  -8.0867189983470680e-06  -1.4061624329779875e-02  2.1488110008827961e-06  -3.6203173479866795e-04  -2.2638782262833173e-07  -2.1710428057357191e-08  2.2772351529044376e-07  2.9326063502395068e-04  2.3312804841064669e-15  -2.1710425146729973e-08  -2.2772351692404796e-07  -3.6203173480816659e-04  2.2638781894075341e-07
1.0499999999999799e+01  -1.5253734966827711e-02  -2.3402889033319466e-06  -3.3569530615428533e-06  8.7296381111621468e-06  1.2349612717077867e-02  -1.6261861828930783e-14  -3.3569531154422614e-06  -8.7296381830891303e-06  -1.5253734966812527e-02  2.3402888727804771e-06  -3.7751736102044380e-04  -2.3633132642045431e-07  -2.2659194469526069e-08  2.3674972890147876e-07  3.0588500735771257e-04  3.2685286854569750e-15  -2.2659189734129942e-08  -2.3674972596183178e-07  -3.7751736102189756e-04  2.3633132865279561e-07
1.0999999999999799e+01  -1.6564490515555318e-02  -2.5505372410166250e-06  -3.6572334386951712e-06  9.4377020795609051e-06  1.3404189516394608e-02  3.0146658410867296e-14  -3.6572333878683841e-06  -9.4377021108299615e-06  -1.6564490515486266e-02  2.5505372610762765e-06  -3.9452823509850853e-04  -2.4720721349054166e-07  -2.3700013195789248e-08  2.4649991789765635e-07  3.1959628942774073e-04  1.4116278040483908e-15  -2.3700013913720068e-08  -2.4649991973832661e-07  -3.9452823510044400e-04  2.4720721453526787e-07
1.1499999999999799e+01  -1.8001288562365846e-02  -2.7806040091794500e-06  -3.9859996224391283e-06  1.0215776850992969e-05  1.4561686604104580e-02  -8.5108361762674801e-15  -3.9859997490323171e-06  -1.0215776926644184e-05  -1.8001288562315466e-02  2.7806039481818389e-06  -4.1316506200088994e-04  -2.5904703794326863e-07  -2.4837724794280396e-08  2.5702177006547006e-07  3.3452709779536847e-04  1.6050751820476042e-15  -2.4837721433538800e-08  -2.5702177016258503e-07  -4.1316506199847277e-04  2.5904703482964899e-07
1.1999999999999799e+01  -1.9572871447850224e-02  -3.0316198925583494e-06  -4.3448746379319293e-06  1.1067875304125527e-05  1.5826438993826415e-02  1.9608373330595665e-15  -4.3448746509245304e-06  -1.1067875343113122e-05  -1.9572871447892010e-02  3.0316199034085691e-06  -4.3354850544766058e-04  -2.7185845570400509e-07  -2.6079657148912534e-08  2.6846031242400768e-07  3.5097123358773883e-04  -1.3292904195827911e-15  -2.6079661554503012e-08  -2.6846030926563410e-07  -4.3354850545474020e-04  2.7185845520726362e-07
1.2499999999999799e+01  -2.1285024703305226e-02  -3.3045600867556931e-06  -4.7352204577024842e-06  1.2003038326361519e-05  1.7205996769244732e-02  5.8178799389378921e-14  -4.7352205342105056e-06  -1.2003038317780189e-05  -2.1285024703305636e-02  3.3045601491787039e-06  -4.5589016424348196e-04  -2.8570766788927484e-07  -2.7437830920753046e-08  2.8081796335693319e-07  3.6909799470771093e-04  -1.9738353266047858e-15  -2.7437831673371006e-08  -2.8081796966231850e-07  -4.5589016424413351e-04  2.8570766682232239e-07
1.2999999999999799e+01  -2.3145026421446422e-02  -3.5994252803583805e-06  -5.1577347582173112e-06  1.3021135828862871e-05  1.8703012468864015e-02  6.8024777125047064e-15  -5.1577348187964910e-06  -1.3021135867692767e-05  -2.3145026421531573e-02  3.5994252136175146e-06  -4.8043380349724292e-04  -3.0087313991616341e-07  -2.8926221793324896e-08  2.9423010829813990e-07  3.8901193533856212e-04  9.5298028324620513e-16  -2.8926227433296601e-08  -2.9423010699722282e-07  -4.8043380349994632e-04  3.0087314002208244e-07
1.3499999999999799e+01  -2.5154944397988925e-02  -3.9168431278206891e-06  -5.6122221639599275e-06  1.4132099044411313e-05  2.0321673750111964e-02  1.5922909577807036e-14  -5.6122221652131424e-06  -1.4132099170167319e-05  -2.5154944397933063e-02  3.9168430793718327e-06  -5.0742945013352323e-04  -3.1741880137545025e-07  -3.0562972281131411e-08  3.0881639383382016e-07  4.1087063640094022e-04  -3.1215864437430647e-15  -3.0562967975884062e-08  -3.0881639877984221e-07  -5.0742945013911836e-04  3.1741880249606028e-07
1.3999999999999700e+01  -2.7315865739617411e-02  -4.2564518351384244e-06  -6.0981057352393845e-06  1.5336588821094713e-05  2.2061245814564229e-02  -5.8840943626032888e-17  -6.0981057427696785e-06  -1.5336588807506279e-05  -2.7315865739515579e-02  4.2564518676680479e-06  -5.3721525904381630e-04  -3.3552439334621432e-07  -3.2365935199346196e-08  3.2479599401611678e-07  4.3504693616077251e-04  1.4655553312318057e-15  -3.2365939247514731e-08  -3.2479599302698257e-07  -5.3721525903910447e-04  3.3552439399638199e-07
1.4499999999999700e+01  -2.9630590214239739e-02  -4.6179650312468724e-06  -6.6149108630471875e-06  1.6645664520658573e-05  2.3926136865250365e-02  1.8515008379203237e-14  -6.6149108976810619e-06  -1.6645664538254802e-05  -2.9630590214233032e-02  4.6179649592136481e-06  -5.7011075466166397e-04  -3.5531958492908080e-07  -3.4355120803764364e-08  3.4231236716019273e-07  4.6174764004061988e-04  -2.7813994171055675e-15  -3.4355116747733835e-08  -3.4231236196119487e-07  -5.7011075466010294e-04  3.5531958543708722e-07
