# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
3.9000000000000803e+01  3.5697140846024229e-05  -1.6426519291636463e-12  -1.1832482440772405e-05  -5.9678461676114512e-12  -2.9065983031961195e-05  1.4419389332991619e-12
4.0000000000000597e+01  5.4811972528366474e-05  1.3807648125369964e-12  -1.0324570267272162e-05  1.9616231030418235e-12  9.9876317979959980e-06  4.1996568482594437e-12
4.1000000000000398e+01  5.3271252757589251e-05  1.6870483820993184e-12  3.8366392425587731e-05  -3.7310908856150062e-13  1.7028963443633047e-05  6.1253247780698372e-13
4.2000000000000199e+01  4.0321358894914163e-05  4.5832641753516842e-12  -1.2553292895733647e-05  -4.0476147486881266e-12  2.1512240122018958e-05  -1.0097230688915807e-11
4.3000000000000000e+01  -1.4192927545300797e-05  -2.9789324722810031e-12  -6.6108535965111158e-05  1.2557413914398985e-12  7.7645358375063599e-06  5.4521151199031401e-12
4.3999999999999801e+01  5.5686217302981261e-06  -1.7367120743062553e-12  3.4996191252601174e-05  -4.2571149442841338e-12  7.2387254052312617e-05  -2.9812396980838964e-12
4.4999999999999602e+01  -1.0659887561028797e-04  -1.9599166260618366e-12  2.0118985990704279e-04  2.4856974826805205e-11  1.5361498598483999e-04  9.2358046448288498e-12
4.5999999999999403e+01  5.7639595559623056e-05  4.6019199078660569e-12  1.2559975593635941e-04  -7.8250230432451800e-12  -3.6442940936643354e-05  -4.8107267641375686e-12
4.6999999999999197e+01  -7.2966381781680030e-06  -5.5941460433555143e-12  -1.1066261788313296e-04  2.8718425073725730e-11  2.8079936252935910e-05  2.3812708833592654e-11
4.7999999999998998e+01  -5.2281807194846191e-06  -7.3475473066799602e-12  -2.5731955318613188e-04  -1.2054821945870126e-11  6.7934304841970962e-06  -5.1838621683352901e-11
4.8999999999998799e+01  -3.4396422679388222e-05  1.1146104465690621e-12  -1.4565600346191126e-04  -2.8299206098012927e-11  -7.8420170964444321e-06  5.1841593735623702e-12
4.9999999999998600e+01  -1.1709748371553478e-04  -2.0498994105130605e-11  2.0664746868146461e-06  -5.0421323961552276e-12  -7.2181543542798897e-05  7.1467287452961393e-11
5.0999999999998401e+01  -1.6085376352469822e-04  -6.1047897838784851e-12  1.8757518698491856e-04  -3.2054465129420259e-11  1.4471131154996915e-04  -8.2250730706689809e-11
5.1999999999998202e+01  5.1424049460407971e-04  -2.0069613241274934e-11  6.4903668487835213e-04  3.4018729901507972e-11  -1.6444308608546865e-04  8.8099265636767662e-11
5.2999999999998003e+01  3.2602356500166882e-04  2.0617660225614309e-12  7.0410099888255462e-04  -8.5680570960576981e-12  -3.9846047795613333e-04  -2.4353247199368621e-11
5.3999999999997797e+01  -4.1098041585014964e-05  -1.9653542720149135e-11  7.8325345498860412e-04  -7.6429155615442123e-11  8.0051295598216921e-05  2.4055584922340901e-11
5.4999999999997598e+01  8.8479909013895763e-05  -1.2635407357844497e-12  7.6502857794594919e-04  1.8740916119323227e-11  4.1093279400416968e-05  -2.7396876689444855e-10
5.5999999999997399e+01  2.9660494684189710e-04  4.9816744421073987e-11  7.5582550451406421e-04  2.3400169982964375e-10  1.0654487268112314e-04  3.8859018490678000e-10
5.6999999999997200e+01  1.4398550102367221e-03  -3.4055097612596976e-11  -4.0570356727332926e-04  -2.2350378536074407e-10  -1.8159831589724108e-04  -3.6077059477692309e-10
