# time  R_areal_min  r_at_R_areal_min
2.9000000000001702e+01  3.8900584823643789e+00  1.6095266918802558e+00
3.0000000000001901e+01  3.8901511770010235e+00  1.6095266918802558e+00
3.1000000000002000e+01  3.8902534267594633e+00  1.6095266918802558e+00
3.2000000000002203e+01  3.8903814176359530e+00  1.6095266918802558e+00
3.3000000000001997e+01  3.8905375140861063e+00  1.6095266918802558e+00
3.4000000000001798e+01  3.8907190438861994e+00  1.6095266918802558e+00
3.5000000000001599e+01  3.8909362486215486e+00  1.6095266918802558e+00
3.6000000000001400e+01  3.8911969549022078e+00  1.6095266918802558e+00
3.7000000000001201e+01  3.8915136702453186e+00  1.6095266918802558e+00
3.8000000000001002e+01  3.8919024799008435e+00  1.6095266918802558e+00
3.9000000000000803e+01  3.8923686342815986e+00  1.6095266918802558e+00
4.0000000000000597e+01  3.8929292368885444e+00  1.6095266918802558e+00
4.1000000000000398e+01  3.8936158160557541e+00  1.6095266918802558e+00
4.2000000000000199e+01  3.8944419718074759e+00  1.6095266918802558e+00
4.3000000000000000e+01  3.8954547768148546e+00  1.6095266918802558e+00
4.3999999999999801e+01  3.8966817649215448e+00  1.6095266918802558e+00
4.4999999999999602e+01  3.8981696946901132e+00  1.6095266918802558e+00
4.5999999999999403e+01  3.8999529554826702e+00  1.6407738027756904e+00
4.6999999999999197e+01  3.9020866783359964e+00  1.6407738027756904e+00
4.7999999999998998e+01  3.9046817768491735e+00  1.6407738027756904e+00
4.8999999999998799e+01  3.9078303198838631e+00  1.6407738027756904e+00
4.9999999999998600e+01  3.9116669827771120e+00  1.6407738027756904e+00
5.0999999999998401e+01  3.9163138405432258e+00  1.6407738027756904e+00
5.1999999999998202e+01  3.9219589818639276e+00  1.6407738027756904e+00
5.2999999999998003e+01  3.9288273090412558e+00  1.6407738027756904e+00
5.3999999999997797e+01  3.9371348772439290e+00  1.6407738027756904e+00
5.4999999999997598e+01  3.9472363670799906e+00  1.6720210216606131e+00
5.5999999999997399e+01  3.9591825182157252e+00  1.6720210216606131e+00
5.6999999999997200e+01  3.9736000290868505e+00  1.6720210216606131e+00
5.7999999999997002e+01  3.9912915844840637e+00  1.6720210216606131e+00
5.8999999999996803e+01  4.0121286814683286e+00  1.7032683425916775e+00
5.9999999999996597e+01  4.0375364734832360e+00  1.7032683425916775e+00
6.0999999999996398e+01  4.0675795979814824e+00  1.7345157600537966e+00
6.1999999999996199e+01  4.1036511786826777e+00  1.7657632689222529e+00
6.2999999999996000e+01  4.1467312092276156e+00  1.7970108644287601e+00
6.3999999999995801e+01  4.1976792560529201e+00  1.8282585421310082e+00
6.4999999999996305e+01  4.2577220912865208e+00  1.8595062978852748e+00
6.5999999999996902e+01  4.3286792520416046e+00  1.9220020283222907e+00
6.6999999999997399e+01  4.4111003099401289e+00  1.9532499960002561e+00
6.7999999999997897e+01  4.5064785525459357e+00  2.0157461203919009e+00
6.8999999999998394e+01  4.6156159813952726e+00  2.1094907375655860e+00
6.9999999999998906e+01  4.7395142549132228e+00  2.1719874071630803e+00
7.0999999999999403e+01  4.8770791394916335e+00  2.2657327560581808e+00
7.1999999999999901e+01  5.0276150505944504e+00  2.3907271220017980e+00
7.3000000000000398e+01  5.1916228933069286e+00  2.4844732684967652e+00
7.4000000000000995e+01  5.3650484047686984e+00  2.5941264787014529e+00
7.5000000000001506e+01  5.5431299633828823e+00  2.7816011014342084e+00
7.6000000000002004e+01  5.7281557354779471e+00  2.9065860020821677e+00
7.7000000000002501e+01  5.9119615690328295e+00  3.0940656404640157e+00
7.8000000000002998e+01  6.0952387765013016e+00  3.2815476055513808e+00
7.9000000000003496e+01  6.2763959591534908e+00  3.4690315201075932e+00
8.0000000000003993e+01  6.4537192646411565e+00  3.7190125957705495e+00
8.1000000000004505e+01  6.6241744048459026e+00  3.9064999920005121e+00
8.2000000000005002e+01  6.7883695693655097e+00  4.1564849557649071e+00
8.3000000000005599e+01  6.9463364350642900e+00  4.4064716256320091e+00
8.4000000000006096e+01  7.0982283558485939e+00  4.6564597268203665e+00
8.5000000000006594e+01  7.2419785820388940e+00  4.9064490405485719e+00
8.6000000000007105e+01  7.3798559829839654e+00  5.1882529574029057e+00
8.7000000000007603e+01  7.5090336108260471e+00  5.4382183433547429e+00
8.8000000000008100e+01  7.6318475187595913e+00  5.6881867717226022e+00
8.9000000000008598e+01  7.7480194250435019e+00  5.9381578582924179e+00
9.0000000000009095e+01  7.8582868185625898e+00  6.1881312809280313e+00
9.1000000000009607e+01  7.9627109793731963e+00  6.4381067675210231e+00
9.2000000000010203e+01  8.0617902581348737e+00  6.6880840866424522e+00
9.3000000000010701e+01  8.1559074785877392e+00  6.9380630402151864e+00
9.4000000000011198e+01  8.2452197280389772e+00  7.0630530756890115e+00
9.5000000000011696e+01  8.3294895129186255e+00  7.3130341685240330e+00
9.6000000000012193e+01  8.4096467753220168e+00  7.5630165112870138e+00
9.7000000000012705e+01  8.4860136347247810e+00  7.8129999840010242e+00
9.8000000000013202e+01  8.5588980895554965e+00  8.0629844815676037e+00
9.9000000000013699e+01  8.6286113787310601e+00  8.3129699115298141e+00
1.0000000000001400e+02  8.6954234556508343e+00  8.5629561922270749e+00
1.0100000000001501e+02  8.7596042238426541e+00  8.8129432512640182e+00
1.0200000000001501e+02  8.8213316830422599e+00  9.0629310242327232e+00
1.0300000000001600e+02  8.8809275349539210e+00  9.3129194536407329e+00
1.0400000000001600e+02  8.9374578147200570e+00  9.4379138982086506e+00
1.0500000000001700e+02  8.9907977072351617e+00  9.6879032174150055e+00
1.0600000000001700e+02  9.0425031763177621e+00  9.9378930739870608e+00
1.0700000000001801e+02  9.0940684914287537e+00  1.0126543092289689e+01
1.0800000000001801e+02  9.1418278407493307e+00  1.0376505914805811e+01
1.0900000000001900e+02  9.1884337170900139e+00  1.0626470486478565e+01
1.1000000000001900e+02  9.2340006395968466e+00  1.0876436686709486e+01
1.1100000000001999e+02  9.2786443403939529e+00  1.1126404405736833e+01
1.1200000000001999e+02  9.3224840684031545e+00  1.1376373543445204e+01
1.1300000000002100e+02  9.3656163561164689e+00  1.1626344008328671e+01
1.1400000000002100e+02  9.4057381532504145e+00  1.1626344008328671e+01
1.1500000000002200e+02  9.4417123488662895e+00  1.1876315716584836e+01
1.1600000000002200e+02  9.4771894118693005e+00  1.2126288591320924e+01
1.1700000000002299e+02  9.5122512206974754e+00  1.2376262561856063e+01
1.1800000000002299e+02  9.5469756077836294e+00  1.2626237563106438e+01
1.1900000000002400e+02  9.5814369051439936e+00  1.2876213535042046e+01
1.2000000000002400e+02  9.6157057883267871e+00  1.3126190422205523e+01
1.2100000000002500e+02  9.6498520567063668e+00  1.3376168173284904e+01
1.2200000000002601e+02  9.6799043822065869e+00  1.3376168173284904e+01
1.2300000000002601e+02  9.7077446149621398e+00  1.3626146740733420e+01
1.2400000000002700e+02  9.7355871060483317e+00  1.3876126080430373e+01
1.2500000000002700e+02  9.7634880145946816e+00  1.4126106151378023e+01
1.2600000000002800e+02  9.7915019427055761e+00  1.4376086915430081e+01
1.2700000000002800e+02  9.8196861017994639e+00  1.4626068337048066e+01
1.2800000000002899e+02  9.8481059082065610e+00  1.4876050383082198e+01
1.2900000000002800e+02  9.8709106755268419e+00  1.4876050383082198e+01
1.3000000000002700e+02  9.8936528286653651e+00  1.5126033022574028e+01
1.3100000000002601e+02  9.9167058573676421e+00  1.5376016226578326e+01
1.3200000000002501e+02  9.9401073999507030e+00  1.5625999968002048e+01
1.3300000000002399e+02  9.9639028997967145e+00  1.5875984221458523e+01
1.3400000000002299e+02  9.9881523934879226e+00  1.6125968963135207e+01
1.3500000000002200e+02  1.0007420142152206e+01  1.6125968963135207e+01
1.3600000000002100e+02  1.0026459811489106e+01  1.6375954170673538e+01
1.3700000000002001e+02  1.0046011396079273e+01  1.6625939823059628e+01
1.3800000000001901e+02  1.0066118783946255e+01  1.6875925900524688e+01
1.3900000000001901e+02  1.0086828301921082e+01  1.7125912384454150e+01
1.4000000000001799e+02  1.0106491683187050e+01  1.7125912384454150e+01
1.4100000000001700e+02  1.0122394242564980e+01  1.7375899257304642e+01
1.4200000000001600e+02  1.0138913551106075e+01  1.7625886502528036e+01
1.4300000000001501e+02  1.0156094615563120e+01  1.7875874104501854e+01
1.4400000000001401e+02  1.0173992962441289e+01  1.8125862048465446e+01
1.4500000000001299e+02  1.0111858578647594e+01  5.1609826765355449e-01
1.4600000000001199e+02  9.9847093139800442e+00  5.1609826765355449e-01
1.4700000000001100e+02  9.8611015880356021e+00  5.1609826765355449e-01
1.4800000000001000e+02  9.7408910066297878e+00  5.1609826765355449e-01
1.4900000000000901e+02  9.6239407320823904e+00  5.1609826765355449e-01
1.5000000000000901e+02  9.5101209870175385e+00  5.1609826765355449e-01
1.5100000000000799e+02  9.3993086017308674e+00  5.1609826765355449e-01
1.5200000000000699e+02  9.2913865992888152e+00  5.1609826765355449e-01
1.5300000000000600e+02  9.1862438135580167e+00  5.1609826765355449e-01
1.5400000000000500e+02  9.0837745369517773e+00  5.1609826765355449e-01
1.5500000000000401e+02  8.9838781951773985e+00  5.1609826765355449e-01
1.5600000000000301e+02  8.8864590462404074e+00  5.1609826765355449e-01
1.5700000000000199e+02  8.7914259007640965e+00  5.1609826765355449e-01
1.5800000000000099e+02  8.6986918610986681e+00  5.1609826765355449e-01
1.5900000000000000e+02  8.6081740780036782e+00  5.1609826765355449e-01
1.5999999999999901e+02  8.5197935244907015e+00  5.1609826765355449e-01
1.6099999999999901e+02  8.4334747860805663e+00  5.1609826765355449e-01
1.6199999999999801e+02  8.3491458653205814e+00  5.1609826765355449e-01
1.6299999999999699e+02  8.2667379972535056e+00  5.1609826765355449e-01
1.6399999999999599e+02  8.1861854733148984e+00  5.1609826765355449e-01
1.6499999999999500e+02  8.1074254734688349e+00  5.1609826765355449e-01
1.6599999999999400e+02  8.0303979078624081e+00  5.1609826765355449e-01
1.6699999999999301e+02  7.9550452685146933e+00  5.1609826765355449e-01
1.6799999999999201e+02  7.8813124895532711e+00  5.1609826765355449e-01
1.6899999999999099e+02  7.8091468133846638e+00  5.1609826765355449e-01
1.6999999999999000e+02  7.7384976607266980e+00  5.1609826765355449e-01
1.7099999999998900e+02  7.6693165037082380e+00  5.1609826765355449e-01
1.7199999999998900e+02  7.6015567421783752e+00  5.1609826765355449e-01
1.7299999999998801e+02  7.5351735835762019e+00  5.1609826765355449e-01
1.7399999999998701e+02  7.4701239263382311e+00  5.1609826765355449e-01
1.7499999999998599e+02  7.4063662463390045e+00  5.1609826765355449e-01
1.7599999999998499e+02  7.3438604854723861e+00  5.1609826765355449e-01
1.7699999999998400e+02  7.2825679410169570e+00  5.1609826765355449e-01
1.7799999999998300e+02  7.2224511537071612e+00  5.1609826765355449e-01
1.7899999999998201e+02  7.1634737913752691e+00  5.1609826765355449e-01
1.7999999999998099e+02  7.1056005233508905e+00  5.1609826765355449e-01
1.8099999999997999e+02  7.0487968782598793e+00  5.1609826765355449e-01
1.8199999999997900e+02  6.9930290742601215e+00  5.1609826765355449e-01
1.8299999999997900e+02  6.9382638066195375e+00  5.1609826765355449e-01
1.8399999999997800e+02  6.8844679767966701e+00  5.1609826765355449e-01
1.8499999999997701e+02  6.8316083660974085e+00  5.1609826765355449e-01
1.8599999999997601e+02  6.7796513408593526e+00  5.1609826765355449e-01
1.8699999999997499e+02  6.7285628555282644e+00  5.1609826765355449e-01
1.8799999999997399e+02  6.6783089792885342e+00  5.1609826765355449e-01
1.8899999999997300e+02  6.6288564008946489e+00  5.1609826765355449e-01
1.8999999999997200e+02  6.5801727688042497e+00  5.1609826765355449e-01
1.9099999999997101e+02  6.5322274668835689e+00  5.1609826765355449e-01
1.9199999999996999e+02  6.4849906669535162e+00  5.1609826765355449e-01
1.9299999999996899e+02  6.4384333820888786e+00  5.1609826765355449e-01
1.9399999999996899e+02  6.3925278873313784e+00  5.1609826765355449e-01
1.9499999999996800e+02  6.3472486744324668e+00  5.1609826765355449e-01
