# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)  Re(R=22)  Im(R=22)
2.6000000000001300e+01  -6.0086901977719201e-04  3.2750389808550077e-13  1.1730128138695904e-05  5.0342882527379288e-13  6.3959899599090928e-05  -2.1291154352603280e-13  9.9130692264986212e-06  5.2019144661763995e-14
2.7000000000001400e+01  -6.0365939344215135e-04  3.0197215141485791e-14  -1.4790971279251790e-04  5.9815912324278348e-14  1.2526834219707289e-04  2.3976697211674178e-13  1.9914365496644861e-05  6.4539956966039750e-14
2.8000000000001599e+01  -5.4783687384972349e-04  -6.3891735878072330e-13  -2.9044877405736926e-04  4.7421411050514107e-13  1.5581761219922707e-04  -3.3329416762586546e-13  -2.6998495483061266e-05  -5.2006412009002963e-13
2.9000000000001702e+01  -4.2211615884784232e-04  -2.7270451258133635e-13  -4.1155870213867643e-04  1.1101141599492892e-13  1.3114066863732148e-04  -1.4633009627093278e-13  -4.6508546151927058e-05  -1.1444690239778690e-12
3.0000000000001901e+01  -2.6485441159022796e-04  -2.7741687416925909e-13  -5.0023669329825467e-04  1.3622895336233175e-12  6.4646071314650492e-05  5.0667090871930520e-13  1.1188475170682317e-05  7.6019877136580301e-13
3.1000000000002000e+01  -9.8584291111630898e-05  1.2017026214023422e-12  -5.1794322432689981e-04  -3.3981271047048520e-13  -7.1369584289829655e-05  -2.0257091160636921e-13  8.0542818439930522e-05  8.9235031386676461e-13
3.2000000000002203e+01  7.3890596444789621e-05  1.8241756549947216e-13  -4.9196087198440108e-04  5.2787440403367958e-14  -2.2866259510956482e-04  2.9298983789682376e-12  1.3517811655558779e-04  5.0128508718094312e-13
3.3000000000001997e+01  2.2378531424619965e-04  -5.9666914797132787e-14  -3.8541386091931726e-04  1.5041198073275033e-12  -3.6678372598488845e-04  -5.2839107072168332e-12  1.6434964843931114e-04  9.8547426702256060e-13
3.4000000000001798e+01  3.3475801073114600e-04  8.7758483502999017e-13  -2.1931114668622960e-04  -9.3819744004851673e-13  -4.5762783505708441e-04  9.6875727202255535e-13  9.2090860048318568e-05  -1.6571945518435609e-12
3.5000000000001599e+01  4.1128487034606848e-04  -8.0957732767423851e-14  -4.5851372469621117e-05  1.9145674106007748e-12  -4.7540123602482194e-04  -4.8930919869753918e-12  -1.0136721756542523e-05  3.1658153118195564e-13
3.6000000000001400e+01  4.4453145600843529e-04  -5.8694913226867226e-14  1.4930850444265305e-04  -3.7460270116561904e-13  -4.9700146501753572e-04  5.6244789869741636e-12  -1.3231927637712306e-04  -4.1167235699750917e-12
3.7000000000001201e+01  4.5453855783133092e-04  8.7983379646822522e-13  2.8644282104637177e-04  3.2893458896573306e-12  -3.7809090822111792e-04  -4.3268165066905667e-12  -3.1833053248935575e-04  6.3362084191152356e-12
3.8000000000001002e+01  3.9724304885123434e-04  9.2931594657985819e-14  3.6131807667704493e-04  9.0954920058412991e-13  -2.5119158666683247e-04  -1.2824395039488153e-12  -4.0971581331127993e-04  -5.6109855747512367e-12
3.9000000000000803e+01  3.2814321186963076e-04  -5.8895249202880381e-13  5.1687374638105402e-04  4.1358828334015139e-13  -6.2305987396554433e-05  8.1080648126736276e-13  -4.2461255171054188e-04  8.2688455798632639e-12
4.0000000000000597e+01  2.6054266483002681e-04  6.4095346932618642e-13  5.2016224786711140e-04  1.8243865670195259e-12  1.0125841330278171e-04  7.3856100018396485e-12  -4.4672936056083372e-04  -8.7099504004616559e-12
4.1000000000000398e+01  1.5779460079472300e-04  -1.0558799415888936e-12  5.0130792058726635e-04  1.8032933913653500e-12  2.9335565509719982e-04  -7.4226941511635633e-12  -3.7745542256654172e-04  3.5527243093319955e-12
