# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
4.4999999999999602e+01  1.7804622033023166e-06  -2.8485243389852805e-13  9.2212084586355556e-05  -6.9494704106808829e-13  8.2388488123775474e-06  -4.7493812583507175e-12
4.5999999999999403e+01  -3.6478469594153085e-07  1.7731738852126837e-15  1.1202079995242444e-04  -1.4200988009398829e-12  -2.0633472093015153e-05  -6.0520579088771440e-12
4.6999999999999197e+01  -7.9070713561538135e-07  2.7451626611034791e-13  1.2889984389760541e-04  -2.2557480053534629e-12  -2.2823102206574826e-05  1.5479754468827083e-12
4.7999999999998998e+01  -2.9705655427365330e-06  -1.0142365362134934e-13  1.0987058528513956e-04  1.7810786905274103e-12  1.8645929799587640e-05  -1.9321366836524255e-12
4.8999999999998799e+01  -1.4096623681399096e-06  -1.0037479111926116e-13  1.1068248009025517e-04  6.6205978477499846e-13  2.8806562990948997e-05  -2.7475951949167924e-12
4.9999999999998600e+01  -4.5338567325845960e-06  -6.5802202280995412e-14  1.0175773196095240e-04  -5.9712982717344594e-13  1.6550019440052360e-05  1.3632744723984522e-12
5.0999999999998401e+01  -1.1890014342897394e-06  8.5534012434660642e-15  1.0108634831453745e-04  8.5956908132812719e-14  -1.6226264270160060e-05  -3.1001269769047521e-12
5.1999999999998202e+01  5.7088912068021785e-06  1.1804330531772450e-14  9.5942594034048782e-05  2.6274976377066386e-14  -1.8018957249208593e-05  -3.8257778983803516e-12
5.2999999999998003e+01  6.9801924035954389e-06  1.6847311566947476e-14  9.0790785633281443e-05  -1.7360786163612868e-14  5.9389744522223609e-06  -8.2574455207782547e-13
5.3999999999997797e+01  9.5699972691667689e-06  1.0583952919111899e-14  8.5148306559832619e-05  3.0176074898978482e-14  6.4311062966381547e-06  -9.3211132082794667e-13
5.4999999999997598e+01  1.4118359683836752e-05  -3.7237728497973791e-14  7.9089714952802027e-05  1.9739749795076032e-16  6.7547725821949082e-06  8.0442209194233341e-13
5.5999999999997399e+01  9.6031709942434121e-06  6.5313299589109479e-15  7.5775269560476058e-05  -3.0195854742879593e-14  -2.7342877411358096e-06  -3.2648625565944011e-13
5.6999999999997200e+01  -6.3185464723752862e-06  -4.6791516553126548e-16  7.3053232164783566e-05  -3.2534895115845900e-14  -5.8287297402315827e-07  3.4518944117764475e-13
5.7999999999997002e+01  7.0524652717660800e-06  1.0694423710895114e-15  7.2113501225196512e-05  -1.9147732329332645e-17  6.8464802470464238e-07  -3.1339911951816438e-13
5.8999999999996803e+01  -1.1402898177024950e-05  1.7369536707135358e-15  7.1637981184385577e-05  -2.1574794562923883e-16  1.7925618847496104e-06  8.3672914759356451e-14
5.9999999999996597e+01  -8.6180277833291460e-06  3.7834344719827601e-15  7.1164563381462669e-05  -1.4730548153630074e-17  1.0457790790983831e-06  -2.6025717188031894e-13
6.0999999999996398e+01  -8.4378380378616813e-06  1.0934306021844055e-14  6.9549215756744889e-05  -1.0900086478590204e-15  -3.5361195476267474e-06  -2.1755241508187686e-13
6.1999999999996199e+01  -8.0802591315789221e-06  6.2656571041013926e-16  5.4867615264870961e-05  -1.2691249381116566e-14  -7.9580853007628427e-06  -1.4988977674888534e-13
6.2999999999996000e+01  -8.3110216491149032e-06  9.8465704796466180e-15  2.5369144240866268e-05  -2.7453206475960340e-15  -8.9402414308903580e-06  -8.4217640278751778e-16
6.3999999999995801e+01  -5.7276623854899548e-06  -1.9961576828442302e-14  2.1124008663621725e-06  5.3907582982034754e-15  -7.6572201445714359e-06  3.2876039307911768e-14
6.4999999999996305e+01  -2.6211261386857819e-06  4.1764011017726986e-17  9.0275163741311646e-06  -1.7501894325281860e-14  -7.2662145568227323e-06  -1.7942105550292874e-14
6.5999999999996902e+01  -4.5683655854624780e-07  -9.5032055160855595e-15  2.8662187581202938e-05  3.0791106511287842e-14  -5.1278580002723827e-06  -2.1800023187858700e-14
6.6999999999997399e+01  5.3708561855627156e-07  -6.7350597905961637e-15  2.6712972352320800e-05  7.9896080266355481e-15  -4.7857404148570754e-06  6.1048790175998080e-15
6.7999999999997897e+01  6.4343179591600958e-07  9.8089399490864372e-15  6.2046443254366205e-06  -2.2224446837081082e-14  -6.1144585483536045e-06  2.0856788510015939e-14
